and	و
name	سمى
name	اسم
you	انت
I	انا
with	ب
in	في
them	هم
with	مع
he	هو
she	هي
they	هما
car	كرهبة
not	مش
will	باش
where	فين
we	احنا
you	أنتما
Tunisian	تونسي
very	برشا
yesterday	آمس
parsley	معدنوس
yesterday	البارح
a little	دوبلاش
sock	كلسيطة
good	باهي
problem	مشكل
watch	منڨالة
stork	بلارج
pretty	مزيان
