lion	ⵉⵣⵎ
evening	ⵜⴰⵎⴷⴷⵉⵜ
heart	ⵓⵍ
bridge	ⵜⵉⵍⴳⴳⵯⵉⵜ
garden	ⵜⵓⵔⵜⵉⵜ
bitch	ⵜⵉⴳⴷⵉⵜ
leaf	ⵉⴼⵔ
iron	ⵓⵣⵣⴰⵍ
face	ⵓⴷⵎ
hand	ⴰⴼⵓⵙ
water	ⴰⵎⴰⵏ
meal	ⵜⵉⵔⵎⵜ
beard	ⵜⴰⵎⴰⵔⵜ
Berber	ⴰⵎⴰⵣⵉⵖ
Tamazight	ⵜⴰⵎⴰⵣⵉⵖⵜ
cow	ⵜⴰⴼⵓⵏⴰⵙⵜ
forest	ⵜⴰⴳⴰⵏⵜ
star	ⵉⵜⵔⵉ
mouth	ⵉⵎⵉ
field	ⵉⴳⵔ
bird	ⴰⴳⴹⵉⴹ
egg	ⵜⴰⴳⵍⴰⵢⵜ
house	ⵜⵉⴳⵎⵎⵉ
key	ⵜⴰⵙⴰⵔⵓⵜ
wind	ⴰⴹⵓ
snow	ⴰⴷⴼⵍ
smoke	ⴰⴳⴳⵓ
bread	ⴰⵖⵔⵓⵎ
corn	ⴰⵙⵏⴳⴰⵔ
Tifinagh	ⴷ
this	ⴰⴷ
not	ⵓⵔ
not	ⵓⵔⴷ
one	ⵢⵓⵏ
Saturday	ⵙⴰⴷ
Sunday	ⴰⵛⵔ
Monday	ⴰⵔⵉⵎ
Tuesday	ⴰⵔⴰⵎ
Wednesday	ⴰⵀⴰⴷ
Thursday	ⴰⵎⵀⴰⴷ
Friday	ⵙⴰⵎ
man	ⴰⵔⴳⴰⵣ
nine	ⵜⵥⴰ
love	ⵜⴰⵢⵔⵉ
equivalent	ⵜⵓⴳⴷⵓⵜ
bride	ⵜⵉⵙⵍⵉⵜ
nose	ⴰⵏⵣⴰⵔ
Numidia	ⵏⵓⵎⵉⴷⵢⴰ
month	ⵢⵓⵔ
liver	ⵜⴰⵙⴰ
health	ⴰⴷⵡⴰⵙ
skin	ⵉⵍⵎ
hair	ⴰⵣⵣⴰⵔ
hoopoe	ⵉⴱⵉⴱⴸ
scarab	ⵉⴳⵍⴳⵉⵣ
white	ⴰⵎⵍⵍⴰⵍ
mountain	ⴰⴷⵔⴰⵔ
oasis	ⴰⵎⴷⴰ
apple	ⵜⴰⴷⴼⴼⵓⵢⵜ
olive tree	ⵓⵣⵎⵎⵓⵔ
argan	ⴰⵔⴳⴰⵏ
dolphin	ⴰⵣⵢⴰⵎ
bee	ⵜⵉⵣⵉⵣⵡⵉⵜ
horned	ⵜⴰⵛⵛⵍⵜ
falcon	ⴰⴼⴰⵍⴽⵓ
butterfly	ⵉⴱⵍⵉⵍⵍⵉ
nightingale	ⴰⵙⵓⴷⴷⵔ
dream	ⵜⴰⵡⴰⵔⴳⵉⵜⵜ
eagle	ⵉⴳⵉⴷⵔ
earth	ⴰⴽⴰⵍ
pineapple	ⴰⵏⴰⵏⴰⵚ
airport	ⴰⵣⴰⴳⴳⵯⵣ
breathe	ⵙⵙⵓⵏⴼⵙ
wasp	ⵉⵔⵥⵥⵉ
rock	ⴰⵇⵛⵎⵉⵔ
cliff	ⴰⵖⵓⵍⵉⴷ
two	ⵙⵉⵏ
three	ⴽⵔⴰⴹ
four	ⴽⴽⵓⵥ
five	ⵙⵎⵎⵓⵙ
six	ⵙⴹⵉⵙ
seven	ⵙⴰ
eight	ⵜⴰⵎ
ten	ⵎⵔⴰⵡ
zero	ⴰⵎⵢⴰ
twenty	ⴰⴳⵏⴰⵔ
hundred	ⵜⵉⵎⵉⴹⵉ
foot	ⴰⴹⴰⵔ
hear	ⵙⵍⵍ
honey	ⵜⴰⵎⵎⵏⵜ
hunger	ⵍⴰⵥ
sky	ⵉⴳⵏⵏⴰ
thirst	ⴼⴰⴷ
tiger	ⴰⵖⵉⵍⴰⵙ
fast	ⴰⵥⵓⵎ
hello	ⴰⵣⵓⵍ
world	ⴰⵎⴰⴹⴰⵍ
tie	ⵇⵇⵏ
yes	ⵢⴰⵀ
no	ⵓⵀⵓ
night	ⵉⴹ
fish	ⴰⵙⵍⵎ
friend	ⴰⵎⴷⴷⴰⴽⴽⵯⵍ
silver	ⴰⵥⵔⴼ
gold	ⵓⵔⵖ
sun	ⵜⴰⴼⵓⴽⵜ
friendship	ⵜⵉⴷⴷⵓⴽⴽⵍⴰ
Tifinagh	ⵉ
small	ⴰⵎⵥⵥⵢⴰⵏ
die	ⵎⵎⵜ
fire	ⴰⴼⴰ
Tifinagh	ⵖ
darkness	ⵜⴰⵍⵍⴰⵙⵜ
swamp	ⴼⵜⵉⵙ
swamp	ⴱⴰⵍⵎⴰ
meat	ⴰⴽⵙⵓⵎ
priestess	ⴽⴰⵀⵉⵏⴰ
learn	ⵍⵎⴷ
construct state	ⴰⴷⴷⴰⴷ ⴰⵎⴰⵔⵓⵣ
country	ⵜⴰⵎⵓⵔⵜ
word	ⴰⵡⴰⵍ
flag	ⴰⴱⴰⵏⴷⵓ
Tifinagh	ⴰ
Tifinagh	ⴱ
Tifinagh	ⵛ
Tifinagh	ⴹ
Tifinagh	ⴻ
Tifinagh	ⴳ
Tifinagh	ⴼ
Tifinagh	ⴽ
Tifinagh	ⵀ
Tifinagh	ⵃ
Tifinagh	ⵄ
Tifinagh	ⵅ
Tifinagh	ⵇ
Tifinagh	ⵊ
Tifinagh	ⵍ
Tifinagh	ⵎ
Tifinagh	ⵏ
Tifinagh	ⵓ
Tifinagh	ⵔ
Tifinagh	ⵕ
Tifinagh	ⵙ
Tifinagh	ⵚ
Tifinagh	ⵜ
Tifinagh	ⵟ
Tifinagh	ⵡ
Tifinagh	ⵢ
Tifinagh	ⵣ
Tifinagh	ⵥ
at	ⵖⵔ
language	ⵜⵓⵜⵍⴰⵢⵜ
brown bear	ⴰⴱⴰⴱⴱⵓⵥ ⴰⵔⴰⵙ
