that	on
ehēcayoh quiyahuitl	ehecayoh quiyahuitl
windy	ehecayoh
foreskin	tepolehuayotl
glans penis	tepolcuaxipeuhcatl
opening	tepolcamapiccatl
labia	piccatl
semen	tepolayotl
spring	ameyallah
water well	ameyalli
spring	ameyaltontli
middle	macpalyollohtli
springwater	ameyalatl
fortress	yaocalli
fart	iyelli
homosexual	cuilonyotl
palm	macpalli
cupped palm	macpalcomolli
molehill	tozampotzalli
gopher burrow	tozan ichan
rabbit hair	tochohmitl
sun	tonatiuh
suns	tonatiuhyoh
mead	ayoneuctli
eaglet	cuauhconetl
basket	tlaxcalchiquihuitl
basketmaker	chiquiuhchiuhqui
weave	chiquiuhchihua
basket	chiquiuhtontli
laurel	ehcapahtli
grove	ehcapahcuauhtlah
discourse	ehcamecatl
three	eyilhuitl
two	omilhuitl
four	nahuilhuitl
ic ōmilhuitl semana	ic omilhuitl semana
ic ēyilhuitl semana	ic eyilhuitl semana
ic nāhuilhuitl semana	ic nahuilhuitl semana
ycnauiluitl semana	ycnauiluitl semana
yancuīc chīchīhualāyōtlatetzāuhtli	yancuic chichihualayotlatetzauhtli
eight	chicueyilhuitl
grove	huexotlah
old man	huehuenton
old man	huehuetcatontli
old man	huehuehpil
large	huehueyipol
old man	huehuehpol
godhead	iyeliz in Dios
godhead	iyeliztzin in Dios
being	yeliztli
honorific	-tzin
wood	cuauhchimalli
flank	acalmaitl
four	nauhxihuitl
cochineal	nocheztli
dwarf	tzapaton
dwarf	tzapa
dwarf	tzapatzin
pulque	occalli
moonlight	metztona
moonshine	metztonalli
moonshine	metztonallotl
corn tassel	miyahuatl
Spinus psaltria	miyahuatototl
wart	michinix
bedbug	texcan
parcel	miltontli
parcel	miltepiton
seven times	chicoppa
twice	oppa
eight time	chicuexpa
nine time	chiucnappa
six time	chicuaceppa
mahtlātlāctli	mahtlactli
ten time	mahtlacpa
eleven	mahtlactli once
twelve	mahtlactli omome
thirteen	mahtlactli omeyi
fourteen	mahtlactli onnahui
fifteen	caxtolli
sixteen	caxtolli once
seventeen	caxtolli omome
cācaxtōlli omēēyi	caxtolli omeyi
nineteen	caxtolli onnahui
twenty-one	cempohualli once
twenty time	cempohualpa
fifteen times	caxtolpa
twenty-two	cempohualli omome
twenty-three	cempohualli omeyi
twenty-four	cempohualli onnahui
twenty-five	cempohualli ommacuilli
twenty-six	cempohualli onchicuace
twenty-seven	cempohualli onchicome
twenty-eight	cempohualli onchicueyi
twenty-nine	cempohualli onchiucnahui
thirty	cempohualli ommahtlactli
thirty time	cempohualpa ommahtlacpa
thirty-one	cempohualli ommahtlactli once
forty	ompohualli
forty time	ompohualpa
thirty-five	cempohualli oncaxtolli
thirty-two	cempohualli ommahtlactli omome
thirty-three	cempohualli ommahtlactli omeyi
thirty-four	cempohualli ommahtlactli onnahui
thirty-six	cempohualli oncaxtolli once
thirty-eight	cempohualli oncaxtolli omeyi
thirty-seven	cempohualli oncaxtolli omome
thirty-nine	cempohualli oncaxtolli onnahui
five time	macuilpa
fifty	ompohualli ommahtlactli
gold dust	teocuitlaxalli
gold dust	teocuitlatlalli
prisoner of war	teomicqui
monastery	teopixcacalli
monastery	teopixcachantli
tlacuāhuac tecpatl	tlacuahuac tecpatl
hard	tlacuahuac
two	onxihuitl
seed pearl	huitzitzilepyollohtli
sacrificial offering	huentzintli
cloudy	mixxoh
pitcher	huicoltzintli
huēyi ehēcatl	hueyi ehecatl
book title	amoxtocaitl
hummingbird	huitzilin
lunar conjunction	metztli imiquiz
human flesh	tlacanacatl
demonic	tlacatecolooquichtli
demonic	tlacatecolocihuatl
pitcher	huicoltontli
pitcher	huicoltepiton
fruit	xocotl
ear	cemolotontli
tenāmeh āltepētl	tenameh altepetl
twenty	cempohualilhuitl
twenty	cempohualxihuitl
candlelight	tlahuilli
lantern	tlahuilcalli
lantern	ococallotl
left hand	opochmaitl
bright	tlahuilloh
pine tree	ocotl
pine tree	ococuahuitl
pine cone	ococentli
pine nut	ococenyollohtli
grove	ococuauhtlah
grove	ohocotlah
grove	ohococuauhtlah
bread of life	yolcatlaxcalli
whiteness	iztacayotl
brine	iztaayotl
one at a time	cecen
plant	tlalaala
beverage	pinolatl
Spanish greyhound	anqui chichi
hunter	anqui
sovereign	hueyi cihuatlahtoani
san Francisco teōpixqui	san Francisco teopixqui
santo Domingo teōpixqui	santo Domingo teopixqui
Augustinian friar	san Agustin teopixqui
papal legate	hueyi teopixcatitlantli
represent	titlantli
papal legate	Santo Padre ititlan
Latinity	latin tlahtollotl
water bubble	axittontli
forty	ompohualilhuitl
birthdate	tlacatilizilhuitl
daybreak	aocmo hueyi tlahcahtli
aocmo huēyi tōnatiuh	aocmo hueyi tonatiuh
date of birth	itlacatilizilhuitzin in toteucyo
shell	chipolin
huēyi tēcpan	hueyi tecpan
flower wreath	icpacxochitl
fig	icox
fig	hicox
ic ōmpōhualli onchiucnāhui	ompohualli onchiucnahui
ic ōmpōhualli onchicuēyi	ompohualli onchicueyi
ic ōmpōhualli onchicōme	ompohualli onchicome
vulva	tepilli
confectioner	confites chiuhqui
confites chīhua	confites chihua
firefly	xoxotlaton
firefly	xoxotla
firefly	copitl
hibernal wind	ceehecatl
ītztic ehēcatl	itztic ehecatl
pitzāhuac ehēcatl	pitzahuac ehecatl
lizard	topitzin
lizard	topitl
yard	callalli
braid	malinalli
white hawk	iztaccuauhtli
nasal mucus	yacacuitlatl
mucus	yacacuitleh
indigent	icnotlacatl
skirt	cueitl
sea turtle	chimalmichin
wooden cage	cuauhcaltontli
wooden cage	cuauhcaltepiton
daily wage	tlaxtlahuiltontli
payment	tlaxtlahuilli
reward	tlaxtlahuileh
sleep	cochi
lead	temetztli
mine owner	temetzeh
songbird	cuicanitototl
weight	etiliztli
locative	-can
comet	citlalim popoca
citlālin popōca	citlalin popoca
Milky Way	citlalicue
open-air market	tiyanquiztli
open-air market	chiucnauhtiyanquiztli
open-air market	cempohualtiyanquiztli
open-air market	macuiltiyanquiztli
merchant vessel	tiyamicacalli
poverty	icnotlacayotl
brick	xamixcalli
brickworks	xamixcalchihualoyan
brickworks	xamixcalcopinaloyan
lime tree	lima cuahuitl
lemon tree	limon cuahuitl
ahmo huēyi	ahmo hueyi
aquatic plant	apachtli
aquatic plant	acpatl
fleshy	nacayoh
house sparrow	teocaltototl
house finch	cuachihchil
brick wall	xamixcaltepantli
masonry oven	xamixcaltexcalli
centipede	centzommayeh
four hundred	centzontli
ic mācuīlpōhualli	macuilpohualli
see	itta
you	mitz-
object	amech-
labial	quim-
ìtoa	ihtoa
eighty times	nappohualpa
labial	am-
ìcuiloa	ihcuiloa
do	chīhua
him	c-
c-	qu-
ic nāppōhualli	nappohualli
difficulty	ohuihcayotl
ic ōmpōhualli onchicuace	ompohualli onchicuace
ic ōmpōhualli ommācuīlli	ompohualli ommacuilli
ic ōmpōhualli onnāhui	ompohualli onnahui
ic ōmpōhualli omēyi	ompohualli omeyi
ic ōmpōhualli omōme	ompohualli omome
ic ōmpōhualli once	ompohualli once
we	tehhuantin
you	amehhuantin
who	aquin
these	inihqueh in
those	inihqueh on
what	tleh
no one	ayac
nothing	ahtle
what	tlein
Tlaxcala	Tlaxcallan
pyx	ostia calli
ic mahtlācpōhualli	mahtlacpohualli
two hundred times	mahtlacpohualpa
blue corn	iyauhtlaolli
blue corn	iyahuitl
stew	totolmolli
ātlān chānehqueh	atlan chanehqueh
empanada	michtlaoyoh
fish	michnamacacan
empanada	nacatlaoyoh
dish	nacatlaolli
meat juice	nacatlapatzcaayotl
sovereign	tlahtohcatontli
sovereign	tlahtohcatepiton
sovereign	tlahtoaniton
property	tlahtohcatlatquitl
water	atlacomolatl
scribe	amoxtlahcuiloh
seven	chicoxxihuitl
aquatic snake	acoatl
ocean	aehecatl
jicama	xicama
foreskin	xipintontli
season	xilotlah
flower	ocoxochitl
Caxtīllān ocōxōchitl	Caxtillan ocoxochitl
clover	trebol
toe	xopilchicuace
hand	mah-
flower	xochih-
leaven	xocotexxoh
xocotexxoh tlaxcalli	xocotexxoh tlaxcalli
stem	quiyotl
plant	quiyoyoh
calendar	ilhuitlapohualamoxtli
soft squash	tzilacayohtli
gourd	ayohtli
dog pup	itzcuinconetl
infernal	mictlancayotl
infinity	ahpohualiztli
drop	centlachipiniltontli
larva	yacatotonaton
trash	tlazolli
rainbow	ayauhcozamalotl
ear	cacamatl
healing	ticiyotl
nocturnal ghost	yohuac moteittitia
sword	tepozmaccuauhtepiton
sword	tepozmaccuauhtontli
dagger	puñaltontli
star	citlaltzintli
temple	teocaltontli
temple	teopantontli
clump	tlaltetontli
ocuilin cuācuahueh	ocuilin cuacuahueh
locative	-pan
royal	tecpan
royal	tecuacan
key	tlatlapoloniton
thirst	amiquiztli
standard	tlaoctacaantli
gluttony	apizzotl
Mexican hairless	xoloitzcuintli
turpentine	ohxitl
pap	tlaxcalatolli
Caxtīllān epazōtl	Caxtillan epazotl
list	tocaamatl
metropolis	altepenanyotl
turnip	nabox
whips	temecahuitequini
marzipan	chiyancaca
Caxtīllān chiyancaca	Caxtillan chiyancaca
mayorship	alcaldeyotl
date	zoyacapolin
nude	tlatlatlahtlalilli
paint	tlahcuilolli
annals	cexiuhtlahcuilolli
annals	cexiuhamatl
record	cecemilhuitlahcuilolli
letter	amatlahcuilolli
half-moon	centlacolmetztli
saltwater crab	tecuicihtli
snore	cotaloliztli
sea salt	iztaxalli
steam	apoctli
tickle	quehquelli
brier	tlacatecoloxocohuitztli
bath	nealtilatl
Caxtīllān camohtli	Caxtillan camohtli
Caxtīllān pitzāhuac etl	Caxtillan pitzahuac etl
apple cider	Caxtillan texocooctli
Caxtīllān tlahtōlli	Caxtillan tlahtolli
Caxtīllān nacatlaōyoh tlaxcalli	Caxtillan nacatlaoyoh tlaxcalli
Caxtīllān copalli	Caxtillan copalli
tuber	camohtli
Caxtīllān tzaucxōchitl	Caxtillan tzaucxochitl
percussion instrument	tetzilacatl
god	noteouh
house	nocal
child	nopil
mother	monan
mother	tonan
mother	amonan
mother	tonahuan
house	mocal
house	ical
house	incal
house	tocal
house	amocal
name	notoca
mother	tonantzin
nature	iyeliz
mountain	totepeuh
snake	icoauh
fish	imichhuan
fish	immichhuan
skirt	icue
death	nomiquiz
wife	icihuauh
wife	nocihuauh
wife	mocihuauh
wive	icihuahuan
wive	nocihuahuan
wive	mocihuahuan
wive	icihuahuahtzin
wive	tocihuahuan
womb	icihuayo
in amāuh in amotepēuh	in amauh in amotepeuh
water	amauh
mountain	amotepeuh
in māuh in motepēuh	in mauh in motepeuh
altepetl	in amatzin in amotepetzin
sovereign	totlahtohcauh
sovereign	itlahtohcayohuan
noble	ipillohuan
foliage	iquillo
dog	nochichitohuan
tamale	huauhquiltamalli
tamale	ihuauhquiltamal
lord	moteucyo
lord	moteucyohuan
boat	imacal
grandmother	nocih
grandmother	mocih
father	intah
father	totah
father	notah
father	motah
father	totahhuan
pulque	ioc
pulque	imoc
priest	inteopixcauh
priest	toteopixcauh
priest	toteopixcahuan
water	iyauh
blood	imezzo
flesh	inacayo
flesh	nonacayo
flesh	monacayo
flesh	tonacayo
flesh	amonacayo
flesh	innacayo
beach sand	ilhuicaaxalli
dead	immiccahuan
lord	totec
shield	nochimal
shield	mochimal
shield	ichimal
shield	inchimal
shield	tochimal
shield	amochimal
shield	inchihchimal
excrement	nocuitl
excrement	mocuitl
excrement	icuitl
excrement	tocuitl
excrement	amocuitl
excrement	incuitl
language	itlahtol
language	intlahtol
seed	noquichcho
chili pepper	inchil
chili pepper	nochil
chili pepper	ichil
chili pepper	tochil
chili pepper	amochil
ear	nonacaz
marketplace	itiyanquiz
marketplace	intiyanquiz
marketplace	totiyanquiz
marketplace	amotiyanquiz
seat	icpal
house	nochan
house	mochan
house	ichan
house	amochan
house	inchan
house	tochan
tēchān tlācah	techan tlacah
family	cemithualtin
offspring	iconeuh
offspring	teconeuh
offspring	noconeuh
child	nopiltzin
only child	centeconetl
child	nocenteconetzin
bone	nomiyo
bone	nomiuh
illness	cocoliztli
book	namox
book	mamox
gourd	notecon
gourd	motecon
gourd	itecon
gourd	totecon
gourd	amotecon
gourd	intecon
slave	intlacahuan
slave	itlacauh
slave	itlacahuan
slave	notlacahuan
slave	notlacauh
slave	motlacahuan
slave	motlacauh
slave	totlacauh
slave	totlacahuan
slave	intlacauh
slave	amotlacauh
slave	amotlacahuan
tetl	tecomatl
maid	tococouh
maid	tococohuan
maid	nococohuan
maid	mococohuan
maid	nococouh
maid	mococouh
maid	icocouh
maid	incocouh
maid	incocohuan
marketplace	notiyanquiz
marketplace	motiyanquiz
marketplace	tetiyanquiz
book	iyamox
book	tamox
book	inamox
eye	iyix
eye	inix
gold coin	coztic teocuitlatomin
coin	tomin
deer	immazahuan
deer	imazahuan
deer	nomazahuan
deer	momazahuan
deer	tomazahuan
deer	amomazahuan
death	momiquiz
death	imiquiz
death	tomiquiz
death	amomiquiz
death	immiquiz
mother	tenantzin
language	notlahtol
language	motlahtol
language	amotlahtol
language	totlahtol
child	tzipitl
Chapultepec	chapoltepec
stem	itlacoyo
stick	tlacotl
stem	mequiyotl
mētztli mayo	metztli mayo
year	cexihuitl
ic mācuīlli mētztli in cexihuitl	ic macuilli metztli in cexihuitl
ic ce mētztli in cexihuitl	ic ce metztli in cexihuitl
ic ēyi mētztli in cexihuitl	ic eyi metztli in cexihuitl
ic chicuēyi mētztli in cexihuitl	ic chicueyi metztli in cexihuitl
yellowness	icoztica
eating away	icualoca
mētztli īcualōca	metztli icualoca
whiteness	iyiztaca
clarity	itehuilotca
dagger	ipuñalton
tōtoltetl ītehuilotca	totoltetl itehuilotca
tōtoltetl īyiztāca	totoltetl iyiztaca
tōtoltetl īcōztica	totoltetl icoztica
leavened bread	tlateochihuallaxcalli
prickly pear	innoch
prickly pear	nonoch
prickly pear	monoch
prickly pear	tonoch
prickly pear	amonoch
artisan	toltecatontli
boat	iyacal
boat	nacal
boat	tacal
boat	amacal
juice	iyaayo
urethra	tacayo
nit	tacel
agave	immeuh
great-grandfather	machcocolhuan
great-grandfather	nachcocolhuan
great-grandfather	tachcocolhuan
great-grandfather	nachcocol
great-grandfather	machcocol
great-grandfather	iyachcocol
great-grandfather	imachcocolhuan
great-grandfather	tachcocol
great-grandfather	imachcocol
great-grandfather	amachcocolhuan
great-grandfather	amachcocol
great-grandfather	iyachcocolhuan
great-grandfather	teachcocolhuan
great-grandfather	teachcocol
great-grandfather	achcocolli
book	imamox
end	nahciyan
end	iyahciyan
worm	iyocuillo
seed	moquichcho
seed	iyoquichcho
boat	teacal
god	noteohuan
god	moteouh
god	toteouh
god	amoteouh
god	inteouh
god	moteohuan
god	inteohuan
god	teteouh
god	teteohuan
mother	innahuan
arrival	ihuallaliz
plural	-huan
house	tecal
football	neicxitapayolhuiliztli
tlatoani	Axayacatl
ic ōme	ic ome
cēcen	ic ce
ic ēyi	ic eyi
ic nāhui	ic nahui
ic mācuīlli	ic macuilli
sixth	ic chicuace
beverage	tlaayotilli
tlaāyōtīlli vino	tlaayotilli vino
alcoholic drink	capoloctli
wild cherry tree	capollah
wild cherry tree	capolcuauhtlah
ic chicōme	ic chicome
ic chicuēyi	ic chicueyi
ic chiucnāhui	ic chiucnahui
caxtōlpa onnāppa	caxtolpa onnappa
Christian	christianosmeh
cemānāhuactli īmachiyo	cemanahuactli imachiyo
example	imachiyo
representation	machiyotl
water clock	atonalmachiyotl
water clock	atonalittaloni
straw	zacayaman
alcoholic drink	manzana octli
straw	zacayamanqui
nāuhcāmpa nacaceh machiyōtl	nauhcampa nacaceh machiyotl
olive tree	aceite cuahuitl
arboreal honey bee	cuauhneuczayoltin
ixachintin cuauhneuczāyōltin	ixachintin cuauhneuczayoltin
honey bee	mimiyahuameh
miyequintin cuauhneuczāyōltin	miyequintin cuauhneuczayoltin
color	quilpalli
ritual ball game	ollamaliztli
play	ollama
skin	nehuayo
skin	tehuayo
skin	mehuayo
skin	iyehuayo
lord	totlahtohcatzin
father	tetahtzin
child	ipiltzin
mother	inantzin
teōpixqueh	san Francisco teopixqueh
fig tree	hicoxcuahuitl
grove	hicoxcuauhtlah
fish	michmaliztli
fish	michahxiliztli
sow	imilpan
melon mīlpan	melon milpan
fish	tlahtlamaliztli
sow	nomilpan
sow	momilpan
sow	immilpan
agricultural land	milpan
land	milpanecatl
rural	milpanecah
land	millahtlacatl
rural	millahtlacah
apocryphal	iztlacatlahcuiloh
writer	iztlacatlahcuilohqueh
maize tortilla	tlamatzohualli
bowl	tlamatzohualcaxitl
basketmaker	chiquiuhchiuhqueh
altepetl	altepetlahcuiloh
altepetl	altepetlahcuilohqueh
altepetl	xiuhtlahcuiloh
altepetl	xiuhtlahcuilohqueh
agriculture	xipe totec
grandmother	amocihhuan
tēteoh īnnān	teteoh innan
hero	oquichchotl
stepmother	nochahuanan
stepmother	mochahuanan
stepmother	ichahuanan
stepmother	tochahuanan
stepmother	tochahuanahuan
stepmother	techahuanan
landrace dog	tlalchichimeh
pulque	octlaliloyan
wine	vino calli
mirror	itezcauh
mirror	notezcauh
mirror	motezcauh
cornfield	teomilco
song	icuic
tree	xochincuahuitl
mombin	mazaxocotl
tree	mazaxococuahuitl
saliva	nocualac
plum tree	ciruela cuahuitl
scepter	tlahtohcatopilli
lord	notecuiyo
lord	totecuiyo
sovereign	tlahtohcayoh
sovereign	tlahtohcayohqueh
lord	itecuiyo
paragraph	tliltetl
song	nocuic
song	mocuic
song	tocuic
bridge	tecuappantli
huēyi Caxtīllān xonacatl	hueyi Caxtillan xonacatl
breeze	ehcaxoctli
water lily	atlacuezonan
stool	cuauhitzcuintli
trunk	icuauhyo
four apiece	nahnahui
four at a time	nanahui
one apiece	cehcen
two apiece	ohome
onomatopoeic	ha ha ha
onomatopoeic	a a a
onomatopoeic	hi hi hi
onomatopoeic	ho ho ho
present	axcancayotl
now	axcan
Nahuatl	monahuatlahtol
Nahuatl	nonahuatlahtol
Nahuatl	inahuatlahtol
Nahuatl	tonahuatlahtol
Nahuatl	amonahuatlahtol
Nahuatl	innahuatlahtol
tomio	tomiyo
ciua netotiliztli	cihuanehtotiliztli
peral quauitl	peral cuahuitl
fist	maololli
water	mauh
mountain	motepeuh
tlilxuchitl	tlilxochitl
abyss	tlilatl
tlacaua	tlacahuah
slaveowner	tlacahuahqueh
possessive	-huah
tlatquiua	tlatquihuah
owner	tlatquihuahqueh
outlook	tlattoyan
tlatocapilli	tlahtohcapilli
princes	tlahtohcapipiltin
matzaoctli	matzahoctli
aquallatolli	ahcuallahtolli
yuliliz atl	yolilizatl
yuliliztli	yoliliztli
cemicac yoliliztli	cemihcac yoliliztli
eucharist	yoliliztlaxcalli
chiamachiuhqui	chiyamachiuhqui
vei michiauacayotl	hueyi michchiyahuacayotl
boar	cocoyameh
ciuaua	cihuahuah
spouse	tenamic
husband	teoquichhui
namique	namiqueh
married	namiquehqueh
teciuauh	tecihuauh
oquichua	oquichhuah
oueix metztli	ohueyix metztli
oyaualiuh metztli	oyahualiuh metztli
morning star	-pol
cōātl īcue	coatl icue
cheese	tlatetzauhtli
ocoçacatl	ocozacatl
hold	tlacamayeh
cua	cuā
do	chihua
me	nech-
invent	piqui
-ihui	-oa
drill	mamali
hello	niltze
tzinacan	tzinacantli
wood	cuauhtequi
Mexican beaded lizard	acaltetepon
Iximche	Cuauhtemallan
France	Gallitlalpan
England	Inglatlalpan
frog	acacueyatl
straw	popotl
corncob	cintli
divination	tlapohualiztli
wildcat	zacamiztli
work	tequitl
joke	camanalli
go	huica
jaguar warrior	oceloquichtli
full	ixhui
bed	tlapechtli
lie	iztlacati
sandal	tecactli
bean tamale	etamalli
volcano	Citlaltepetl
pot	comitl
passive participle	-lli
red	chichiltic
yellow	coztic
see-turtle	chimalayotl
jabiru	acacalotl
grapes	xocomecatl
orange	naranjaxocotl
pomegranate	granadaxocotl
guava	xalxocotl
papaya	chichihualtzapotl
banana	zapalotl
green	xoxoctic
loincloth	maxtlatl
sapotilla	chictzapotl
mamey	tetzontzapotl
yellow	atzapotl
tlacamayeh tecuani	tlacamaye tecuani
anteater	azcacoyotl
bible	teoamoxtli
common-law marriage	nemekatilistli
mushroom	teonanacatl
grasshopper	acachapolin
fables	tlaquetza
architect	calmanani
greater white-fronted goose	tlalalacatl
roseate spoonbill	quecholli
anhinga	acoyotl
belted kingfisher	achalalahtli
neck	quechtli
sawfish	acipactli
figeater beetle	mayatl
acamaya	acamayatl
shrimp	achacalin
blue crab	atecuicihtli
pluck	huihuitla
arrive	ehco
ascend	tlehco
black	capotztic
tie	cahcatza
tie	ilpia
pati	patla
awaken	ihza
step on	icza
trample	xihxili
smooth	petzoa
separate	caltechoa
Wall	caltechtli
help	palehuia
chew	tlanchoa
slide	petzcoa
watch	chiya
anoint	ohza
end	tlami
strike	huitequi
strengthen	huapahua
cut	tequi
toast	ihcequi
stop	cahua
diarrhea	amintli
scold	ahhua
saliva	chihchitl
spit	chihcha
smell	ihnecui
pick	pehpena
hail	tecihui
hail	tecihuitl
cloud	ayahuitl
snow	cepayahui
drizzle	tlapayahui
weave	ihquiti
answer	nanquilia
harm	ihtlacoa
blow	pitza
visible	ithui
lie to	cuamana
forget	ilcahua
remember	ilnamiqui
carry	itqui
transport	zaca
stretch	tititza
stretch	catzana
slip	xoloa
slide	alahua
slide	xolahua
exist	oncah
altepetl	ahuah tepehuah
water	ahuah
mountain	tepehuah
somewhere	-ah
locative	-titlan
locative	-tzalan
locative	-tloc
torment	tolinia
disturb	cuehzoa
press	pachoa
worry	tequipachoa
boil	pahuaci
bake	ixca
whistle	quiquici
pyrite	petztli
swallow	petztoloa
breakfast	tenihza
fear	mahui
cook	huicci
cook	iucci
sneeze	iucxoa
hiccup	tziucnoa
replant	tecpoa
be ashamed	pinahua
anger	tlahuelli
Anger	cualantli
sad	tlaocoya
angry	cualani
cultivate	elimiqui
field	cuemitl
spongy	poxahuac
tequesquite	tequixquitl
half moon	metzonalli
co-regent	cihuacoatl
Penelope purpurascens	coxolihtli
pitaya	tzaponochtli
bamboo	ohtlatl
skunk	coneepatl
catfish	axolomichin
whore	ahuiani
jaw	camachalli
flamingo	quecholtototl
roseate spoonbill	tlauhquecholli
orange	chilcoztic
golden barrel cactus	teocomitl
golden barrel cactus	huitznahuac
tlacamaye tecuani	tlacamayeh tecuani
tasty	huelic
white sapote	cochitzapotl
honey bee	neuczayolin
barrel	cuauhcomitl
achiote	achiotl
volcano rabbit	zacatochin
ye huehcāuh	ye huehcauh
zanate	tzanatl
foot	xotl
table	ahcopechtli
abbot	teoyotica tepachoani
kinship	mecayotl
dung	tlapalantli
open	tlapoa
Aculco	Ahcolco
capulin tree	capolcuahuitl
tlaxcaltecah	tlaxcaltecatl
swamp	achahuitl
and	ihuan
or	nozo
ocelot	tlalocelotl
dog	techichi
Nopaltepec	Nohpaltepec
Metepec	Metepec
Atlixco	Atlixco
drum	panhuehuetl
teponaztli	teponaztli
rattle	ayacachtli
flute	tlapitzalli
bagpipe	ehuatlapitzalli
owl	chichtli
locust	acachatl
wave	acueyotl
pronghorn	teotlalmazatl
acacapaquelite	acacapacquilitl
quesadilla	tlaxcalpacholli
taco	tacualli
pericon	yauhtli
Michoacán	Michhuahcan
yucca	iczotl
bilberry cactus	tepepoa
fruit-bearing cactus	tenohpalli
sahuaro	teonochtli
choya	netzolli
belly	xillantli
coyo	pahuatl
right hand	mayectli
left hand	maopochtli
healing	pahtiliztli
fungus	chahuiztli
nail	tepozhuitztli
Jaguar	ocelopilli
crystal	tehuilotl
hay	pachtli
copal	copalli
sacred fir	acxoyatl
red-naped sapsucker	acxoyatototl
citizen	altepetlacatl
copal tree	copalcuahuitl
governor	tepachoani
crested caracara	tlecuauhtli
reed bed	acatlan
cloak	notilmah
cloak	motilmah
cloak	itilmah
reptilian	cipactin
santo Domingo teōpixqueh	santo Domingo teopixqueh
attributive	Cuauhtlahtoatzin
God the Father	Dios Tetahtzin
God the Son	Dios Tepiltzin
sovereign	tlahtohcatotontin
women	cihuameh
disciple	discipulomeh
disciple	idiscipulohuan
apostle	apostolomeh
evangelist	evangelistameh
Dios Spiritu Santo	Dios Spiritu Santo
deer	mazapil
Holy Spirit	Spiritu Santo
sin	itlahtlacol
sin	notlahtlacol
sin	motlahtlacol
sin	intlahtlacol
sin	amotlahtlacol
angel	angelomeh
patriarch	patriarcameh
prophet	profetameh
martyr	martiremeh
virgin	virgineme
confessor	confesoremeh
turkey	nohuehxolouh
turkey	nohuehxolohuan
mountain	intepehuan
mountain	intepeuh
mountain	totepehuan
mountain	notepeuh
mountain	notepehuan
mountain	itepehuan
mountain	itepeuh
mountain	amotepehuan
tortilla	totlaxcal
tortilla	notlaxcal
tortilla	motlaxcal
tortilla	itlaxcal
tortilla	intlaxcal
tortilla	amotlaxcal
mother	totlazohnantzin
mother	tlazohnantzintli
mother	tlazohnantzitzintin
pet dog	nochichiuh
pet dog	nochichihuan
pet dog	amochichiuh
pet dog	mochichiuh
pet dog	ichichiuh
pet dog	inchichiuh
pet dog	amochichihuan
pet dog	inchichihuan
pet dog	mochichihuan
pet dog	ichichihuan
pet dog	tochichihuan
pet dog	tochichiuh
cloak	totilmah
cloak	amotilmah
cloak	intilmah
enemies	toyaohuan
enemies	moyaohuan
enemies	noyaohuan
enemies	amoyaohuan
enemies	iyaohuan
foe	inyaohuan
enemy	inyaouh
enemy	iyaouh
singing	incuic
precious	tlazohtli
nape	cuexcochtli
napes	tocuexcoch
nape	nocuexcoch
nape	amocuexcoch
nape	icuexcoch
nape	incuexcoch
nape	mocuexcoch
daughter	nochpoch
girl	ichpochtzintli
girl	cihuapiltzintli
girl	ichpochpiltontli
girl	ichpochtepiton
girl	ichpopochtepitoton
governor	teopixcatlahtohqueh
strip	tlatl
amber	apozonalli
wooden crate	huacalli
acazanate	acatzanatl
baby	conetzintli
Augustinian friar	san Agustin teopixqueh
grove	tenohpallah
chair	acaicpalli
elderberry	xometl
temple	teopantli
guava tree	xalxococuahuitl
water	amatzin
hill	amotepetzin
miraculously	tlamahuizoltica
water	natzin
water	matzin
water	imatzin
water	tatzin
miracle	tlamahuizolli
awe	mahuiztli
vassalage	macehuallotl
fish	amilotl
fish	amilomeh
roe	amilotetl
peacock	Caxtillan quetzaltototl
turkey	Caxtillan quetzaltotomeh
priest	quequetzalcoah
blood offering	nextlahualtin
sacrifice	nextlahualli
person	huemmanaliztli
offering	tlamanaliztli
crab louse	ixoculin
grave stone	miccatlatatactzaccayotl
grave stone	tlatatactzaccayotl
grave	tlatatactli
womb	cihuayotl
ordinance	altepenahuatilli
sacrament	sacerdoteyotl
bird	pacxixihtli
child	noxocoyouh
child	moxocoyouh
child	amoxocoyouh
child	ixocoyouh
child	inxocoyouh
child	toxocoyouh
heart	moyolloh
heart	noyolloh
heart	iyolloh
heart	toyolloh
heart	amoyolloh
heart	inyolloh
servant	mocnomacehual
poor	icnomacehualli
servant	icnomacehualtin
nephew	imach
nephew	imachhuan
nephew	nomach
nephew	momach
nephew	momachhuan
nephew	nomachhuan
palace	itecpanchan
nephew	immachhuan
nephew	amomach
nephew	amomachhuan
nephew	tomach
nephew	tomachhuan
nephew	immach
thorn	iahhuayo
will	notlanequiliz
will	motlanequiliz
will	itlanequiliz
fresh water	acecec
will	tlanequiliztli
will	ceyaliztli
God	ieyitiliztzin
mesentery	elmatlatl
mesentry	telmatl
diligence	ellotl
beverage	pozolatl
beverage	cuauhnexatl
basket	cuauhchiquihuitl
watercress	mexixin
watercress	mexixquilitl
basin	teahpaztli
baptismal font	necuatequilizteahpaztli
baptism	necuatequiliztli
priests	tlalocahuehuetqueh
wave	atetepeyotl
wave	hueyi acueyotl
maize	mexixquillaxcalli
Huitzilopochco	huitzilopochcah
cruelty	ahtlacayotl
