inula	woman
we	my
whore	kurwa
lion	law
snake	had
letter	list
king	kral
wedge	klin
son	syn
old woman	baba
dew	rosa
grave	row
I	ja
you	ty
nose	nós
goose	hus
Saturday	sobota
water	woda
but	ale
mole	knot
when	porno
frog	žaba
goat	koza
or	abo
bird	ptak
skin	koža
fly	mucha
hand	ruka
tongue	jazyk
man	muž
address	adresa
three	tři
there	tam
marten	kuna
father	nan
hundred	sto
mouse	myš
four	štyri
one	jene
Africa	Afrika
linden	lipa
Russian	ruski
and	a
South America	Južna Amerika
Asia	Azija
be	być
Hebrew	hebrejski
good	dobry
trough	korto
Japanese	japanski
wisent	zubr
library	biblioteka
bottom	dno
brother	bratr
Denmark	Danska
iron	železo
you	wy
berry	jahoda
crayfish	rak
island	kupa
sickle	serp
ill	chory
old	stary
ore	ruda
time	čas
clay	hlina
plough	pluh
beard	broda
ford	bród
drink	pić
country	kraj
naked	nahi
will	wola
gold	złoto
head	hłowa
hair	włosy
forehead	čoło
ear	wucho
language	rěč
woman	žona
fire	woheń
fish	ryba
book	kniha
egg	jejo
food	jědź
sword	mječ
paper	papjera
thing	wěc
ice	lód
word	słowo
smoke	dym
moss	moch
knee	koleno
fox	liška
German	němski
work	dźěłać
rod	prut
ram	boran
parrot	papagaj
French	francoski
they	wone
pain	ból
beer	piwo
dream	són
Panchen Lama	Panchen Lama
phoneme	fonem
area	krajina
president	prezident
engineer	inženjer
glory	sława
hemp	konop
piglet	proso
crow	wróna
new	nowy
young	młody
our	naš
city	město
owl	sowa
know	znać
blood	krej
sister	sotra
milk	mloko
father	wótc
bark	skora
cow	kruwa
nit	hnida
bad	zły
night	nóc
grass	trawa
little	mały
eye	woko
stick	kij
he	wón
they	woni
magpie	sroka
harrow	bróna
English	jendźelski
Upper Sorbian	hornjoserbski
Lower Sorbian	delnjoserbski
Polish	pólski
Kashubian	kašubski
Czech	čěski
Spanish	španiski
Upper Sorbian	hornjoserbšćina
Sorbian	serbski
bee	pčoła
elephant	słon
furrow	brózda
sky	njebjo
god	bóh
voice	hłós
dove	hołb
worm	čerw
horn	róh
attack	napad
seed	symjo
hawk	jatřob
snail	šlink
spider	pawk
snake	wuž
salmon	łosos
eagle	worjoł
falcon	sokoł
sparrow	wrobl
sparrow	wroblik
swallow	łastojčka
tit	sykora
tit	sykorka
shovel	łopata
light	swětły
weapon	bróń
author	awtor
palm	dłóń
border	hranica
name	mjeno
name	imje
name	mje
thread	nić
full	połny
guilt	wina
winter	zyma
buy	kupować
buy	kupić
boat	łódź
wash	myć
river	rěka
