sun	tonal
fish	michi
mole	moli
bird	totot
metate	metat
ant	askat
deer	masat
avocado	awakat
snail	xocti
well-dressed	xino̱la̱j
wood	cuoutequi
wizard	nawal
Lynx rufus	xa̱ltigri̱llo
be born	yo̱li
coyote	koyot
cooked	yocsic
louse	tecolo̱t
opossum	tacua̱che
river	hue̱yia̱t
kinkajou	ta̱ncho
nest	tapajsol
axolotl	axolot
indigenous	masewal
penis	tepol
chilate	chilat
capulin	kapolin
maize	tagol
boy	okichpil
mermaid	asiwat
village	xolal
dog	itskuinti
sheep	ichkat
black zapote	tliltsapot
owl	tekolot
opossum	takuatsin
squirrel	chechelot
rain	kiowit
turkey cock	wewejcho
sea	weyiat
tree	kuowit
cabbage	kolex
slug	xokti
