mulberry	тут
not	на
sister	хор
hundred	сад
year	сол
twenty	bist
knife	корт
donkey	хар
elephant	фил
new	нава
where	ку
person	одам
school	мактаб
deaf	кар
city	шаҳр
week	ҳафта
right	рост
we	мох
catch	капак
day	рӯз
head	сар
I	ман
thousand	ҳазор
man	мард
book	китоб
money	пул
south	ҷануб
red	сурх
animal	ҳайвон
fish	моҳӣ
egg	тухм
dream	хун
branch	шох
sun	офтоб
you	ту
yes	ҳа
shame	шарм
cold	сорт
black	шов
sun	хур
do	карак
when	кад
full	пун
few	кам
cattle	мол
north	шимол
word	гап
apple	себ
color	ранг
bear	хирс
cheese	панир
good	хуб
machine	мошин
end	охир
left	чап
name	нум
road	рос
mouth	рах
one	ӣ
Yaghnobi	ԝ
Yaghnobi	Ԝ
mouse	муш
what	чо
god	худо
key	калит
lip	лап
low	паст
dark	тора
flour	орта
оп	ов
ов	оп
fox	руба
sky	осмон
iron	оҳан
pair	ҷуфт
wheel	чарх
bread	нун
tongue	зивок
gold	тилоҳ
table	истал
five	панч
six	ухш
fly	фурак
green	сабз
news	хапар
every	ҳар
wind	шамол
die	мирак
ask	пурсак
eight	ашт
earth	замин
four	туфор
brother	буродар
beard	рӣша
root	риша
blue	кабут
beak	нул
bright	рахшин
cook	пухсак
clean	тоза
duck	мурғоби
east	шарқ
thought	фикр
guest	меҳмон
hunt	шикор
knee	зонк
kidney	ғуркак
letter	мактуб
letter	ҳарф
laugh	хантак
lamp	чироғ
moon	маҳтоб
month	моҳ
mountain	куҳ
nose	нес
nine	нав
night	хишап
navel	нофа
broom	рупч
oil	руған
possible	мумкин
put	мунак
peace	оштӣ
mirror	оҳина
river	дайро
rifle	милтиқ
sit	нидак
soul	ҷон
spring	чишма
stand	уштак
tooth	диндак
tree	дирахт
teacher	малим
thing	чиз
west	ғарб
want	хоҳак
who	ках
wolf	урк
you	шумох
eat	хварак
foam	хаф
nail	нахна
seven	avd
two	dŭ
bone	sitak
three	tiráy
other	ани
rice	rĕžóna
rice	rĭžóna
