eye	མིག
horse	རྟ
momo	མོག་མོག
snake	སྦྲུལ
heart	སྙིང
apple	ཀུ་ཤུ
milk	འོ་མ
mountain	རི
cold	གྲང་མོ
fog	རྨུགས་པ
black	ནག་པོ
tooth	སོ
water	ཆུ
music	གླུ་དབྱངས
hand	ལག་པ
school	སློབ་གྲྭ
snow	ཁ
book	ཀི་དེབ
monastery	དགོན་པ
blue	སྔོན་པོ
dry	སྐམ་པོ
foot	རྐང་པ
long life	ཚེ་རིང
delicious	ཞིམ་པོ
crocodile	ཆུ་སྲིན
life	ཚེ
tree	ལྕང་མ
chair	ཀུར་རྩི
flower	མེན་ཏོག
stone	རྡོ་བ
eat	ཟ་བྱེས
banana	ཀེ་ལའི
stream	བྲོག་པོ
whiteboard	ཏག་ཏི
apricot	ཅུ་ལི
apricot stone	རྩི་གུ
bear	དྲེན་མོ
belt	སྐེ་རག
blue	གནམ་རང
bride	བག་མོ
car	ག་གྲི
but	ལེ་ཀྱིན
but	ཡིན་ནའང
cat	བྱི་ལ
cap	ཏི་བི
chili	ཉེར་མ
festival	ལྟད་མོ
fox	ཝ་ཙེ
friend	གྲོགས
eyeglasses	མིག་ར
grape	རྒུན
handkerchief	ལག་འཕྱིས
heart	སྡིལ
jealousy	ས་ཕྲག་ལུང
jewellery	སྐེ་ཆ
language	སྤེ་ར
lightning	སྐན་གློག
maternal uncle	ཨ་ཞང
melodious	སྙན་པོ
zurna	སུར་ན
object	ས་མན
elephant	གླང་པོ་ཆེ
