is	on
dog	koira
bone	luu
what	mi
word	sana
here	sit
paddle	mela
these	ne
hen	kana
this	se
sea	meri
not	ei
wind	tuuli
way	tie
thou	sie
cat	kissa
permission	lupa
brains	aivot
boil	kiehua
who	ken
help	abu
ceiling	lagi
day	päivä
night	yö
walk	kävellä
run	juosta
star	tähti
boy	poika
girl	tyttö
daughter	tytär
young	nuori
long	pitkä
one	yksi
two	kaksi
three	kolme
five	viisi
ten	kymmenen
hundred	sata
thousand	tuhat
slumber	nukkua
winter	talvi
door	ovi
wall	seinä
cow	lehmä
time	aika
answer	vastata
small	pieni
iron	rauta
clock	kello
korvu	korva
rooster	kukko
axe	kirves
cape	niemi
dream	uni
pretty	kaunis
short	lyhyt
good	hyvä
bad	huono
money	raha
put	panna
be	olla
bite	purra
foot	jalka
bird	lintu
snow	lumi
fingernail	kynsi
hot	kuuma
bad	paha
mouth	suu
village	kylä
hare	jänis
town	linna
shirt	paita
blood	veri
letter	kirjain
book	kirja
bag	laukku
image	kuva
eleven	yksitoista
all	kai
kälü	käly
holy	pyhä
like	ko
battle	tora
telephone	telefon
reserve	vara
age	ikä
beer	olut
seed	siemen
earth	moa
my	-ni
thy	-s
floor	late
bit	pala
that	tuo
those	nuo
this	tämä
these	nämä
already	jo
value	arvo
mother	emä
this	tai
light	valo
which	ku
other	muu
father-in-law	appi
mother-in-law	anoppi
pike	hauki
wrist	ranne
obstacle	este
palm	kämmen
genius	nero
third	kolmas
cloud	pilvi
fire	tuli
warm	lämmin
hard	kova
flight	pago
furrow	vago
war	soda
Finland	Suomi
I	mie
rim	raja
price	hindu
own	oma
pole	salgo
trough	allas
dictionary	sanakirja
gums	ien
canal	oja
birchbark	tuohi
fox	repo
seven	seiččemen
eight	kaheksan
ten	kymmeni
different	eri
devil	piru
die	kuolla
marrow	ydin
elk	hirvi
eagle	kotka
south	suvi
finger	sormi
ring	sormus
ye	työ
wheel	pyörä
beard	parta
pine	mänty
root	juuri
juice	mehu
lynx	ilves
magpie	harakka
crane	kurki
god	jumala
hair	tukka
stone	kivi
cover	kate
sledge	regi
moth	koi
cut	leikata
calf	vaza
yarn	langa
dew	kaste
fence	aida
mud	liga
woodpecker	tikka
coal	hiili
where	kus
layer	kerros
fabric	kangas
comb	suga
whither	kunne
might	valda
bear	mesikämmen
dress	soba
willow	paju
oak	tammi
course	meno
milk	maito
million	miljoona
milliard	miljardi
guest	vieras
stomach	maha
tooth	hammas
farmhand	renki
ring	rengas
best	paras
place	kohta
pay	maksu
tribe	heimo
hay	heinä
lick	nuolla
bow	jousi
broth	liemi
gall	sappi
vein	suoni
louse	täi
breast	rinda
crumb	muru
drill	pora
blade	laba
mud	muda
rag	ribu
pot	pada
road	keli
flesh	liha
oar	airo
grade	aste
goose	hanhi
half	puoli
wax	vaha
snake	mado
mind	mieli
heat	helle
wheat	vehnä
rye	ruis
rear	perä
knee	polvi
wheel	ratas
bark	kuori
so	muga
such	moine
smell	haju
ball	šara
horse	heboine
union	liitto
hearing	kuulo
wash	pestä
well	kaivo
guess	arvata
pain	tuska
waterfall	koski
birch	koivu
old woman	akka
mercy	armo
dear	armas
porridge	pudro
sister-in-law	nado
wolf	hukka
rage	viha
end	loppu
devil	karu
turtle	kilpikonna
mare	tamma
rust	ruoste
jump	hyppy
lawn	nurmi
leuga	leuka
change	vaihto
open	avata
weak	heikko
hill	mägi
sand	lieto
ottua	ottima
cattle	karju
tube	torvi
leaf	lehti
breath	hengitys
clay	savi
lip	huuli
vapor	höyry
which	kumpi
hot	räkki
widow	leski
bed	kravatti
ox	häkki
gun	pyssy
ski	suksi
sink	upota
yard	piha
how	kui
taste	magu
lock	salvata
flour	jauho
place	paikka
will	tahto
rot	hapata
step	askel
blade	terä
witch	noita
rise	nosta
knot	solmi
bag	reppu
industrious	ahkera
rot	lahota
fear	varata
woman	naine
we	myö
they	hyö
peaceful	tauno
husband	ukko
calm	vieno
people	rahvas
flock	parvi
storehouse	aitta
start	ruveta
place	sija
door	uksi
water	vezi
flame	liekki
armpit	kainalo
care	huoli
mention	mainita
centre	keskus
dry	kuivata
human being	ihmini
hand	käzi
valkie	valgie
world	miero
boat	veneh
horse	hebo
island	suari
pig	počči
mother	muamo
girl	neiyt
voice	iäni
sun	päiväne
animal	elätti
animal	žiivatta
rod	ongi
cock	kukki
law	zakon
hot	palava
quarrel	hoppu
scanner	skanneri
timber rafting	uitto
remember	mustua
stairs	porras
brother	velli
purchase	ostos
fireplace	ahjo
hillside	ahe
region	aloveh
distress	ahtivo
orphan	armoitoi
autumn	sygyzy
barley	ozra
bishop	arhelei
sauna	kyly
youth	priha
republic	tazavalda
grandchild	vunukka
soon	välleen
only	ainavo
endless	agjatoi
thief	varras
shore	randa
bird	käppä
music	soitto
dumb	törky
early	aijoi
always	ainos
go	männä
roe	määhnä
fall	langeta
dumb	höperö
dig	kaivoa
guest	ativo
fresh	veres
forest	korbi
orphan	orbo
bean	pabu
each	joga
beard	parda
cat	kazi
stump	kando
home	kodi
abortion	abortu
ask	pakita
strong	väkövä
born	syntyö
swallow	piäškyni
church	kirikkö
pocket	kormano
tight	ahas
pond	lambi
flight	lendo
time	aiga
fox	rebo
net	verko
sweat	higi
soul	hengi
go out	sammuta
his	-h
level	tazo
naked	alastoi
nonalcoholic	alkogolitoi
regional	alovehelline
occupational	ammatilline
Arctic	arktilline
worth	arvoine
prestigious	arvovaldaine
draftee	armiivellaline
automatic	avtomuatilline
phonetic	iäniopilline
toothless	hambahatoi
Romania	Rumiini
Sweden	Ruočči
Denmark	Daanii
Russia	Venʹa
United States	Ühtüsvallat
France	Frantsii
Norway	Norveegii
Lithuania	Litvu
Estonia	Estounii
Japan	Japounii
England	Anglii
computer	tiedokoneh
spectacles	očkat
television broadcast	televiizor
engineer	inženieru
flag	flagu
bus	avtobussu
railway station	raudutieazemu
tie	galstukku
sugar	sogeri
sister	sizär
menstruation	kuukaudizet
domestic animal	kodielätti
beer	piivo
weather	siä
nuclear war	üdinsoda
duty	vellalizus
toilet	käümäl
excrement	ullosteh
viper	küümado
primer	aberi
pretty	čoma
