woman	pin
he	ir
will	ra
eat	kay
know	nang
run	mil
what	maang
very	rib
they	yow
tree	gak'iy
chicken	nimen
you	gur
you	guur
fall	mul
water	raen
cook	lith
fish	nig
hand	rifrif
leg	qaay
road	woq
skin	yalach
skin	yarooch
skin	doew
family	tabinaw
teacher	sensey
eat	abich
pray	meybil
we	gadow
money	salpiy
goat	kaaming
coconut	niiw
who	miniiq
someone	beaq
something	ban'ean
little	boechquw
I	gaeg
he	qiir
we	gamow
you	gimeew
we	gadaed
we	gamaed
you	gimeed
they	yaed
them	bagyow
them	bagyaed
