bone	suka
brain	puso
I	ako
five	lima
monkey	amo
sun	adlaw
house	tiki
maize	mais
cow	baka
eye	mata
paper	papel
shark	iho
spear	isi
dog	iro
mouse	ambo
Abelmoschus esculentus	okra
year	tuig
mango	mangga
nail	kuko
lip	bibig
elbow	siko
chicken	manok
clothes	baro
louse	kuto
morning	aga
hen	munga
mouth	yuba
face	uda
snake	sawa
lung	baga
skull	bungo
afternoon	hapon
hair	buhok
arm	braso
tortoise	bao
vagina	puki
water	tubi
milk	gatas
hundred	gatos
bald	panot
goat	kambing
nose	ilong
frog	paka
horse	kabayo
scissors	gunting
squid	pusit
kitten	miming
liver	atay
spear	bangkaw
flea	bitik
waterfall	busay
hand	damot
evening	gab-i
goose	gansa
fruit	prutas
garlic	bawang
avocado	abokado
bird	pispis
gecko	tuko
turkey	pabo
harelip	sungi
onion	sibuyas
fever	sagnat
foot	siki
apple	mansanas
worm	bitos
ear	talinga
butterfly	bila-bila
tender	tambo
cabbage	repolyo
tomato	kamatis
brain	utok
urine	ihi
mother	nanay
cassava	balinghoy
forehead	yupa
fart	utot
secret	lihim
termite	anay
finger	tudlo
star	bituon
man	tawo
sweet potato	kamote
eyelash	pilok
eyebrow	kilay
pig	baktin
food	pagkaon
nail	lansang
breast	suso
vegetable	utanon
mosquito	namok
shark	pating
banana	batag
long	mahaba
tongue	rila
ring finger	palasingsingan
worm	uod
blood	rugo
eggplant	tayong
tooth	ngisi
navel	pusor
name	ngayan
penis	buslo
leaf	rahon
dandruff	arik-ik
cat	uning
dog	gadya
mousetrap	yabti
trap	rit-ag
molar	bag-ang
toothpick	pantinga
fly	yangaw
door	hagran
saliva	yaway
fish	isra
knee	tuhor
umbrella	padong
buttocks	igot
face	hawong
moon	buyan
well	bal-ong
tapeworm	kuyati
worm	uyor
little finger	kamayingking
ant	gudom
anthill	bunsor
yesterday	itahapon
tomorrow	insulip
pig	yayog
later	isag
chicken pox	suyasob
nipple	adutong
chest	rughan
sour	maaslom
chick	isiw
Chinese cabbage	pitsay
coconut	nidog
house	bayay
arm	butkon
back	likor
carabao	karabaw
mung bean	munggo
chin	suyang
body	yawas
squash	kayabasa
red pepper	yumpakan
ginger	yud-a
mung bean	bayatong
bitter melon	marguso
rooster	tubor
bee	alimbubudog
cockroach	tabakong
firefly	kuyaw-kuyaw
spider	yawa-yawa
moth	amimispis
grasshopper	tibakya
now	ngasing
