skunk	ga
water	di
opossum	slon
axe	ä
horse	kabayo
rifle	krik
sun	dlo
soap	söp
water	diwa
woman	walë
sloth	wlinmo
bat	gurgwo
giant anteater	shugo
raccoon	shënã
toad	kläk
duck	darka
macaw	moskwan
Amazona viridigenalis	shönwo
scorpion	dyë
Theobroma cacao	kä
bean	shtagwo
tooth	kowo
rain	shunyo
airplane	jëklo komo
train	jëklo drönshokingo
armadillo	dupkwo
avocado	dborba
