borscht	борщ
body	бэйэ
equal	тэҥ
great	суо
be	буол
set	киир
style	быһыы
breathe	тыы
barn	хотон
thankful	махталлаах
eat	аһаа
play	оонньоо
toy	оонньуур
west	арҕаа
thigh	буут
silver	көмүс
iron	тимир
hand	илии
moon	ый
Sakha	сахалаа
where	ханна
morning	сарсыардааҥы
dusty	быыллаах
dust	быыл
sing	ыллаа
forest	тыа
fuck	кыар
milk	ыа
rain	самыырдаа
rainy	самыырдаах
kindredly	аймахтыы
Кудай	уола
Байдам	кыыһа
gun	саа
teacher	учуутал
teaching	үөрэтии
teach	үөрэт
hello	бирибиэт
gerund	-ии
gerund	-ыы
balalaika	балалайкаһыт
well done	маладьыас
dozen	дьууһуна
guitarist	гитараһыт
hello	дорообо
today	бүгүҥҥү
today	бүгүн
tomorrow	сарсыҥҥы
elder brother	убай
Monday	бэнидиэнньик
Tuesday	оптуорунньук
Thursday	чэппиэр
Wednesday	сэрэдэ
Friday	бээтинсэ
people	норуот
Tartar	татаар
lawful	сокуоннай
Lena	Туймаада
urinate	ииктээ
thick	суон
music	муусука
south	кытат
Russian Federation	Российскай Федерация
shop	маҕаһыын
week	нэдиэлэ
Saturday	субуота
Sunday	баскыһыанньа
at first	маҥнай
nostril	таныы
yellow	араҕас
whole	бүттүүн
day	хонук
find	бул
untied	босхо
many	үгүс
man	эр киһи
long	уһун
horn	муос
tail	кутурук
liver	быар
bite	ытыр
sleep	утуй
come	кэл
sit	олор
give	биэр
stone	таас
fire	уот
little	куччугуй
ДЬ	Дь
ДЬ	дь
Дь	ДЬ
hunger	аччыктааһын
hungry	аччык
near	чугас
нь	Нь
нь	НЬ
workers of the world, unite	barь dojdular proletarijdara, qolbohuꞑ
eyelash	кыламан
son-in-law	күтүөт
bridge	күрбэ
fishing pole	күөгү
jealous	күнүүһүт
diary	күннүк
lark	күөрэгэй
cooking	күөс
drink	күөрчэх
mouse	кутуйах
doll	куукула
kitchen	куукуна
swamp	кута
campfire	кутаа
feast	курум
partridge	куруппааскы
stomach	куртах
esophagus	куолай
armor	куй̃ах
fishing net	куйуур
freedom	көҥүл
sweat	көлөһүн
jewel	киэргэ
stirrup	иһэҥэ
cottage cheese	иэдьэгэй
lack	итэҕэс
shchi	истии
pus	ириҥэ
roe	искэх
greed	иҥсэ
sinew	иҥиир
accident	дэҥ
urine	иик
circle	ии
occupation	идэ
file	игии
year	дьыл
destiny	дьылҕа
neighbor	дьукаах
deaf	дьүлэй
illness	дьаҥ
layer	дьапталҕа
side	дьайыҥ
corner	дьабадьы
road	дьам
anchor	дьаакыр
echo	дуораан
hillock	дулҕа
chalkboard	дуоска
sound	дорҕоон
shelf	долбуур
health	доруобуйа
pigeon	голууб
vase	васа
gift	бэлэх
bribe	бэрик
June	бэс ыйа
dumping	бэлимиэн
yesterday	бэҕэһээ
muscle	быччын
mouse	бытаһыт
beard	бытык
mosquito	бырдах
small	быһыйа
groin	быттык
explanation	быһаарыы
last year	былырыын
flea	былахы
hawk	мохсоҕол
feast	малааһын
spoon	луоска
branch	лабаа
hawk	кыырт
spark	кыым
sheath	кыын
grain	кыыбах
resentment	кыһыы
stork	кыталык
anvil	кыстык
frost	кырыа
whip	кымньыы
class	кылаас
rake	кыраабыл
noise	тыас
sheaf	түүтэх
breastplate	түһүлүк
parliament	түмэн
system	тутул
handle	тутаах
courtyard	тусаһа
status	турук
custom	туом
beak	тумус
spice	тума
hoof	туйах
root	төрүт
genealogy	төрүччү
parent	төрөппүт
valley	толоон
adress	аадырыс
azimuth	аазимут
custom	абыычай
bitter	аһыы
now	аны
trade	атыы
door	аан
tie	баай
child	оҕо
khomusist	хомусчут
khomus	хомус
hero	боотур
ulus	улуус
eagle	хотой
hair	баттах
learn	үөрэн
left	дьэгин
mosquito	кумаар
associative	диэн
birthday	төрөөбүт күн
born	төрөөбүт
lative	уолугар
lative	уолгар
anticausative	саҕалан
nose	мурун
middle	орто
freeze	тоҥ
forthcoming	кэлэр
future tense	кэлэр кэм
past tense	ааспыт кэм
present tense	билиҥҥи кэм
udder	сирин
Саха	Саха Өрөспүүбүлүкэтэ
halter	сулар
eat	сиэ
wash	суун
egg	сымыыт
write	суруй
tomorrow	сарсын
year	сыл
collar	саҕа
mane	сиэл
ride	миин
horse	сылгы
left	хаҥас
throat	күөмэй
first	маҥнайгы
read	аах
famous	ааттаах
separate	атыр
sell	атыылаа
stallion	атыыр
market	баһаар
mother	ийэ
spider	ооҕуй
end	бүт
strong	бөҕө
strong	күүстээх
big	бөдөҥ
hunt	булт
hunt	бултаа
grain	бурдук
rope	быа
brother	быраат
doctor	быраас
ready	бэлэм
very	олус
very	бэрт
cut	быс
thin	синньигэс
grandmother	эбэ
thick	хойуу
many	элбэх
kite	элиэ
medicine	эмп
fat	эмис
early	эрдэ
light	чэпчэки
deep	дириҥ
knee	түһах
stay	хаал
flat	хаптаҕай
rake	харбаа
money	харчы
dark	хараҥа
bark	хатырык
north	хоту
ask	ыйыт
heavy	ыарахан
take	ыл
hang	ыйаа
saddle	ыҥыыр
clean	ыраас
far	ыраах
mare	биэ
Irkutsk	Иркутскай
dry	кураанах
dry	куур
heat	куйаас
flee	куот
bridge	күргэ
sea	муора
hard	кытаанах
edge	кытыы
dress	кэт
scissors	кыптыый
small	кыра
forest	ойуур
be born	төрөө
thousand	тыһыынча
noose	туһах
chest	туөс
Yakutia	Саха сирэ
fall	оҕут
Minsk	Минскэй
comb	тараах
comb	тараа
carry	тиэй
outside	таһырдьа
call	угуй
sticky	был-бал
cabinet	министрдэр кабинеттара
Union of Soviet Socialist Republics	Советскай Социалистическай Республикалар Союзтара
infected	коронавирустаа
