classifier	ड
fruit	फल
noise	आवाज
wisdom	बुद्धि
my	मोर
shirt	जामा
man	लोक
country	देस
really	एकदम
dog	कुकुर
I	मुइ
we	मुइँ
he	उहाँ
you	तुइ
fire	अघिन
geezer	बुऱा
name	नाअँ
Rajbanshi	राजबंसि
do	कर्बा
be	हबा
eat	खाबा
kill	मार्बा
poison	बिख
tired	थक्बा
enemy	दुस्मन
seed	दाना
die	मर्बा
Indian	मग्लानिया
see	देख्बा
hear	सुन्बा
reason	कारन
milk	दुऩि
bone	हड्डि
emphatic	-ए
we	हामा
you all	तम़ा
