where	may
zucchini	sapallu
bumblebee	wayrunq'u
husband	qusa
taste	llamiy
Americas	Awya Yala
karaoke bar	takina wasi
sell	ranqhay
store	ranqhana wasi
pharmacy	jampiy ranqhana wasi
bakery	t'anta ranqhana wasi
car	awtu raqhana wasi
car	awtu ranqhana wasi
scorpion	sira sira
vacation	samay pacha
past	ñawpaq pacha
present	kay pacha
future	qhipan pacha
next	qhipan
drought	ch'aki pacha
stop	jark'ay
umbrella	para jark'ana
mine	qhuya
angry	phiñasqa
tired	sayk'usqa
shrub	qhura
parsley	q'umir qhura
bean	jawas
thorn	kichka
prick	kichkay
achiote	achiyuti
roast	kankay
hummingbird	q'inti
sob	hikyana
weasel	achuqalla
bind	arwiy
stuffing	achuqcha
rocoto	ruqutu
wool	millma
donkey	asnu
lazy	qilla
ragged	chhachu
feed	mikhuchiy
metal	q'illay
scar	q'illa
Andean	hak'akllu
hole	t'uqu
mercury	llimp'i
destruction	qulluy
cut off	qhulluy
pile	qullu
something	imapas
chest	qhasqu
bird of prey	aqchi
yellow	alqamari
raven	allqamari
correct	chanin
value	chaniy
sand	aqu
womb	kisma
mother-in-law	kiwach
father-in-law	kiwachi
uncle	qaka
-raq	-rqu
outside	kancha
bore	t'uquy
nape	much'u
barley	siwara
fava bean	hawas
kaniwa	qañiwa
raw	hanku
callus	khacha
large	yawri
cane	sikuwa
already	-ña
munay	-naya
still	-raq
together	-ntin
I	nuqa
rest	puchu
order	kamachiy
light	chhalla
Algeria	Arhilya
stand up	hatarichiy
write	iskribiy
snake	mach'aqway
heavy	llasaq
remain	puchuy
rectum	uquti
fly	ch'uspi
toasted	kamcha
chawar	ch'awar
agave	paqpa
grant	quriy
qatuy	qhatuy
yawn	hanllariy
stammer	hanllay
satiate	amikuy
noodle	fidiyu
whistle	huywiy
khumara	kumar
Andes Mountains	Antikuna
fresh	chuqllu
Tajikistan	Tayiksuyu
bee	abiha
