where	may
cover	chukullikuy
soak	chulluchiy
soak	chulluy
adopt	churichakuy
engender	churiyay
put	churpuy
travel	chutay
swindle	ch'achuy
become	ch'akayay
be	ch'akichikuy
dry	ch'akichiy
spray	ch'allay
peck	ch'aphchay
prune	ch'aphranay
spatter	ch'aqchuy
stone	ch'aqiy
slap	ch'aqlay
bark	ch'aqway
moisten	ch'aranchay
become	ch'arqayay
rob	ch'aspay
tie	ch'atay
chisel	ch'iqanay
disseminate	ch'iqichiy
vex	ch'iqmichiy
cut	ch'iquy
filter	ch'illchichiy
wink	ch'illmipakuy
stain	ch'illuchay
wink	ch'ipihyay
shirr	ch'ipuy
press	ch'irway
become	ch'isiyay
spout	ch'iwkachiy
suck	ch'unqay
sip	ch'uqchuy
construct	ch'uhllay
baste	ch'uhtay
remove	ch'uhtanay
drip	ch'ullchuy
drip	ch'ullullulluy
drain	ch'umay
absent	ch'usay
skin	ch'utiy
rinse	ch'uyanay
absolve	ch'uyanchay
clarify	ch'uyayachiy
pour	ch'uychuy
sieve	icharay
cry	inqhiykachay
flay	iqhay
childish	irqiyay
cover	hak'uchay
raise	hallmay
chew	hallpay
scratch	hallp'iy
suppose	hamurpay
imbalance	hank'ay
loll	hant'arqay
wean	hanuk'ay
yawn	hanyay
belch	hapay
dig	haratay
hang	haraway
weak	harchiyay
lightly	harwiy
safeguard	hat'alliy
obstacle	hark'ay
mire	hat'ansillay
get up	hatariy
enlarge	hatunchay
wrinkle	hawch'ay
amuse	hawkay
triumph	haylliy
collaborate	haymay
execute	hayratachiy
separate	haytarakuy
kick	hayt'ay
hand in	haywariy
gesticulate	haywaykachay
shell	hephq'ay
suffocate	hiq'ipay
throw out	hich'ay
sob	hik'ipakuy
hiccup	hik'iy
tiptoe	hink'iy
gather	hip'iy
lift	huq'ariy
moisten	huq'uchay
move	hurquy
relapse	huchachakuy
make	huch'uiyachiy
diminish	huch'uiyay
unify	huhllay
suddenly	huhyay
sweat	hunp'iy
fill	hunt'achiy
repay	hunt'apuy
stink	hunyay
meet	huñuchiy
congregate	huñunakuy
join	huñuy
help	huñuysiy
seed	husk'ay
bore	hut'kuy
infested	hut'uyay
walk	ichiy
flash	illapay
shine	illay
besiege	intuy
believe	iñiy
brand	irpay
mix	ischuchay
hesitate	iskayyay
duplicate	iskaychay
evacuate	ismay
decay	ismuy
fight	awqay
hunt	chakuy
throw	chamqay
feel	kullay
skinny	khuyay
move	kuyuy
split	laray
sadness	llakiy
fear	manchay
look for	maskhay
smell	mutkhiy
cut	p'itiy
organize	paway
flight	phaway
blow	phukuy
game	pukllay
swell	punkiy
go	puriy
sleep	puñuy
freeze	qasay
sight	qhaway
quwi	quy
purchase	rantiy
burning	rawray
see	rikuy
talk	rimay
leave	ripuy
go	riy
breath	samay
steep	sayay
illuminate	achikyay
adorn	achalachiy
choice	akllay
stutter	aklluykachay
stutter	aklluy
reconcile	allipanakuy
heal	allinyachiy
cover	allpay
indecent	allquchakuy
scorn	allquchay
prohibit	ama ñiy
descend	uray
sew	siray
lie	siriy
steal	suway
stab	t'urpuy
song	takiy
push	tanqay
ask	tapuy
find	tariy
sowing	tarpuy
spit	thuqay
sit	tiyay
father	churi
rough	taku
accept	añiy
accept	añikuy
accept	uniy
accept	huñiy
accept	uyniy
accept	uynikuy
consent	awñiy
ruminate	kutipakuy
converse	rimachiy
talk	yawnay
ear	rinri
bring	apakamuy
read	ñawilliy
read	qillqaqhaway
reread	qillqaqhawapay
read	ñawiy
reread	ñawiykachay
dance	tusuy
instrumental	-wan
dative	-paq
ablative	-manta
ñuqa	-p
candle	wila
float	tuytuy
drink	upyay
fall	urmay
hear	uyariy
tear	waqay
attach	watay
blow	wayray
swim	wayt'ay
killing	wañuchiy
death	wañuy
throw	wikch'uy
winay	wiñay
knowledge	yachay
count	yupay
memory	yuyay
read	ñawinchay
sister	ñaña
life	kawsay
licking	llaqway
expression	ñiy
pacay	pakay
wild	sacha
tear	wiqi
holy	willka
do	ruray
announce	willay
help	yanapay
go in	yaykuy
six	suqta
seven	qanchis
nine	isqun
eleven	chunka hukniyuq
twelve	chunka iskayniyuq
thirteen	chunka kimsayuq
fourteen	chunka tawayuq
fifteen	chunka pichqayuq
sixteen	chunka suqtayuq
seventeen	chunka qanchisniyuq
