river	moo
house	tia
swimmer	cuaja
head	naca
meat	shu
woman	maaji
woodland	nacuhua
water	mohuaca
stick	maca
machete	mueruu
child	mueya
fear	puernu
yucca	morejaca
sadness	taraajenu
wing	nesu
muscle	shiyonu
star	rijia
tree	naana
bird	shiyojua
group	maanu
person	pueyano
mosquito	naasu
stone	saajia
moth	susunu
fish	sapitiaaja
rope	jiyocua
corn	saaco
demon	samaru
thief	nohuaseca
drunkard	mashaaseca
worker	poonijiojua
medicine	naarajotaja
twin	caapueyano
foam	cushau
cranium	nacaco
hat	nacaque
