coconut	nazi
road	pare
office	biro
drop	tere
yes	ewa
same	sawa
tea	cai
bad	nai
Earth	dunia
leaf	wani
Mecca	Maka
skin	ngozi
voice	sauti
banquet	karamu
equality	usawa
firearm	mzinga
telephone	simu
place	mahala
traveller	msafiri
vinegar	siki
abandon	latsa
tree	mri
one	dzima
name	dzina
Daniel	Danieli
week	mfumo
water	madji
place	pvahanu
eye	dzitso
tooth	dzinyo
bee	nyoshi
dog	mɓwa
oil	mafura
person	mndru
