child	manu
ash	abu
owl	puka
nine	sia
hoe	tuku
mother	cina
father	cuma
gall bladder	pari
cooked rice	uru
insect	kurai
I	iku
sweet potato	tammi
squirrel	vutu
thigh	pesi
person	cau
soap	siking
breast	mumu
pig	tutui
noodle	tomi
student	seto
thread	ngiri
saliva	ngai
rib	vava
tooth	anisi
bee	aanu
rice	və'əra
we	ikim
head louse	kucu
moon	vuan
pumpkin	tangtang
urine	ivu
earring	cenga
corn	viaru
taro	tanʉkʉ
storehouse	kuvau
mouse	maruupacʉ
tail	icici
left	iriri
cassava	tammi karu
dog	tacau
sun	taniarʉ
waterfall	caacan
forest	tantanau
wind	pariapara
road	cacaan
pillow	'ʉnʉ
television	tensʉ
refrigerator	pingsiang
watermelon	vakatʉ
fan	siparepara
needle	tasiuru
computer	tennau
money	vaantuku
guava	navatʉ
pomelo	vʉ'ʉ
seed	rapʉ
tomato	arikuriki
pineapple	pangtan
turtle	ararira
leopard	ukunu
flying squirrel	rarʉ
foot	'acipi
cobra	vi'i
long	macasʉ
wild	vavuru
shoulder	'aniacanga
pangolin	kaniarumi
frog	takarura
mouse	tongingi
cow	karavung
monkey	ngʉkau
wild	punai
nun	siuni
priest	sinvuu
youth	nanmarua
Hoklo	Pakiisia
principal	kocisinsi
Hakka	Ngaingai
ethnic group	'Oria
mainlander	Tauruu
woman	nanakʉ
ear	tʉkʉ
button	tukucu
heart	tukuun
mouth	ivici
doctor	'iseeng
face	cimi'i
face	sipacirupu
tear	ʉsʉ'ʉ
eye	vo'in
beautiful	maningcau
betel	'aviki
hospital	tapasavuana
nose	tangʉca
feather	aapungu
body	tina'an
finger	ramucu
thumb	taviin
hair	vʉkʉsʉ
blood	nimuuru'u
fly	'animʉtʉka
abdomen	vʉcʉkʉ
forehead	punu'u
testicle	'eecuru
lung	vara'ʉ
vulva	'iarʉ
penis	'utini
road	cacanʉ
clean	mancʉng
why	miseni
spider	patʉ
narrow	'anuupica
grease	'angiirisi
goitre	vakʉ
liver	civui
tongue	'avasʉ
sweat	avuran
armpit	nikiiniki
fur	kuncu
eyelash	kuncu vo'in
small	tapining
caterpillar	kurai nipukuncu
kidney	vʉ'ʉrʉ
chicken	tarukuka
fish	vutuukuru
bird	tapinange
cat	ngiau
mouse	tongiing
goat	takuisi
cliff	'itʉʉn
snake	vunai
sambar	vutuun
fly	'aniura
mosquito	sikuurapʉ
vole	tongingi tatia
butterfly	ta'anna
dragonfly	tamcurunga
cockroach	'atatavaang
bear	cumai
duck	kunga'a
earthworm	ngica'ʉ
cicada	nannare
crab	'apasʉ
horse	karavung karipun
shrimp	'arasakai
wing	pakʉ
boat	'avaang
bat	'apiicara
ant	takʉrʉma
flea	'atiimua
nest	nusuku
goose	takume'ena
banana	nivanga
he	nguain
hat	carapung
crow	tan'a'a
horn	u'uung
puppy	tamtitu
sugar cane	tʉvʉsʉ
axe	pʉrʉcʉng
spoon	ta'ensu
comb	siakucu
bow	rupacʉ
knife	numaan
dream	'ʉcʉpʉ
church	tasʉ'ʉva
clothes	tikuru
pants	vankavuka
shoe	sapaaniri
skirt	saputu
bicycle	tanpu
uncooked	vʉra
wine	pa'ici
salt	ma'ain
egg	'iciuru
oil	'urai
soup	'au
soy sauce	tau'iu
price	'ai'i
teacher	takituturua
friend	tangria
name	nganai
you	iikasu
you	iikamu
we	iikita
pineapple	pangʉtanʉ
airplane	hikoki
elephant	taasiang
dessert	samuo
doctor	hakasi
rope	tarisi
rain	'ʉcaan
new	vo'oorua
