father	баба
market	базар
house	аб
water	су
cap	шапка
dog	ит
apple	алма
hymn	гимн
farm	ком
horse	ат
bird	куш
lady	кари
river	чаи
child	ушах
brother	гардаш
world	Дӱнйа
tree	агадж
pepper	бибйар
skirt	йупка
food	еймак
pot	кастрйыля
village	кйов
field	дйуз
knife	бичаг
floor	ерда
stove	газын
hell	джанам
cloth	апсап
trunk	сандык
bean	лобиа
fire	атеш
soil	торпах
man	аргиши
sister	баджи
