boté	bate
Crow	Apsáalooke
man	bacheé
woman	bía
Tympanuchus cupido	chichká
bobcat	iishbiixisshe
autumn	basáa
pine	báačii
elk	iichíilikaashi
one	hawate
two	duupe
three	daawiia
corn	xoóxaashe
buffalo	bishée
buffalo	dáaxape
buffalo	chíilape
buffalo	bishéelaxpe
buffalo berry	baalashiísshee
wound	úase
blood	íile
shoe	huupé
white-tailed deer	úuxbishke
