water	pal
species	cha'ish
horned lizard	chalaka
species	chivnish
American rosefinch	aknish
crow	alwet
eagle	ashwet
chia	paṣhal
cottonwood	avaxat
raccoon	ayamal
desert tortoise	ayily
Pleiades	chexemin
bushtit	chiitmal
goose	eqaye'e
poison oak	eyal
flint	ewyela'ash
fish	qeyu̱l
Luiseño	Kawi̱kawish
metate	mala̱l
jackrabbit	suʼish
