tax	mal
one	un
and	ac
about	am
request	arch
numerous	amyl
un-	an-
weapon	arf
air	awyr
-ous	-us
slow	araf
either	ae
over	gor
top	barr
name	enw
prince	mael
day	dyd
head	penn
bone	knaw
seven	seith
time	amser
iron	haearn
horseman	marchawc
run	redec
other	arall
outside	allan
mediaeval land division	cantref
warranty	arwaesav
duty	gwestva
taeogtref	taiauctref
throwboard	tawlbyund
cotillage	kyuar
king	brenhin
net	rwyt
back	keuen
water	dwfyr
prince	pendeuic
cause	achaws
because of	o achaws
why	pa achaws
building	adeilat
know	adnabot
ornament	adurn
go	mynet
open	agoret
open	agori
from around	y am
y am hynny	y am hynny
careful	amgeledus
different	amgen
agreement	ammot
request	ammouyn
timely	amserach
death	angheu
disgrace	anglot
nature	annwyt
rank	anryded
appearance	ansawd
discourtesy	ansyberwyt
send	anuon
dreadful	anwedus
unwillingness	anuod
against	o anuod
ignorance	anwybot
thereupon	ar hynny
from upon	y ar
slowness	araued
ask	erchi
blow	archoll
defense	ardelw
ar arðelw	ar ardelw
lord	arglwyd
lady	arglwydes
rule	arglwydiaeth
wait	arhos
preparation	arlwy
sign	arwyd
man	gwr
eagerness	awyd
Ƿ	Ỽ
Ƿ	ỽ
hunger	newyn
commotion	kynnwryf
end	diued
bitter	chwerw
mountain	mynyd
shield	taryan
healthy	yach
each	pawb
mortal	agheuawl
gift	kyuarws
edge	ystlys
vast	dirvawr
con-	kyf-
disturbance	twryf
say	guetid
