water	ᓃᐲᔾ
Plains bison	ᐸᔉᐙᐎᒧᐢᑐᐢ
aamoo	ᐋᒨ
bear	ᒪᔉᐗ
fox	ᒪᕁᐁᓰᐢ
bird	peepee
ᓴᐗᓐ	sawan
polar bear	ᐙᐸᔅᒄ
ᐱᐦᐱᐦᒋᐤ	peepee tsoo
bee	aamoo
Sunday	ᐊᔦᒥᐅᑭᔨᑲ
Monday	ᐊᓄᑭᐃᑶᑭᑲ
Tuesday	ᑭᒋᐊᓄᑭᐃᑶᑭᑲ
Wednesday	ᐊᐱᑕᐘᐣ
Thursday	ᑭᒋᐊᐱᑕᐘᐣ
Friday	ᐸᔦᔱᑲᓂᑭᔨᑲ
Saturday	ᒪᑎᓇᐅᑶᔨᑲ
crow	ᑳᐦᑳᒎ
lynx	ᐱᔔ
Canada goose	ᓂᔅᒃ
cat	ᐴᔒ
island	ᒥᓂᔥᑎᒄ
ᒥᔅᑲᓐ	miskan
porcupine	kakwa
ᐎᑯᐎᓐ	wikowin
kisiskâciwani	kisiskâciwani-sîpiy
stop	naki
stop	ᓇᑭ
third-gender	êyihkwêw
ᓰᐱᔾ	sîpiy
eagle	mikisiw
ᐯᔭᒃ	peyak
nominalizer	-ᑲᐣ
-ᐃᐦᑳᓐ	-ihkân
ᐅᔅᑲᓇ ᑳᐊᓴᑌᑭ	Oskana kâ-asatêki
mikisiw	ᒥᑭᓯᐤ
peyak	ᐯᔭᒃ
peyak	ᐯᔭᐠ
sîpiy	ᓰᐱᔾ
sîpiy	ᓰᐱᕀ
young woman	oskinîkiskwêw
-ihkân	-ᐃᐦᑳᓐ
-ihkân	-ᐃᐦᑳᐣ
porcupine	ᑲᑿ
miskan	ᒥᐢᑲᐣ
miskan	ᒥᔅᑲᓐ
Oskana kâ-asatêki	ᐅᔅᑲᓇ ᑳᐊᓴᑌᑭ
Oskana kâ-asatêki	ᐅᐢᑲᓇ ᑳᐊᓴᑌᑭ
sawan	ᓴᐗᓐ
sawan	ᓴᐘᐣ
wikowin	ᐎᑯᐎᓐ
wikowin	ᐏᑯᐏᐣ
saddle blanket	ᐊᐢᐹᐏᑲᓀᐦᐃᑲᐣ
bag	ᒪᐢᑭᒧᐟ
porcupine	kâkwa
wolverine	ᑮᐦᑿᐦᐋᐦᑫᐤ
knife	ᒨᐦᑯᒫᓐ
