person	done
water	ti
bear	sah
marten	wha
firewood	tso
sea	ticho
island	ndi
snow	zhah
stone	kwe
woman	ts'èko
mountain	shìh
smoke	ło
knife	mbeh
lard	tłe
beaver	tsà
goose	xah
canoe	elà
rain	chǫ
table	ladà
squirrel	dlòo
roof	dahmò
gooseberry	dahghoò
wolf	dìga
knot	sàà
belt	whe
pack	xeh
root	xoh
darkness	xèh
soup	tiiwo
night	tʰó
rain	čʰṍ
Copper Knives	T'satsąot'ınę
stop	nı̨̀ı̨̀kè
