I	jā
water	leʔ
knife	p'ajχen
puma	gōlen
cow	č'ojsom
bull	č'oj
head	č'eter
liver	č'ew
we	okwā
we	ošwā
smile	č'ēmk'e
comb	wašomk'e
south	aonek'en
north	p'ēnk'en
woman	kārken
horse	qawel
man	ʔalen
one	čočeʔ
two	waʔme
three	qāš
four	qāge
five	qt'en
six	wenaqāš
seven	qōke
eight	pōš
ten	oqaken
hundred	pataq'
thousand	warenk'
mosquito	t'elgoʔ
bush	čōrč'
shore	tōrk'
meat	jep'er
lip	šaʔm
