Nasua narica	conchāa
Schinus molle	ntano
Panthera onca	cotigre
Capra aegagrus hircus	cotèntsō
Hirundo rustica	colondrina
Canis latrans	contāníxra
Tyto alba	cocjéntá
Colinus virginianus	cochilíni
black sapote	ntachjēntē
Bassariscus	coxrānonte
Coragyps atratus	coxrōsáninquí
Buteo jamaicensis	coxrotjá
Urocyon cinereoargenteus	coxróntá
talaje	cotsꞌe
