eye	liito
water	mezi
hide	žwenyumukile
share	abelani
distribute	abelezi
distribute	abezi
January	sope
river	nuka
crocodile	kwena
egg	lii
April	lungu
build	yaha
kidney	piyo
February	yowa
answer	kalabo
school	sikolo
May	kandao
cemetery	mabita
fire	mulilo
bread	sinkwa
animal	folofolo
animals	lifolofolo
ant	butwa
angry	kunyema
anthill	nalumbwa
arrive	kufita
calf	namani
cassava	mwanja
March	liatamanyi
May	mbuwana
jackal	luwawa
bridge	mbilici
leopard	liñau
lung	liswafu
maize	mbonyi
salt	lizwai
