he	de
hot pepper	lwgmanh
relative	caencik
ride	gwih
people	yinzminz
folk song	fwen
dusk	haemh
bucket	doengj
world	lajmbwn
same	ityiengh
conscience	liengzsim
reason	lijsing
train	hojceh
train	cifeiz
definitely	itdingh
speak	gangj
mountain valley	lueg
nostril	conghndaeng
yellow	lieng
movie	denyingj
fruit	gojsiz
bed	mbonq
carry	aemq
week	lijbai
lake	huz
elephant	duzciengh
toilet	cijgaeng
toilet	diengzhaex
potato	majlingzsuz
forest	ndoengfaex
wolf	manaez
local dialect	vahmbanj
village	mbanj
chengguan	hawsingz guenjleix
return	𪫆
plum	makmaenj
I	ngoh
I	gwh
city	hawsingz
management	guenjleix
tomato	makyungz
toe	lwgdin
science	gohyoz
squirrel	noucoengz
thin	mbang
ascend	hwnj
pocket	daehbuh
index finger	lwgfwngzyinx
index finger	fwngzyinx
middle finger	lwgfwngzgyang
coffee	gahfeih
thing	doenghyiengh
vinegar	meiq
soy sauce	ciengqyouz
coriander	yiemzsih
owl	roeggyaeujmeuz
tofu	daeuhfouh
typhoon	rumzhwx
pond	daemz
glasses	gingqda
United States	Meijgoz
love	gyaez
give	hawj
ask	gyaq
get	ndaej
like	lumj
group	gyoengq
carry	yaeuj
deer	maxloeg
ape	gaeng
flying squirrel	duzmbangq
porcupine	cenh
raccoon dog	nyaen
pullet	gaeqhangh
swallow	roegenq
comrade	dungzci
province	swngj
fortune	fatcaiz
jasmine flower	vamaedlaeh
if	danghnaeuz
keep	baujciz
smile	riunyumj
say	naeuz
means	banhfap
characteristic	daegsaek
see	yawj
think	naemj
what	gijmaz
consider	siengj
how many	geijlai
happy	vuenyungz
pomelo	makbug
republic	gunghozgoz
renminbi	yinzminzbi
university	daihhag
primary school	siujyoz
secondary school	cunghyoz
school	hagdangz
school	yozyau
sewing machine	cibuh
new	moq
ramie	ndaij
straw mat	mbinj
weedy	nyaengq
extinguish	ndaep
workday	ngoenzhong
workday	ngoenzgoeng
fist	gaemxgienz
Putonghua	bujdunghva
Chinese character	Sawgun
younger sibling	nuengx
take	dinghmeg
take	gaemmeg
suona	loxlez
full name	singqmingz
ethnic group	minzcuz
year	nienz
moon	nyied
address	diegyouq
citizen	gunghminz
government organization	gihgvanh
effective	mizyauq
deadline	geizhanh
play tug of war	bengcag
tiger	guk
Milky Way	dahmbwn
dandelion	byaeklinzgaeq
dandelion	golinzgaeq
farmer	nungzminz
farmer	vunzguhnaz
farmer	bouxguhnaz
convenient	fuengbienh
dream	loqsiengj
realize	saedyienh
political science	cwngciyoz
politics	cwngci
United Nations	Lenzhozgoz
history	lizsij
liberalism	swyouzcujyi
society	sevei
ring finger	lwgfwngzcaemj
little finger	lwgfwngzcod
bump	ndo
thumb	mehfwngz
onion	yangzcoeng
lantern	daengloengz
integer	cingjsoq
