tea	තේ
Sri Lanka	ශ්‍රී ලංකා
mother	අම්මා
Sinhala	සිංහල
ලොකු මීයා	ලොකු මීයා
mouse	මීයා
horse	අශ්වය
book	පොත
milk	කිරි
blood	ලේ
lakh	ලක්ෂය
farmer	ගමරාළ
peace	සාමය
sugar	සීනි
house	ගෙය
Kalmykia	කල්මීකියා
vowel	ඇ
Russia	රුසියාව
කොළඹ	කොළඹ
India	භාරත්
Moscow	මොස්කව්
China	චීනය
Kerala	කේරළ
Andhra Pradesh	ආන්ද්ර ප්රදේශ්
king	රජ
English	ඉංග්‍රීසි
Russian	රුසියානු
vowel	අ
I	මම
you	ඔයා
Sri Lanka	ශ්‍රී ලංකාව
we	අපි
eyanna	එ
glide	ය
diacritic	ා
lid	ආවරණය
cat	පූසා
camel	ඔටුවා
big	ලොකු
small	කුඩා
new	අලුත්
water	වතුර
water	ජලය
eat	කනවා
do	කරනවා
නව දිල්ලිය	නව දිල්ලිය
New Delhi	දිල්ලිය
language	භාෂාව
one	එක
two	දෙක
three	තුන
four	හතර
five	පහ
six	හය
seven	හත
eight	අට
nine	නවය
nine	නමය
ten	දහය
India	ඉන්දියාව
you	ඔබ
you	ඔයාලා
he	එයා
he	ඔහු
they	ඔවුහු
vowel	ඉ
oyanna	ඔ
vowel	උ
fake	ව්‍යාජ
how are you	කොහොමද
greetings	ආයුබෝවන්
father	තාත්තා
air	වාතය
and	සහ
angel	දේවදූතයා
animal	සත්‍තු
apple	ඇපල්
ash	අළු
beer	බීර
big	විශාල
bird	කුරුල්‍ලා
black	කළු
white	සුදු
red	රතු
town	නගරය
child	ළමයා
green	කොළ
blue	නිල්
bread	පාන්
death	මරණය
life	ජීවිතය
god	දෙවියා
yellow	කහ
word	වචනය
year	අවුරුද්‍ද
world	ලෝකය
money	මුදල්
sing	ගයනවා
come	එනවා
letter	අකුර
wine	වයින්
pen	පෑන
meat	මස්
salt	ලුණු
Chinese	චීන
rice	බත්
island	දිවයින
bank	බැංකුව
fire	ගින්‍න
ice	අයිස්
star	තරුව
rain	වැස්ස
scissors	කතුර
boat	බෝට්‍ටුව
month	මාසය
week	සතිය
day	දවස
hour	පැය
second	තත්පරය
now	දැන්
war	යුද්ධය
mountain	කන්ද
young	තරුණ
finger	ඇඟිල්‍ල
knife	දණහිස
snake	සර්පයා
older brother	අය්‍යා
younger brother	මල්‍ලි
older sister	අක්‍කා
younger sister	නංගි
son	පුතා
daughter	දුව
table	මේසය
full stop	෴
gold	රන්
west	බටහිර
coffee	කෝපි
door	දොර
මෝටර රිය	මෝටර රිය
bottle	බෝතලය
bear	වලසා
banana	කෙසෙල්
heart	හදවත
room	කාමරය
cigarette	සිගරෙට්ටුව
want	අඩුව පවතිනවා
tongue	දිව
Korea	කොරියාව
Wikipedia	විකිපීඩියා
motorcycle	යතුරු පැදි
weather	කාලගුණ
airplane	ගුවන් යානයක්
refrigerator	ශීතකරණය
onion	ලූණු
tooth	දත
spoon	හැන්ද
key	යතුර
colour	වර්ණ
danger	අන්ත්‍රාව
cart	කරත්තය
actress	නිළි
I	මමම
eeyanna	ඒ
country	රට
sulfur	ගෙන්දගම්
sulfur	සල්ෆර්
vowel	ආ
vowel	ඊ
vowel	ඍ
Miśra	ඎ
vowel	ඐ
fප	ෆ
snow	හිම
river	නදිය
sir	මහත්මයා
elephant	අලියා
atom	අණුව
lake	විල්
some	සමහර
few	ඇතැම්
number	අංක
thousand	දහස
million	මිලියනය
first	පළවෙනි
tamarind	සියඹලා
potato	අර්‍තාපල්
Sri Lanka	ලංකා
soap	සබන්
society	සමාජ
ghee	ගිතෙල්
moon	හඳ
Friday	සිකුරාදා
face	මුහුණ
face	මූණ
dust	දූවිල්ල
pain	වේදනාව
knee	දණ
broom	කොස්ස
fruit	පලතුරු
fruit	එල
future	ඉදිරිය
guitar	ගිටාරය
arrest	අත්අඩංගුවට
hospital	ආරෝග්‍යශාලා
twenty	විස්ස
fire	ගින්දර
timber	දැව
planet	ග්‍රහලෝක
flower	මල්
water lily	මානෙල්
pond	පොකුණ
Trincomalee wood	හල්මිල්ල
shellfish	බෙල්ලා
bael	බෙලි
neck	බෙල්ල
wood apple	දිවුල්
onion	ලූනු
you	උඹ
star fruit	කාමරංගා
pennywort	ගොටුකොල
pennywort	හීන් ගොටුකොල
okra	බණ්ඩක්කා
weapon	ගිනි අවියක්
management fire	ගිනි
weapon	අවියක්
egg	බිත්තරය
eye	ඇස
character	චරිතය
honey	මධු
excrement	ගූ
cat	බළලා
body	සිරුර
sympathy	කුලුණ
past	අයු
past	අයු කල්
death	මරණ
disciple	සිඛු
skin	චර්‍මය
