roast	กา
fire	งอ
thorn	กัด
pull	ดึง
wait	มอง
wash	พัก
satchel	ทอง
older sister	ออ
thick	ปู
sickle	แรม
bottle	ปัง
mango	แป
deer	จัก
clear	ที
dog	เซาะ
child	กวน
fish	กะ
goat	แปะ
egg	ตอม
cowrie	เละ
timid	แคะ
branch	กัก
chicken	แอ
stretch	เคิง
eye	ʼงา-แอ
warm	ʼญือ
unsatiated	ʼมอ-อีญ
axe	ʼมอ-แอ
rice	ʼมา
village	ʼยวง
post	ʼรฺอง
long	ʼลัง
squirrel	ʼลา-แอ
water buffalo	กยัก
ten	กา-ออ
five	พอน
olive	กา-ออก
wind	กา-อือ
relate	เก-โอ
glass	แก-ออ
brook	โกลง
gold	คยา-แอ
clothing	เครอ-อืง
lick	เคลือก
tree	โคะ
porch	ฆ̱ยา-แอฮ
chicken	ฆ̱รือ
cowbell	ฆ̱ลา-อีญ
hedgehog	ฆ̱า-อืฮ
pine	ฆ̱ิ
price up	ฆ̱ึ
silent	โฆ̱-อี
rotten	ชิฮ
dish	เชือม
elephant	ซัง
short	เʼงียง
few	เʼญียะ
hat	เʼนะ
mortar	เʼมอ-อึก
tobacco pipe	โʼมก
horn	เʼรฺอ-อูง
attach	ซา-อึด
will	เซอ
transplant	เซอ-อูม
ring	ฌ̱า-อีม
absorb	เฌ̱ือม
delicious	ญึม
rub	ญือ
house	เญือะ
lips	ด̱อ-แอ
leak	ด̱อฮ
cooking pot	โด̱ง
mushroom	ตา-แอฮ
light	เตอ-อี
parasite	เตฮ
flower	เตีย
flea	แตบ
meat	โตะ
indigo	แนฮ
bat	บ̱ลัก
frog	บัก
mud	บ̱ิญ
basket	บุง
stairs	โบ̱ง
chilli	โบ̱ร-อิจ
roof	ปยัง
thatching grass	ปลอง
liquor	ปลา-แอ
beg	ปัว
treetop	ปู-อิจ
dawn	ปู-แอฮ
blanket	พยุ
leak	พี-อู
person	พู-อี
ivory	โพลก
rake	เฟือ
monkey	เฟือะ
finish	โฟ-อิจ
nose	มา-อืฮ
cloth	มา-เอาะ
cattle	เมอ-อุก
mountain	โม
raise	ยวก
die	ยุม
cry	เยือม
big	รฺะ
grass	รฺา-อิบ
obstinate	ลึง
parrot	เล
pig	เลอ-อิจ
worm	เวือก
queasy	อัวะ
I	อา-อึ
cooked rice	อา-อุบ
return	เออ-อีญ
run out	โอ-อิจ
crumple	ฮญือ
necklace	ฮนัง
hammer	ฮมา
fang	ฮรัง
fang	ฮรฺัง
leaf	ฮละ
arrive	ฮอ-อิจ
bathe	ฮา-อูม
mischievous	ฮา-แอะ
ow	ฮู-อิ
paddy	เฮงาะ
walk	เฮอ-อู
bee	แฮ
lungs	โฮมะ
roof	พรัง
salt	กิฮ
skin	ฮัก
sharp	ลอม
liver	โตม
eat	โซม
salt	คิฮ
roof	ปรัง
tongue	ด̱ัก
cough	ʼมา-อุก
