traditional	кава
seven	нада
you	си
I	би
Siberian	дава
we	минти
we	бу
sea	наму
water	ули
boat	угда
old man	мафа
thank you	асаса
raven	вали
tiger	кути
twenty	вайи
woman	а̄нта
rust	сэмту
fish	олохо
aspen	хулу
lip	хэму
five	туӈа
maple	моно
maple	могдохоли
dog	инʼаи
cedar	куӈка
bird cherry	иӈофо
bird cherry	игомпо
tail	иги
cloudberry	иӈамукта
pike	гуэсэ
berry	гэгбэӈку
tortoise	ваӈба
tiger	амба
bird cherry	чуʼаи
twin	адʼау
eight	ӡакпу
six	њуӈу
100	таӈгу
thousand	миӈга
tree	мо̄
sword	ло̄
sun	сӯ
fir	кофолокто
black birch	дуэктэ
story	тэлуӈу
song	йэхэ
colour	боко
visit	ӡима
town	хото
cup	мохо
younger	нэӈу
sky	њаӈња
pitch	њӯтэ
roe deer	пауʒа
red	хулалиғи
aspen	хулугда
willow	сакта
linden	эигдэ
fir	аикта
roe deer	гиусэ
sea eagle	ка̄са
badger	йа̄ндаса
stag	лоғосо
black	палиғи
yellow	холиғи
blue	дуӈмалиғи
grey	хуӈналиғи
chipmunk	этуӈгиэ
butterfly	гэптэ
oak	олоӈко
father	абуға
mouth	аӈма
river	угбэ
man	нӣ
bull trout	ӡэли
boreal owl	мо̄тэли
push	гау
trail	хокто
house	ӡугди
puppy	касанʒига
small	о̄нʒигэ
one-year-old	бакана
otter	ӡугу
child	ситэ
hair	њӯктэ
eyelash	самикта
small	ӈич’а
shallow	хаӈус’а
nice	улигдиг’а
night	догбо
string bean	дэуӡэ
table	ӡуоӡэ
beak	ӡогӡо
ice	ӡуғэ
porridge	ӡакта
fox	сул’аи
stone	ӡоло
Udege	Удиэ
