dog	qimmeq
sew	mersorpoq
experience	pillammak
experienced	pillammaavoq
beautiful	kusanarpoq
likes	kusagaa
night	unnuaq
stay overnight	unnuivoq
friend	ikinngutigaa
friendship	ikinngutigiinneq
powerful	pissaq
strong	pissaavoq
most	-nersaq
swell	tinuvoq
fire	inneq
lighter	innanniut
smoke	pujoorpoq
pass	qingakkoorpoq
nasal sound	qingakkoorpaluk
fly	tingivoq
come	tikippoq
newcomer	tikeqqammeq
turn	sanguvoq
place	-riaq
busy	ulapippoq
pastime	ulapisaat
spirit level	vaataparsi
receive	-nnak
tourist	takornariaq
hunt	aavarfik
hunt caribou	aavarpoq
hunt	aavarpaa
hunt	tuttunniarfik
go reindeer hunt	aavariarpoq
go reindeer hunt	tuttunniarpoq
average	agguaqatigiissitaq
weighted average	agguaqatigiissitaq uuttugaq
unicorn	enhjørningi
share	-gatigiig
distribute	agguarpaa
blobfish	blobfiski
fish	aalisarpaa
grandmother	aanaa
rotten	aavoq
raw	aapavoq
crocodile	kuukkooriarsuaq
dragon	kuukkooriaasarsuaq
bone	saaneq
turtle	saaniluk
red panda	panda aappaluttoq
hover	qangatavoq
menstruation	aaqartarneq
grandfather	aataa
ore	aatsitassaq
resemble	-palug
January	qaammaliaq
February	aarlaat
March	ullujuersaaq
August	aggustusi
November	tusarfik
letter	allakkat
foreword	siulequt
temperature	kiassuseq
hot	kiappoq
increase	qaffatarneq
decrease	appartarneq
calculation	naatsorsuineq
calculate	naatsorsuivoq
expanded	annertusisaq
expand	annertusivoq
test	misilitsinneq
means	-ssutï
answer	akissut
shamanism	angakkoqarneq
difficulty	sapernassuseq
difficult	sapernarpoq
do	saperpaa
foehn	nunasarneq
pressure	naqitsineq
hunting camp	aallaarsimaarfik
strong	-simaar
gender	suiaassuseq
homosexual	suiaqatinoortoq
next day	aqaguani
tin	aqerloq manngertoq
numeral	arfineq
nine	qulaaluat
nine	arfineq-sisamat
eleven	aqqanillit
fifteen	aqqaneq-tallimat
sixteen	arfersanillit
numeral	arfersaneq
seventeen	arfersaneq-marluk
eighteen	arfersaneq-pingasut
nineteen	arfersaneq-sisamat
twenty	inuk naallugu
steer	aquppaa
call	ateqarpoq
reads	atuarpaa
washtub	errorsivik
tighten	noqartorpaa
concrete	betonngi
brown	kajorpoq
heat	kiak
now	maanna
open	matuerpaa
keyhole	matuersaaserfik
needle	meqqut
cautious	mianersorpoq
fear	mianeraa
stop	milippoq
stop	milippaa
eider	aagooq
land	mippoq
carrot	gulerodi
ivory gull	naajavaarsuk
short	naappoq
potato	kartoffeli
stand	napparpaa
press	naqiterivoq
press	naqitsivoq
press	naqippaa
find	nassaaq
floorboard	natsit
bottom	nataaq
Egyptian vulture	nattoraliusaq qillorniaq
food	neqissaq
eat	nerivaa
short	siggukitsoq
wrapping	nimeq
equation	assigiissitaq
scale	naleqqiussineq
strength	sakkortussuseq
speed	sukkassuseq
fast	sukkavoq
strong	sakkortuvoq
growth	ineriartortitsineq
number	kisitsit
arithmetic	kisitsineq
hour	akunneq
sunny	seqinnerfiusoq
sun	seqinnerpoq
snowflake	nittaalaq
planet Earth	nunarsuaq
task	suliassiissut
work	suliaraa
assign	suliassiivoq
assign	suliassippaa
correctly	eqqortumik
leg	niulu
cold	nuappoq
moisten	nuappaa
suffer	nuffarliorpoq
influenza	nualluk
nice	nuannerpoq
pleased	nuannaarpoq
cloudy	nuiavoq
computer	computeri
mobile phone	oqarasuaat angallattagaq
laptop	qarasaasiaq angallattagaq
tongue	oqaq
blister	pingujak
gypsy mushroom	seqummalasumik qaalik
snows	qannerpoq
grey	qaserpoq
heron	qeriiak
black	qernerpoq
green	qorsorpaluppoq
amused	quiasuppoq
common ling	saarullik atamasoq
atmosphere	silaannaq
take	sivisuvoq
short duration	sivikippoq
think	sivikigaa
care about	soqutigaa
wage	sorsuppoq
wage	sorsuppaa
yellow	sungaarpoq
gallbladder	sungaq
check in	takusarpaa
salt water	tarajoq
salt	tarajorpaa
beard	tingajuk
death	toqu
call	torlorpaa
blue	tungujorpoq
listen	tusarnaarpoq
hear	tusarpaa
expect	-naar
wash	uffarpoq
wash	uffarpaa
snowy owl	uppik
return	uterpoq
warm	uunnappaa
use	-liutï
compete	-neqqisaatï
compete	-qqaanniutï
group	-rratï
read	atuaaneq
straight	narlusooq
graph	takussutissaq
draw	titartaaneq
share	-qatigiig
lack	-ssaarutï
begin	aallarpoq
introduction	aallaqqaasiut
jellyfish	nuarluk
bee	igutsak
sting	iguut
wasp	iguutilik
Arctic	issittoq
Arctic	Issittoq
wolf spider	issittup aasiassua
skua	isunngaq
pomarine skua	isunngarsuaq
great skua	isunngarujussuaq
hagfish	ivik
grass	ivigaq
red fescue	ivigaq aappaluartoq
Kentucky bluegrass	ivigaq narsaviarmiu
couple	aappariit
pleased	tulluuppoq
ordinary	nalinginnaq
done	tassaarpoq
absurd	eqqumiippoq
mysterious	paasissaalluanngilaq
associate	akuliuppoq
very last	kingullerpaaq
accuse	pasillerpaa
moreover	saniatigut
disposition	iliuuseqarneq
approve	akueraa
completely	-luinnar
corporation	suliffeqarfissuaq
drill	qillerut
fat	pualavoq
obese	pualasooq
neck	qungaseq
mucus	kakkik
upper lip	kakkiviaq
moustache	kakkivissami umiit
thin	saluttoq
next	naleqqiuppoq
benefit	iluaqut
advantage	iluaqutigaa
neighbour	eqqaamiu
garden	naatsiivik
fence	ungaloq
jump	qulaappaa
time	piffissaq
time	piffik
curious	marserpoq
someone	marserpaa
equal	asseqanngilaq
unique	asseqanngitsoq
rich	pisuujuvoq
rich	pisooq
all	tamaq
possess	pigaa
add	ilannguppaa
secret	isertugaq
enter	iserpaa
afraid	annilaarpoq
afraid	annilaangavoq
family	ilaqutariit
escape	anigorpaa
sibling	qatanngutigaa
useless	atorsinnaanngitsoq
useful	atorsinnaavoq
become	-ummer
feel	qiiavoq
shiver	qiiaq
reflect	eqqarsarpoq
suddenly	-riataar
appear	nuivoq
visit	pulaarpoq
contributing cause	pissutaaqataavoq
play	pinnguarpoq
cloudy	qulisimavoq
predict	siulittuutigaa
happened	pisoq
dress	atisalersorpaa
little	-rujoor
hum	niperujoorpoq
make	nillerpoq
measure up	nallersuuppoq
tie	qilernerusaq
knot	qilerneq
tie	qilerpaa
unbearable	avaanngunarpoq
ease	-ruusaar
ease	-rusaar
decide	aalajangerpaa
chair	issiavik
sit	issiavoq
high	portusooq
tall	portuvoq
sit	ingitippaa
one	arlaq
tawny owl	uppik kajortoq
window	igalaaq
extend	isaqqivoq
pass	sarsuppoq
clock	nalunaaqutaq
cheek	uluak
send	inuulluaqquaa
clap	pattalaarpaa
try	-niarsarï
miss	uniorpaa
do	taamaalivoq
strongly	-suataar
angry	kamappoq
oatmeal	issingigassaat
wall	iigaq
lean	iigarpoq
criminal	inupiluk
laugh	illarpoq
chest	illerfik
embark	ikivoq
driveway	aqqusineq isaariaq
reverse	kinguporsorpoq
road	aqqusineq
road	aqqut
notice	malugaa
head	niaqoq
a little	-laar
ask	-qqu
striped crosswise	sanimukaarpoq
map	nunap assinga
hold	tigumiarpaa
bright	qaamavoq
light	qaamaneq
hazy	iseriappoq
surprise	qoqassivaa
blink	uisorerpoq
squint	nakuvoq
stare	nakkuppaa
walk	ingerlavoq
straighten	narlorpoq
mirror	tarrarsuut
hen	kukkukooq
basking shark	eqalussuarsuaq
apricot	abrikosi
skin	aattorpaa
skins	aappaa
piece	nilak
fetch	nilattarpoq
back	aariak
freeze	aarlorpoq
amulet	aarnuaq
horse	qimuttuarsuk
sea horse	qimuttuarsuusannguaq
want	-juma
remark	oqaatigiumasaq
discuss	oqaatigaa
assessment	naliliineq
crosstree	ajaaq
good day	kutaa
carpenter	sanasoq
builder	qarmaasoq
servant	kiffaq
