dog	qimmeq
group	-kkuutaat
discard	-koorfik
we	uagut
hyphenated	uku
second person dual	uaguk
sun	seqineq
matuma	makku
ikku	innga
those yonder	ikku
sakku	sanna
up medial absolutive	pinnga
golly	aali
pee	a'arpoq
divisible	agguarneqarsinnaasoq
basalt	agiamineq
decay	aaneq
snowdrift	apusineq
snowdrift	aputip qingartagaa
responsibility	akisussaaffik
charge	akiliut
lead	aqerloq
archbishop	biskorpiuneq
recorder	blokfløjte
cauliflower	blomkåli
botany	botanikki
hydrogen	brinti
bronchitis	bronkitisi
beer	baaja
tub	baalia
bathe	baaliarpoq
bishop	biskoppi
bishopric	biskoppeqarfik
microbiology	bakterianik ilinniut
tetanus bacterium	bakteria noqartitsisartoq
sterile	bakteriaqanngitsoq
resistant bacteria	bakteria sunnerneqarsinnaanngitsoq
balcony	balkonngi
balloon	ballonngi
video	båndi
tape recorder	båndoptageri
passbook	bankbogi
barrack	barakki
backstay	barduuni
Barents Region	Barentsip eqqaamiui
battery separator	batteriinik immikkoortiterineq
baboon	baviani
behaviorism	behaviorisme
petrol	benziina
petrol	orsussaq
conditioning	betingninngi
librarian	atuagaatilerisoq
librarian	bibliotekari
Bible	biibili
car dealer	biileerniartoq
roadway	biilerfik
drive	biilerpoq
driver	biilertoq
delivery van	biili nioqqutissanik assartuut
car park	biilinut uninngatitsivik
biili usisaat	biili usisaat
secondary tax card	bikorti
annex	bilagi
ticket	biletti
ticket inspector	bilitsilerisoq
ticket office	bilitsilerivik
billiards	billardi
play	bingorpoq
biology	biologii
steelyard	bismeri
Bolshevik	bolschevikki
bonus	bonussi
mayor	borgmesteri
kindergarten	børnehave
kindergarten	paaqqinniffik
kindergarten	meeqqerivik
orphanage	børnehjemmi
brush	børsti
brush	børsterpaa
brushmaker	børstiliortoq
budget	budgeti
estimate	budgeti siunnersuutaasoq
bulldozer	bulldozeri
bungalow	bungalowi
construction manager	byggelederi
tollgate	bommi
March	marsi
fabulous animal	aaffaffak
walrus hunter	aaffanniaq
hunt	aaffanniarpoq
build	aaffanniusiorpoq
tool	aaffanniut
lose	aaffanniutaaruppoq
capture	aaffappoq
indicative mood	oqaluinnamiut
atuarpoq	atuarpit
atuarpoq	atuarpa
atuarpoq	atuarpisi
atuarpoq	atuarpat
mitten	aaqqat
reindeer	aaffaq
reindeer hunt	aaffarmiippoq
right	aa-at
blood clot	aagiak
oval	tumaasaavoq
but	-mi
speak	oqarpoq
and	-lu
name	ateq
storm	anorersuaq
when	qaqugu
sweet dreams	sinilluarna
thank you	qujan'
thank you very much	qujanarsuaq
thank you very much	qujanarujussuaq
no thank you	qujaaannarpunga
Arabic language	arabiamiutut
Chinese language	kineserisut
French language	franskisut
Greek language	grækerisut
Portuguese language	portugalimiutut
Italian language	italiamiutut
Spanish language	spanskisut
Persian language	persiskisut
Indonesian language	indonesiamiutut
Korean language	koreamiusut
Kurdish language	kurdiskisut
Thai language	thailandimiutut
drink	imerpoq
eat	nerivoq
drink	aarlorussivoq
drink	imerajuppoq
drink	iminngerpoq
teacup	tiitorfik
converse relation	-giiaar
converse relation	-giig
quality	-kkuminar
at a time	-kkuutaar
spirit	anersaaq
communism	kommunistiussuseq
number	normu
parliament	Inatsisartut
red-throated diver	qarsaaq
ignorance	nalu
wave	malik
cold	-ersi
airport	mittarfik
apple juice	æblejuice
strike	qaanni assattorpaa
like	aapaalingiagaa
tomorrow	aqagu
surprised	aliortorpoq
god	guuti
idolatry	guutipilussiorneq
password	isissutissaq
bedroom	sinittarfik
ramrod	immiit
lamp platform	ippat
condom	usuup puua
shortage	-ilatsi
lose	-erser
river	kuuk
leprosy	pupinneq
leper	pupissoq
fungicide	pupiutaajaat
mushroom	pupik
absence	-isag
lack	-ssaaleqi
lack	-ssaasua
hurt	-leri
long	-nnger
pain	-nngu
heart	uummat
stain	-gasaar
blubber	orsoq
paternal aunt	atsa
maternal uncle	angak
ask	aperivoq
Christmas tree	orpiliaq
Christmas Day	juullerujussuaq
Christmas Day	juullip-ullua
Christmas Eve	juulliaraq
Santa Claus	juulimaaq
Christmas spirit	juullerpalaarneq
Christmas carol	juullisiut
Merry Christmas	juullimi pilluarit
Merry Christmas	juullisiorluarit
Boxing Day	juullip-aappaa
spruce	orpiliassaq
redpoll	orpimmiutaq
Acanthis hornemanni	orpimmiutaq qaqorneq
fieldfare	orpimmiutarsuaq
woodland	orpippalik
forest	orpippassuit
purple sandpiper	sissarmiutaq
shore	sissaq
great northern diver	tuullik
fulmar	qaqulluk
fulmar	timmiakuluk
fulmar	malamuk
shearwater	qaqullunnaq
gannet	timmik
cormorant	oqaatsoq
bittern	qarluutitoornaq
crane	qarluutitoorsuaq
snow goose	kangoq
