yew	du
house	ha
tiger	ta
dog	huk
man	hir
lion	sheer
cat	bush
fox	hal
pigeon	tal
partridge	bula
cuckoo	kapo
rice	bras
rabbit	sar
cow	buwa
nightingale	bulbul
wheat	gur
woman	gus
sheep	belis
alms	sadaqá
iron	ćímar
iron	ćhumár
chaste	sée
thin	qhamúluṭ
woman	qhamuldáni
woman	qhamuluṭéeli
put	qhap
always	ćham
evening	saásaṭ
oriole	mayon
kernel	haní
religion	díin
apricot	juú
Islam	isláam
sweet	tináani
naked	laq
unsheathed	laq ġaténc̣
naked	laleér
covered	lalíto
water	ċhil
Burushaski	ݼ
Burushaski	ݽ
sword	ġaténc̣
apple	báalt
salt	bayú
fur	bishké
horse	hagúr
white	burúm
monkey	shadi
monkey	tshiir
female	gus bush
male	hir bush
bull	tshindar
calf	busroosro
yak	bepayr
ox	tshiyar
falcon	baaz
swan	batbat
sparrow	crhin
male	pharisr
vulture	gatshir
kite	ganttey
vulture	garmun
bat	gonoolanas
female	gus pharisr
crow	ghaan
magpie	ghasrep
dove	ghunghundil
cock	hir qarqaamuts
peacock	partaawuus
hen	qarqaamuts
parrot	tootaan
duck	phari
vulture	gaċhir
