four	huya
one	kenne
sun	hii
one	kénne
támal pájiṣ	támal pájiṣ
west	támal
hill	pájiṣ
girl	kóola
girl	kóoja
menstruate	ʔáme
fast	ʔóoma
menstruate	wíilak
nuts	ʔúlla
ʔúlla mícca	ʔúlla mícca
person	mícca
language	máccaw
acorn mush	ʔúlki
water	líwa
two	osha
water	liwa
three	teleeka
five	kennekkuh
dog	hayuusha
moon	puluuluk
