medium	anu
shame	ban
angel	angel
fence	ca
grain	agua
water	sie
arch	arco
bread	bun
anima	anima
maize	aba
parrot	aso
candle	bela
ball	bora
chain	cadena
open	a
blanket	boi
cave	ata
mayor	alcalde
arrowleaf	boia
face	bique
fever	calentura
cornstalk	amne
Venus	cagui
lime	anua
chicken	caina
snail	biza
aposteme	amsa
archbishop 	arçobispo
window	bentana
slit	atoca
maize	abago
corncob	abquy
tomorrow	aica
godchild	aisado
cornstalk	amtaquyn
maize	amuy
custom	apqua
pimp	arcaguete
payment	aspquago
captive	bahaia
cloud	bahaoa
guide	baqueno
tickle	basua
vomit	bco
pineapple	begyra
dress	bestido
beam	bfue
deceased	bgye
potato	bhosioiomy
load	bhu
flame	bimy
party	biohote
alcoholic	biohoty
throat	bizequyne
lap	bizpqua
hammock	bohopkua
grub	bompqua
servant	bospquaoa
piece	bugun
crab	bupqua
crumble	bupquansuca
mist	busuan
bee	busuapquame
mallow	busuaquyn
paca	busuga
crust	cahachyn
