ଏକ	୧
torch	ଖୋଡା
habit	ଖୋଇ
natural tank	ଅଖାତ
worshipping	ପୂଜନ
worship	ପୂଜା
temple	ମଣ୍ଡପ
friendship	ପ୍ରଣୟ
obeisance	ପ୍ରଣତି
ferry	ଘଟ୍ଟ
relinquishment	ବର୍ଗ
Saccharum officinarum	ପୁଣ୍ଡ୍ର
horse gram	ହିରୁଆଁ
asafoetida	ହିଙ୍ଗୁ
sponge gourd	କୋଷାତକ
rose apple	ଜମ୍ବୁ
oven	ଚିତା
anger	ରଞ୍ଜ୍
plague	ମାରି
epidemic	ଏପିଡେମିକ୍
contamination	ଛୁତି
confusion	ବିଭ୍ରାଟ
bottle gourd	ଅଲାବୁ
bagpipe	ତୁମଡ଼ୀ
pit	ଅବଟ
sprout	ବଲ୍ଲରି
bridegroom	ଉପଯନ୍ତା
horse	ବାରୁ
leaf	ଉଟ
hut	ଉଟଜ
stick insect	କାଠିପୋକ
testicle	ହୋଲ
eastern	ପ୍ରାଚୀନ
fame	ପ୍ରସିଦ୍ଧି
Ramayana	ରାମାୟଣ
mark	ଲିଙ୍ଗ
hear	ଶୁଣିବା
Monday	ସୋମବାର
Tuesday	ମଙ୍ଗଳବାର
Wednesday	ବୁଧବାର
Saturday	ଶନିବାର
Sunday	ରବିବାର
pumpkin	କଖାରୁ
thousand	ହଜାର
eye	ଆଖି
fire	ଅଗ୍ନି
father	ବାପା
life	ଜୀବନ
brother	ଭାଇ
tobacco	ତମାଖୁ
machine	ଯନ୍ତ୍ର
camel	ଓଟ
high	ଉଚ୍ଚ
wool	ଉଲ
attack	ଆକ୍ରମଣ
Friday	ଶୁକ୍ରବାର
head	ଶିର
eastern	ପୂର୍ବୀୟ
old	ପୁରୁଣା
big	ବଡ
internal	ଭିତରର
feminine	ସ୍ତ୍ରୈଣ
fish	ମୀନ
bone	ହାଡ
month	ମାସ
sister	ଭଉଣୀ
heart	ହୃତ୍‌ପିଣ୍ଡ
word	ଶବ୍ଦ
world	ଦୁନିଆ
swim	ପହଁରା
black	କଲା
white	ଧଳା
red	ଲାଲ
drink	ପିଇବା
cold	ଶୀତଳ
cold	ଥଣ୍ଡା
woman	ଯୁବା
sea	ସାଗର
blood	ରକ୍ତ
true	ଠିକ
year	ବର୍ଷ
yesterday	ଗତକାଲି
tomorrow	କାଲି
today	ଆଜି
cat	ବିଲେଇ
dog	କୁକୁର
eagle	ଇଗଲ
friend	ମିତ
friend	ସଖା
soil	ମାଟି
number	ସଂଖ୍ୟା
war	ଯୁଦ୍ଧ
color	ରଙ୍ଗ
broom	ଝାଡୁ
moustache	ମୁଛ
naked	ଲଙ୍ଗଳା
rat	ଇନ୍ଦୁର
hair	କେଶ
anchor	ଲଙ୍ଗର
