engine	ingin
shirt	sat
cake	kek
name	naam
I	ham
ten	das
mile	mail
one	ek
country	des
minute	minit
room	rum
fall	giro
twenty	bis
task	taas
seven	saat
two	dui
hundred	sau
planet	grah
blue	bulu
paddock	geet
water tank	tanki
nine	nau
left	lef
six	chhe
indenture system	girmit
overseer	kulambar
cane top	kantaap
linesman	lainamaan
foreman	hedmaan
apple	aapul
hospital	aspataal
three	tiin
box	baakas
bolt	bulut
breadfruit	belfut
plough	falaawaa
fellow	faalaa
pineapple	painap
tomato	tamaatar
film	filam
glass	gilaas
grass	giraas
plate	palet
firecracker	paraakaa
tobacco	tamaakuu
movie	saakis
car	motar
bread	bareed
hammer	haamaa
nail	niilaa
go on	gwaan
kitchen	kichin
shovel	sabbal
towel	taul
toothbrush	burus
dress	faraak
bottle	botal
cat	puusii
garden fork	faank
Fiji	diipuu
hotel	hutel
crowbar	kurbaal
check	chek karo
chock	chaak
bondage	firii
government	gorment
licence	laaesan
barracks	laiin
teacher	maastaa
marriage	maarit
market	maarkit
matches	maachis
cat	puusi
short	ponii
receipt	rasiid
cement	simit
spade	sipi
teacher	tichaa
biscuit	biskut
machine	masiin
cabbage	kaabij
snake bean	biin
evergreen tree	uutoo
four	chaar
five	paanch
eight	aath
eleven	gyaarah
twelve	baarah
thirteen	terah
chaudah	chaudah
fifteen	pandrah
sixteen	sorah
seventeen	satrah
eighteen	athaarah
nineteen	unniis
twenty	biis
thirty	tiis
forty	chaalis
fifty	pachaas
sixty	saath
seventy	sattar
eighty	assii
ninety	nabbe
thousand	hajaar
world	dunia
Fiji Hindi	Fiji Hindi
language	bhasa
talk	baat
house	gharr
useless	bekaar
member	sadasya
god	bhagwaan
dozen	darjan
mouse	chuuha
third	tiisra
play	khelo
we	ham log
bad	kharaab
history	itihaas
grammar	vyakaran
some	thorra
how	kaise
population	janasankhya
knowledge	jaankari
water	paani
blessing	aasirwaad
where	kahaan
