child	anak
pencil	lapis
dog	aso
cow	baka
father	ama
eye	mata
pig	baboy
elbow	siko
ant	kanit
foot	ayi
milk	gatas
ember	baya
tropical cyclone	bagyo
brother-in-law	bayaw
garlic	bawang
chicken	kamay
water	ranom
alligator	basakay
river	ilog
wood	kawayan
banana	batag
throat	bukraw
sibling	bubsat
liver	agtay
bee	aluleng
tadpole	amlulungan
termite	anag
dragonfly	andudun
odor	angdod
cricket	andidis
rice	asinda
crab	ayama
sister-in-law	aydo
animal	ayep
leaf	bulong
youngest	buridek
grasshopper	dudon
window	dudungawan
centipede	gayaman
spider	gigang
creek	karayan
happiness	karigsawan
parent-in-law	katyangan
neck	liey
rib	tagyan
mountain	talugtog
