or	to
lion	simba
sheep	meme
monkey	kaku
peanut	nguba
soap	sabuni
state	leta
earth	ntoto
Europe	Mputu
clan	kanda
bee	nyuki
Jupiter	Sumbula
nose	nzunu
elephant	nzau
tree	nti
computer	ludinatelo
milk	midiki
witch doctor	nganga
scissors	sizo
sun	mwini
peanut	mpinda
language	ndînga
sun	ntangu
donkey	mbuluku
horse	mpunda
horse	kavâlu
Venus	Ng'anda
planet	mweta
cow	ngômbe
lion	nkosi
cat	nyawu
bee	nyosi
elephant	nzoko
leopard	yingo
umbrella tree	nsenga
twine	nsinga
