year	ᠠᠨᡳᠶᠠ
foxtail millet	ᠵᡝ
hard	ᠮᠠᠩᡤᠠ
what	ᠶᠠ
scribe	ᠪᡳᡨᡥᡝᠰᡳ
bean	ᡨᡠᡵᡳ
sachima	ᠰᠠᠴᡳᠮᠠ
black	ᡴᠠᡵᠠ
pink	ᠵᠠᠮᡠ
red	ᠵᡝᡵᡩᡝ
white	ᠰᡠᡵᡠ
light blue	ᠯᠠᠮᡠᡴᠠᠨ
snow-white	ᡧᡝᠶᡝᠨ
yellow	ᡴᠣᠩᡤᠣᡵᠣ
golden	ᡥᠠᡴᠰᠠᠨ
strong	ᡶᠠᡥᠠᠯᠠ
milky white	ᡧᠠᠪᡠᡵᡠ
beige	ᠰᡠᡥᡠᠨ
camel	ᡨᡝᠮᡝᡵᡳ
camel	ᡨᡝᠮᡝᠨ
badger	ᡩᠣᡵᡤᠣᠨ
light	ᡝᠯᡩᡝᠨ
bowl	ᠮᠣᡵᠣ
plate	ᡶᡳᠯᠠ
hook	ᡤᠣᡥᠣᠨ
sock	ᡶᠣᠮᠣᠴᡳ
key	ᠠᠨᠠᡴᡡ
spoon	ᠰᠠᡳᡶᡳ
cup	ᡥᡡᠨᡨᠠᡥᠠᠨ
lock	ᠶᠣᠣᠰᡝ
scissors	ᡥᠠᠰᠠᡥᠠ
ant	ᠶᡝᡵᡥᡠᠸᡝ
pumpkin	ᠯᠠᠩᡤᡡ
wood ear	ᠰᠠᠨᠴᠠ
watermelon	ᡩᡠᠩᡤᠠ
pear	ᡧᡠᠯᡥᡝ
mattress	ᠰᡳᠰᡥᡝ
plate	ᠠᠯᡳᡴᡡ
knife	ᡥᡠᠸᡝᠰᡳ
spoon	ᠸᠠᡳᡩᠠᡴᡡ
long table	ᡩᡝᡵᡝᡨᡠ
hedgehog	ᠰᡝᠩᡤᡝ
elephant	ᠰᡠᡶᠠᠨ
swallow	ᠴᡳᠪᡳᠨ
parrot	ᠶᡝᠩᡤᡠᡥᡝ
magpie	ᠰᠠᡴᠰᠠᡥᠠ
comb	ᡳᠵᡳᡶᡠᠨ
board	ᡠᠨᡩᡝᡥᡝᠨ
eunuch	ᡨᠠᡳᡤᡳᠶᠠᠨ
emperor	ᡥᡡᠸᠠᠩᡩᡳ
god	ᡝᠨᡩᡠᡵᡳ
God	ᠠᠪᡴᠠᡳ ᡝᠵᡝᠨ
makwa	ᠣᠯᠪᠣ
long gown	ᠰᡳᠵᡳᡤᡳᠶᠠᠨ
skirt	ᡥᡡᠰᡳᡥᠠᠨ
breath	ᡝᡵᡤᡝᠨ
raw	ᡝᠰᡥᡠᠨ
roof	ᠣᠶᠣ
yurt	ᠮᠣᠩᡤᠣ ᠪᠣᠣ
bag	ᡶᡠᠯᡥᡡ
cart	ᠰᡝᠵᡝᠨ
helmet	ᠰᠠᠴᠠ
mirror	ᠪᡠᠯᡝᡴᡠ
axe	ᠰᡠᡥᡝ
net	ᠠᠰᡠ
army	ᠴᠣᠣᡥᠠ
servent	ᠠᡥᠠ
doctor	ᡩᠠᡳᡶᡠ
skull	ᡥᠣᡨᠣ
sound	ᠵᡳᠯᡤᠠᠨ
pearl	ᠨᡳᠴᡠᡥᡝ
west	ᠸᠠᡵᡤᡳ
south	ᠵᡠᠯᡝᡵᡤᡳ
behind	ᠠᠮᠠᠯᠠ
right	ᡳᠴᡳ
left	ᡥᠠᠰᡥᡡ
north	ᠠᠮᠠᡵᡤᡳ
middle	ᡩᡠᠯᡳᠮᠪᠠ
inside	ᡩᠣᠯᠣ
maternal uncle	ᠠᠮᠪᡠᠮᠠ
queen	ᡥᡡᠸᠠᠩᡥᡝᠣ
brother-in-law	ᠨᠠᠴᠠ
sister-in-law	ᠨᡝᠴᡝ
brother-in-law	ᠨᠠᠶᠠ
sister-in-law	ᠨᡝᠶᡝ
sister-in-law	ᠪᠠᡧᠠ
married woman	ᡩᠠᠨᠴᠠᠨ
concubine	ᡤᡠᠸᡝᠯᡝᡴᡠ
concubine	ᠠᠰᡳᡥᠠᠨ ᠰᠠᡵᡤᠠᠨ
sister-in-law	ᡴᡝᡴᡝ
sister-in-law	ᠪᡝᡵᡥᡠ
paternal uncle	ᡤᡠᡶᡠ
eldest son	ᠠᡥᡡᠩᡤᠠ ᠵᡠᡳ
son-in-law	ᡥᠣᠵᡳᡥᠣᠨ
fraternal nephew	ᠵᠠᠯᠠᡥᡳ ᠵᡠᡳ
maternal nephew	ᡳᠨᠠ
grandson	ᡤᠣᡵᠣ ᠣᠮᠣᠯᠣ
great-grandson	ᡩᠠᠪᡴᡡᡵᡳ ᠣᠮᠣᠯᠣ
ᠣᠮᠣᠯᠣ ᠰᠠᡵᡤᠠᠨ ᠵᡠᡳ	ᠣᠮᠣᠯᠣ ᠰᠠᡵᡤᠠᠨ ᠵᡠᡳ
father-in-law	ᠠᠮᡥᠠ
mother-in-law	ᡝᠮᡥᡝ
plait	ᠰᠣᠨᠴᠣᡥᠣ
ᠵᠠᠯᠠᡥᡳ ᠰᠠᡵᡤᠠᠨ ᠵᡠᡳ	ᠵᠠᠯᠠᡥᡳ ᠰᠠᡵᡤᠠᠨ ᠵᡠᡳ
ᡳᠨᠠ ᠰᠠᡵᡤᠠᠨ ᠵᡠᡳ	ᡳᠨᠠ ᠰᠠᡵᡤᠠᠨ ᠵᡠᡳ
brother-in-law	ᡤᡝ
fraternal nephew	ᠵᠠᠯᠠᡥᡳ ᡠᡵᡠᠨ
dolphin	ᠨᠠᠮᡠ ᡠᠯᡤᡳᠶᠠᠨ
letter	ᡥᡝᡵᡤᡝᠨ
Chinese character	ᠨᡳᡴᠠᠨ ᡥᡝᡵᡤᡝᠨ
Chinese	ᠨᡳᡴᠠᠨ ᡤᡳᠰᡠᠨ
dragonfly	ᡠᠯᠮᡝ ᡥᡡᠯᡥᠠᡨᡠ
needle	ᡠᠯᠮᡝ
rheum	ᡥᡝᠶᡝ
tear	ᠶᠠᠰᠠᡳ ᠮᡠᡴᡝ
ash	ᡶᡠᠯᡝᠩᡤᡳ
charcoal	ᠶᠠᡥᠠ
seed	ᡠᠰᡝ
seed	ᡳᠪᡳᠶᠠᡥᠠ
corpse	ᡤᡳᡵᠠᠨ
hoe	ᡥᠣᠮᡳᠨ
garden	ᠶᠠᡶᠠᠨ
crime	ᠸᡝᡳᠯᡝ
hammer	ᡶᠣᠯᡥᠣ
wooden mallet	ᠮᠠᠯᠠ
drum	ᡨᡠᠩᡴᡝᠨ
pipa	ᡶᡳᡶᠠᠨ
guzheng	ᠶᠠᡨᡠᡥᠠᠨ
xiao	ᡶᡳᠴᠠᡴᡡ
suona	ᠪᡳᠯᡝᡵᡳ
sanxian	ᡨᡝᠩᡤᡝᡵᡳ
dizi	ᡥᡝᡨᡠ ᡶᡳᠴᠠᡴᡡ
music	ᡴᡠᠮᡠᠨ
yunluo	ᡤᡝᡵᡝᠨ ᡶᡳᠯᠠ
wooden fish	ᡨᠣᡴᠰᡳᡨᡠ
pluck	ᠵᡠᠸᡝᡵᡤᡝ
morin khuur	ᠣᠩᡤᠣᠴᠣᠨ
shaman	ᠰᠠᠮᠠᠨ
sihu	ᡨᠠᡨᡠᡥᠠᠨ
sheng	ᠪᠠᡴᠰᠠᠩᡤᠠ ᡶᡳᠴᠠᡴᡡ
Manchu clapper	ᠴᠠᡵᡴᡳ
tofu	ᡩᡝᡶᡠ
lamp	ᡩᡝᠩᠵᠠᠨ
crossing	ᡩᠣᡤᠣᠨ
bridge	ᡩᠣᠣᡥᠠᠨ
grass	ᡝᠯᠪᡝᠨ
descendant	ᡝᠨᡝᠨ
punishment	ᡝᡵᡠᠨ
current	ᡝᠶᡝᠨ
cellar	ᡝᠶᡝ
law	ᡶᠠᡶᡠᠨ
imperial concubine	ᡶᡝᡳ
soul	ᡶᠠᠶᠠᠩᡤᠠ
nest	ᡶᡝᠶᡝ
song	ᡠᠴᡠᠨ
Buddhist monk	ᡥᡡᠸᠠᡧᠠᠨ
Taoist priest	ᡩᠣᠣᠰᡝ
Buddhist nun	ᡥᡠᠸᡝᡧᡝᠨ
Buddha	ᡶᡠᠴᡳᡥᡳ
book	ᠨᠣᠮᡠᠨ
bodhisattva	ᡶᡠᠰᠠ
region	ᠨᡳᠩᡤᡠᡨᠠ
family name	ᡥᠠᠯᠠ
full name	ᡤᡝᠪᡠ ᡥᠠᠯᠠ
Milky Way	ᠰᡠᠩᡤᠠᡵᡳ ᠪᡳᡵᠠ
lake	ᡨᡝᠩᡤᡳᠨ
pool	ᠣᠮᠣ
stream	ᠪᡳᡵᡤᠠᠨ
inkstone	ᠶᡠᠸᠠᠨ
government official	ᡥᠠᡶᠠᠨ
general	ᠵᡳᠶᠠᠩᡤᡳᠶᡡᠨ
low	ᠠᠯᠠ
stele	ᠪᡝᡳ
coffin	ᡥᠣᠪᠣ
tomb	ᡝᡳᡶᡠ
short	ᡶᠠᠩᡴᠠᠯᠠ
moose	ᡴᠠᠨᡩᠠᡥᠠᠨ
string	ᡶᡠᡨᠠ
louse	ᠴᡳᡥᡝ
dust	ᠪᡠᡵᠠᡴᡳ
season	ᡶᠣᡵᡤᠣᠨ
four season	ᡩᡠᡳᠨ ᡶᠣᡵᡤᠣᠨ
year	ᠰᡝ
wide	ᠣᠨᠴᠣ
thick	ᠵᡳᡵᠠᠮᡳᠨ
narrow	ᡳᠰᡥᡝᠯᡳᠶᡝᠨ
thin	ᠨᡝᡴᡝᠯᡳᠶᡝᠨ
heavy	ᡠᠵᡝᠨ
light	ᠸᡝᡳᡥᡠᡴᡝᠨ
thin	ᡨᡠᡵᡤᠠ
fat	ᡨᠠᡵᡥᡡᠨ
slow	ᠮᠠᠨᡩᠠ
thick	ᠮᡠᠸᠠ
thin	ᠨᠠᡵᡥᡡᠨ
small intestine	ᠨᠠᡵᡥᡡᠨ ᡩᡠᡥᠠ
large intestine	ᠮᡠᠸᠠ ᡩᡠᡥᠠ
feather	ᡶᡠᠩᡤᠠᡥᠠ
feather	ᡩᡝᡨᡥᡝ
pubic hair	ᠰᠠᠪᡠᠯᠠ
bell	ᠵᡠᠩ
thread	ᡨᠣᠩᡤᠣ
silk	ᠰᡳᡵᡤᡝ
bank	ᡩᠠᠯᡳᠨ
city	ᡥᡝᠴᡝᠨ
pillar	ᡨᡠᡵᠠ
waterfall	ᡨᡠᡵᠠᡴᡡ
eaves	ᠰᡳᡥᡳᠨ
capital city	ᡤᡝᠮᡠᠨ
capital city	ᡤᡝᠮᡠᠨ ᡥᡝᠴᡝᠨ
royal family	ᡠᡴᠰᡠᠨ
clan	ᠮᡠᡴᡡᠨ
root	ᡶᡠᠯᡝᡥᡝ
water source	ᠰᡝᡴᡳᠶᡝᠨ
Buddhist pagoda	ᠰᡠᠪᠠᡵᡥᠠᠨ
pavilion	ᠣᡵᡩᠣ
near	ᡥᠠᠨᠴᡳ
deep	ᡧᡠᠮᡳᠨ
shallow	ᠮᡳᠴᡳᡥᡳᠶᠠᠨ
warm	ᠪᡠᠯᡠᡴᠠᠨ
cold	ᠪᡝᡳᡴᡠᠸᡝᠨ
bland	ᠨᡳᡨᠠᠨ
cool	ᠰᡝᡵᡤᡠᠸᡝᠨ
complexion	ᠴᡳᡵᠠ
soft	ᡠᡥᡠᡴᡝᠨ
sweet	ᠵᠠᠨᠴᡠᡥᡡᠨ
bitter	ᡤᠣᠰᡳᡥᠣᠨ
tide	ᡶᡠᡵᡤᡳᠨ
sour	ᠵᡠᡧᡠᡥᡠᠨ
astringent	ᡶᡝᡴᠴᡠᡥᡠᠨ
salty	ᡥᠠᡨᡠᡥᡡᠨ
fragrant	ᠸᠠᠩᡤᠠ
ill	ᠸᠠᡥᡡᠨ
day before yesterday	ᠴᠠᠨᠠᠩᡤᡳ
stool	ᠮᡠᠯᠠᠨ
chair	ᠨᡳᡴᡝᡴᡠ ᠮᡠᠯᠠᠨ
chair	ᡳᠰᡝ
group	ᡶᡝᠨᡳᠶᡝᠨ
number	ᡨᠣᠨ
new territory	ᡳᠴᡝ ᠵᡝᠴᡝᠨ
old	ᡶᡝ
border	ᠵᡝᠴᡝᠨ
shallow lake	ᠪᡳᠯᡨᡝᠨ
delicious	ᠠᠮᡨᠠᠩᡤᠠ
ghost	ᡥᡠᡨᡠ
smell	ᠸᠠ
taste	ᠠᠮᡨᠠᠨ
bad	ᡝᡥᡝ
question	ᡶᠣᠨᠵᡳᠨ
herdsman	ᠠᡩᡠᠴᡳ
foal	ᡩᠠᡥᠠᠨ
wild horse	ᡨᠠᡥᡳ
goat	ᠨᡳᠮᠠᠨ
imperial edict	ᡥᡝᠰᡝ
dew	ᠰᡳᠯᡝᠩᡤᡳ
saliva	ᠴᡳᡶᡝᠩᡤᡠ
cricket	ᡤᡠᡵᠵᡝᠨ
locust	ᠰᡝᠪᠰᡝᡥᡝᡵᡳ
mantis	ᡥᡝᠯᡳᠶᡝᠨ
grasshopper	ᠰᠠᡵᡦᠠ
cockroach	ᠠᠨᠴᡠᠨ ᡠᠮᡳᠶᠠᡥᠠ
insect	ᡠᠮᡳᠶᠠᡥᠠ
cicada	ᠪᡳᠶᠠᠩᠰᡳᡴᡡ
centipede	ᡧᡝᡧᡝᡵᡳ ᡠᠮᡳᠶᠠᡥᠠ
earthworm	ᠪᡝᡨᡝᠨ
sable	ᠰᡝᡴᡝ
Siberian weasel	ᠰᡠᠸᠠᠶᠠᠨ ᠰᠣᠯᠣᡥᡳ
eleven	ᠣᠮᡧᠣᠨ
twelve	ᠵᠣᡵᡤᠣᠨ
sixteenth day	ᠨᡳᠣᠯᡥᡠᠨ
vertical bamboo wind instrument	ᠰᡳᡥᠠᡴᡡ
pond loach	ᡠᠶᠠᡧᠠᠨ
tendon	ᠰᡠᠪᡝ
carp	ᡥᠠᡵᡩᠠᡴᡡ
carp	ᠮᡠᠵᡠᡥᡠ
gecko	ᠶᡝᡴᠰᡝᡵᡥᡝᠨ
frog	ᠵᡠᠸᠠᠯᡳ
frog	ᡝᡵᡥᡝ
tadpole	ᡴᠣᡴᡳ
bat	ᡶᡝᡵᡝᡥᡝ ᠰᡳᠩᡤᡝᡵᡳ
bat	ᠠᠰᡥᠠᠩᡤᠠ ᠰᡳᠩᡤᡝᡵᡳ
chick	ᡧᠣᡵᡥᠣ
peacock	ᡨᠣᠵᡳᠨ
small bird	ᠴᡝᠴᡳᡴᡝ
sparrow	ᠰᡳᡧᠠᡵᡤᠠᠨ
young pig	ᠮᡳᡥᠠᠨ
four-year-old male wild boar	ᠠᡳᡩᠠᡤᠠᠨ
shoulder blade	ᡥᠠᠯᠪᠠ
collar bone	ᠠᠯᠠᠵᠠᠨ
anus	ᡶᠠᠵᡠᡴᡡ
male wild boar	ᠶᡝᠯᡠ
female pig	ᠮᡝᡥᡝᠨ
sow	ᠮᡝᡥᡝᠵᡝᠨ
ewe	ᠪᡠᠴᠠ
ram	ᠪᡠᡴᠠ
hill	ᠮᡠᡥᡠ
low mound	ᠮᡠᠩᡤᠠᠨ
squirrel	ᠰᠣᡳᠰᠣᠨ
goral	ᡳᠮᠠᡥᡡ
fan	ᡶᡠᠰᡥᡝᡴᡠ
radish	ᠮᡠᡵᠰᠠ
scorpion	ᡳᠰᡝᠯᡝᡴᡠ ᡠᠮᡳᠶᠠᡥᠠ
scorpion	ᡥᡳᠶᡝᠰᡝ
rhinoceros	ᡳᡥᠠᠰᡳ
rice	ᡥᠠᠨᡩᡠ
firefly	ᠵᡠᠴᡳᠪᠠ
clothing	ᠠᡩᡠ
clothing	ᡝᡨᡠᡴᡠ ᠠᡩᡠ
time	ᡶᠣᠨ
colorful cloud	ᠵᠠᡴᠰᠠᠨ
horn	ᡠᡳᡥᡝ
reindeer	ᠣᡵᠣᠨ ᠪᡠᡥᡡ
edge	ᡠᠵᠠᠨ
bridge	ᡥᡠᡵᡝᠨ
mat	ᡩᡝᡵᡥᡳ
water bucket	ᡥᡠᠨᡳᠣ
female dog	ᡝᠨᡳᡥᡝᠨ
female dog	ᡝᠨᡳᠶᡝᡥᡝᠨ
shadow	ᡥᡝᠯᠮᡝᠨ
jellyfish	ᠰᠠᠩᡤᡠᠵᡳ
belt	ᡠᠮᡳᠶᡝᠰᡠᠨ
strip	ᡠᡧᡝ
large	ᠠᠶᠠᠨ
candle	ᠠᠶᠠᠨ ᡩᡝᠩᠵᠠᠨ
fortress	ᡧᠠᠨᠴᡳᠨ
kind	ᡥᠠᠴᡳᠨ
wardrobe	ᡥᠣᡵᡥᠣ
cage	ᡥᠣᡵᡳᠨ
garlic chives	ᠰᡝᠩᡴᡠᠯᡝ
bread	ᡝᡶᡝᠨ
Adam's apple	ᡤᡡᠩᡴᠠᠨ
hornet	ᠰᡠᡳᠯᠠᠨ
water chestnut	ᠪᡳᠩᡤᡳᠶᠠ
wasp	ᡧᡝᡧᡝᠮᡦᡝ
umbrella	ᠰᠠᡵᠠ
blue-grey	ᡴᡠᡴᡠ
female	ᡝᠮᡳᠯᡝ
male	ᠠᠮᡳᠯᠠ
cock	ᠠᠮᡳᠯᠠ ᠴᠣᡴᠣ
hen	ᡝᠮᡳᠯᡝ ᠴᠣᡴᠣ
female	ᡠᠨᡳᠶᡝᠨ
male	ᠠᠵᡳᡵᡤᠠᠨ
castrated male pig	ᡨᠠᠮᠠᠨ
top	ᡴᠠᠩᠰᡳᡵᡳ
large fishing net	ᡥᡡᡵᡥᠠᠨ
dark	ᡶᠠᡵᡥᡡᠨ
bright	ᡤᡝᡥᡠᠨ
bright	ᡤᡝᠩᡤᡳᠶᡝᠨ
main beam	ᡨᠠᡳᠪᡠ
puppy	ᠨᡳᠶᠠᡥᠠᠨ
mane	ᡩᡝᠯᡠᠨ
mule	ᠯᠣᡵᡳᠨ
surprise	ᠠᡵᠠ
cotton	ᡴᡠᠪᡠ
jujube	ᠰᠣᡵᠣ
apricot	ᡤᡠᡳᠯᡝᡥᡝ
plum	ᡶᠣᠶᠣᡵᠣ
male fenghuang	ᡤᠠᡵᡠᡩᠠᡳ
female fenghuang	ᡤᡝᡵᡠᡩᡝᡳ
ginseng	ᠣᡵᡥᠣᡩᠠ
silkworm	ᠪᡳᠶᠣᠣ ᡠᠮᡳᠶᠠᡥᠠ
sugar cane	ᠵᠠᠨᠴᡠᡥᡡᠨᠵᡝ
proso millet	ᡳᡵᠠ
buckwheat	ᠮᡝᡵᡝ
naked oat	ᠠᡵᡶᠠ
sole	ᡶᠠᡨᠠᠨ
leech	ᠮᡳᡩᠠᡥᠠ
uvula	ᡳᠯᠮᠠᡥᠠ
top	ᠨᡳᠩᡤᡠ
otter	ᡥᠠᡳᠯᡠᠨ
melon	ᡥᡝᠩᡴᡝ
winter melon	ᠴᡳᡵᡴᡠ ᡥᡝᠩᡴᡝ
jackfruit	ᠪᠠᡵᠠᠮᡳᡩᠠ
scale	ᡝᠰᡳᡥᡝ
gill	ᡧᠠᡴᡧᠠᡥᠠ
artemisia	ᠰᡠᡳᡥᠠ
whip	ᡧᡠᠰᡳᡥᠠ
saw	ᡶᡠᡶᡠᠨ
sunlight	ᡶᠣᠰᠣᠨ
handkerchief	ᡶᡠᠩᡴᡠ
spear	ᡤᡳᡩᠠ
beggar	ᡤᡳᠣᡥᠣᡨᠣ
relay station	ᡤᡳᠶᠠᠮᡠᠨ
female prostitute	ᡤᡳᠰᡝ
contribution	ᡤᡠᠩᡤᡝ
healthy	ᡤᡠᡳᡤᡠ
boot	ᡤᡡᠯᡥᠠ
intention	ᡤᡡᠨᡳᠨ
palace	ᡤᡠᡵᡠᠩ
Asian swamp eel	ᠮᡝᡳᡥᡝᡨᡠ
ear	ᠰᡠᡳᡥᡝ
tobacco	ᡩᠠᠮᠪᠠᡤᡠ
saddle	ᡝᠩᡤᡝᠮᡠ
bridle	ᡥᠠᡩᠠᠯᠠ
ladder	ᠸᠠᠨ
mist	ᠰᡠᠮᠠᠨ
crane	ᠪᡠᠯᡝᡥᡝᠨ
sleeve	ᡠᠯᡥᡳ
pigeon	ᡴᡠᠸᡝᠴᡳᡥᡝ
female sable	ᠠᡳᡥᡡ
male sable	ᠯᡠᠩᡤᡠ
yellow-throated marten	ᡥᠠᡵᠰᠠ
female goat	ᡤᡡᠴᠠ
male goat	ᡴᡡᠴᠠ
male deer	ᠮᠠᡶᡠᡨᠠ
female deer	ᠵᠣᠯᠣ
birch	ᡶᡳᠶᠠ
poplar	ᡶᡠᠯᡥᠠ
dusk	ᠶᠠᠮᠵᡳᠰᡥᡡᠨ
play	ᠵᡠᠴᡠᠨ
coat	ᡴᡠᡵᡠᠮᡝ
bamboo	ᠴᡠᠰᡝ ᠮᠣᠣ
chrysanthemum	ᠪᠣᠵᡳᡵᡳ ᡳᠯᡥᠠ
lotus	ᡧᡠ ᡳᠯᡥᠠ
meat soup	ᠰᡳᠯᡝ
mulberry	ᠨᡳᠮᠠᠯᠠᠨ
cypress	ᠮᠠᡳᠯᠠᠰᡠᠨ
small case	ᠰᡳᡨᡥᡝᠨ
chest	ᡥᡳᡨᡥᡝᠨ
box	ᡥᠣᠰᡝᡵᡳ
Hubei	ᡥᡡᠪᡝ
chick	ᡶᡳᠣᡥᠠ
valley	ᡥᠣᠯᠣ
lake	ᡥᡠᡥᡠ ᠨᠣᠣᡵ
Dzungars	ᠵᡠᠨ ᡤᠠᡵ
shield	ᡴᠠᠯᡴᠠ
ᠣᠴᡳ	ᠨᡳᠪᠴᡠ
hide	ᠨᡠᡥᡝᠴᡳ
corn	ᠠᡳᡥᠠ ᡧᡠᡧᡠ
colored glaze	ᠠᡳᡥᠠ
corsac fox	ᡴᡳᡵᠰᠠ
leopard cat	ᡠᠵᡳᡵᡥᡳ
lynx	ᠰᡳᠯᡠᠨ
Mongolian gazelle	ᠵᡝᡵᡝᠨ
male zeren	ᠣᠨᠣᠨ
female zeren	ᠰᡳᡵᡥᠠᠴᡳᠨ
young zeren	ᡳᠨᠵᠠᡥᠠ
male tiger	ᠮᡠᡥᠠᠨ
female tiger	ᠪᡳᡵᡝᠨ
herd	ᠠᡩᡠᠨ
raccoon dog	ᡝᠯᠪᡳᡥᡝ
wildcat	ᠮᠠᠯᠠᡥᡳ
afterbirth	ᡨᡝᠪᡴᡠ
cotton	ᡴᡠᠪᡠᠨ
marmot	ᡨᠠᡵᠪᠠᡥᡳ
gold	ᠠᡳᠰᡳᠨ
stand	ᡳᠯᡳᠮᠪᡳ
dergi abka	ᡩ᠋ᡝ᠋ᡵᡤᡳ ᠠᠪᡴᠠ
blue sky	ᠨᡳᠣᡥᠣᠨ ᠠᠪᡴᠠ
clear sky	ᡤᡝᠩᡤᡳᠶᡝᠨ ᠠᠪᡴᠠ
ulden	ᡠᠯᡩᡝ᠋ᠨ
gersi fersi	ᡤᡝᡵᠰᡳ ᡶᡝᡵᠰᡳ
bright	ᡤᡝᡢᡤᡳᠶᡝᠨ
gun	ᠮᡳᠶᠣᠣᠴᠠᠨ
Hami	ᡥᠠᠮᡳ
Turfan	ᡨᡠᡵᡶᠠᠨ
Aksu	ᠠᡴ᠋ᠰᡠ
medicine	ᠣᡴᡨᠣ
wide	ᠯᡝᠯᡳ
Khingan Range	ᡥᡳᠩᡤᠠᠨ
Jurchen	ᠵᡠᡧᡝᠨ
Qing dynasty emperor	ᡥᠣᠩ ᡨᠠᡳᠵᡳ
Jurchen chieftain	ᠨᡠᡵᡤᠠᠴᡳ
dream	ᡨᠣᠯᡤᡳᠨ
steamed bun	ᠮᡝᠨᡨᡠ
orphan	ᡠᠮᡠᡩᡠ
frog	ᠸᠠᡴᡧᠠᠨ
elm	ᡥᠠᡳᠯᠠᠨ
menstruation	ᡥᠠᠯᠠᠨ
hammer	ᠯᠠᠩᡨᡠ
frost	ᡤᡝᠴᡝᠨ
frost	ᡤᡝᠴᡝᠨ ᡤᡝᠴᡝᠮᠪᡳ
spinach	ᠪᡠᠯᠠ ᠰᠣᡤᡳ
hot spring	ᠪᡠᠯᡠᡴᠠᠨ ᡧᡝᡵᡳ
desire	ᠪᡠᠶᡝᠨ
estrangement	ᡶᡳᡴᡨᡠ
solid	ᡶᡳᠯᡳ
office	ᠶᠠᠮᡠᠨ
real	ᠶᠠᡵᡤᡳᠶᠠᠨ
title	ᡝᡵᡩᡝᠨᡳ
Qing dynasty	ᡯᠠᡳ ᡨᡳᠶᠠᠨ
disgrace	ᡤᡳᡵᡠᠴᡠᠨ
far away place	ᡤᠣᡵᠣᡴᡳ
talisman	ᡴᠠᡵᠮᠠᠨᡳ
rag	ᠮᠠᠪᡠ
fill	ᡨᠠᠮᠠᠮᠪᡳ
door god	ᡩᡠᡴᠠᡳ ᡝᠨᡩᡠᡵᡳ
peace	ᡨᠠᡳᡶᡳᠨ
for the time being	ᡨᠠᡴᠠ
funny	ᡳᠨᠵᡝᡴᡠ
testicle	ᡠᡥᠠᠯᠠ
wealth	ᡠᠯᡳᠨ
other	ᡤᡡᠸᠠ
hobby	ᠴᡳᡥᠠᠯᠠᠨ
kelp	ᠪᡝᡳᡥᡝ
northeastern	ᡥᠠᠯᠪᡳᠨ
ᡤᡡᠰᡳᠨ ᡩᡝ ᠵᡠᡵᠠᡴᠠ	ᠰᡳᠮᠪᡳᡵᠰᡴᡠ
locative case	ᡩᡝ
depart	ᠵᡠᡵᠠᠮᠪᡳ
arrive	ᡳᠰᡳᠨᠠᠮᠪᡳ
say	ᡥᡝᠨᡩᡠᠮᠪᡳ
faction	ᡥᠣᡴᡳ
Wanli	ᠸᠠᠨᠯᡳ
reign	ᠸᠠᠨᠯᡳ ᡥᠠᠨ
buffalo	ᠮᡠᡴᡝ ᡳᡥᠠᠨ
Mongolian	ᠮᠣᠩᡤᠣ ᡤᡳᠰᡠᠨ
inside	ᡩᠣᡵᡤᡳ
cabinet	ᡩᠣᡵᡤᡳ ᠶᠠᠮᡠᠨ
outside	ᡨᡠᠯᡝᡵᡤᡳ
overseas	ᠮᡝᡩᡝᡵᡳ ᡨᡠᠯᡝᡵᡤᡳ
ordinary	ᠠᡵᠰᠠᡵᡳ
in vain	ᠮᡝᡴᡝᠯᡝ
learn	ᡨᠠᠴᡳᠮᠪᡳ
now	ᡨᡝ
thing	ᠪᠠᡳᡨᠠ
adultery	ᠪᠠᡳᡨᠠ ᠶᠠᠪᡠᠮᠪᡳ
university	ᠠᠮᠪᠠ ᡨᠠᠴᡳᡴᡡ
primary school	ᠠᠵᡳᡤᡝ ᡨᠠᠴᡳᡴᡡ
secondary school	ᡩᡠᠯᡳᠮᠪᠠᡳ ᡨᠠᠴᡳᡴᡡ
student	ᡨᠠᠴᡳᠮᠰᡳ
pairing	ᡥᠣᠯᠪᠣᠨ
night	ᡩᠣᠪᠣᡵᡳ
resent	ᡤᠠᠰᠠᠮᠪᡳ
rich	ᠪᠠᠶᠠᠨ
hatred	ᡤᠠᠰᠠᠴᡠᠨ
private matter	ᠴᡳᠰᡠ
private	ᠴᡳᠰᡠᡳ
comb	ᡳᠵᡳᠮᠪᡳ
yaksha	ᠶᠠᡴᠴᠠ
because	ᠣᡶᡳ
writing	ᡧᡠ
literary genre	ᡧᡠ ᡤᡳᠰᡠᠨ
civilization	ᡧᡠ ᡤᡝᠩᡤᡳᠶᡝᠨ
knowledge	ᡨᠠᠴᡳᠨ
pearl	ᡨᠠᠨᠠ
ᠪᡳ	ᡳᠨᡩᡝ
paradise	ᠠᠪᡴᠠᡳ ᡤᡠᡵᡠᠨ
our	ᠮᡝᠨᡳ
our	ᠮᡠᠰᡝᡳ
his	ᡳᠨᡳ
your	ᠰᡠᠸᡝᠨᡳ
their	ᠴᡝᠨᡳ
opera singer	ᡥᡳᠰᡝ
pretty	ᡥᠣᠴᡳᡴᠣᠨ
myopia	ᠴᡠᡴᡡᠯᡠ
qukvlu	cukūlu
swill	ᠰᡠᡵᠠᠨ
