year	ᠠᠨᡳᠶᠠ
green	ᠨᡳᠣᠸᠠᠩᡤᡳᠶᠠᠨ
Manchu	ᠮᠠᠨᠵᡠ ᡥᡝᡵᡤᡝᠨ
heavenly stem	ᠠᠪᡴᠠᡳ ᠴᡳᡴᡨᡝᠨ
turquoise	ᠨᡳᠣᡥᠣᠨ
yellow	ᠰᡠᠸᠠᠶᠠᠨ
yellow	ᠰᠣᡥᠣᠨ
white	ᡧᠠᠩᡤᡳᠶᠠᠨ
pale	ᡧᠠᡥᡡᠨ
black	ᠰᠠᡥᠠᠯᡳᠶᠠᠨ
light black	ᠰᠠᡥᠠᡥᡡᠨ
white	ᡧᠠᠨᠶᠠᠨ
Tibet	ᠸᠠᡵᡤᡳ ᡯᠠᠩ
Amur	ᠰᠠᡥᠠᠯᡳᠶᠠᠨ ᡠᠯᠠ
river	ᡠᠯᠠ
city wall	ᡥᠣᡨᠣᠨ
ten heavenly stem	ᠵᡠᠸᠠᠨ ᠴᡳᡴᡨᡝᠨ
Taiwan	ᡨᠠᡳᠸᠠᠨ
Guangdong	ᡤᡠᠸᠠᠩᡩᡠᠩ
Guangxi	ᡤᡠᠸᠠᠩᠰᡳ
Shandong	ᡧᠠᠨᡩᡠᠩ
Shaanxi	ᡧᠠᠨᠰᡳ
history	ᠰᡠᡩᡠᡵᡳ
hot pot	ᡥᠠᠯᡥᡡᠨ ᠮᡠᠴᡝᠨ
pot	ᠮᡠᠴᡝᠨ
hot	ᡥᠠᠯᡥᡡᠨ
kakiri	ᡴᠠᡴᡳᡵᡳ
dulimbai gurun	Dulimbai gurun
yali	ᠶᠠᠯᡳ
anju	ᠠᠨᠵᡠ
coco	ᠴᠣᠴᠣ
fefe	ᡶᡝᡶᡝ
writing system	ᠪᡳᡨᡥᡝ
Sichuan pepper	ᡥᡡᠸᠠᠵᡳᠶᠣᠣ
hvwajiyoo	hūwajiyoo
historical record	ᠰᡠᡩᡠᡵᡳ ᠪᡳᡨ᠌ᡥᡝ
xanyan	šanyan
xanggiyan	šanggiyan
niyengniyeri	ᠨᡳᠶᡝᠩᠨᡳᠶᡝᡵᡳ
bolori	ᠪᠣᠯᠣᡵᡳ
tuweri	ᡨᡠᠸᡝᡵᡳ
duin erin	ᡩᡠᡳᠨ ᡝᡵᡳᠨ
time	ᡝᡵᡳᠨ
father	ᠠᠮᠠ
mother	ᡝᠮᡝ
Confucius	ᡴᡠᠩᡯᡳ
Russian	ᠣᡵᠣᠰ
fish	ᠨᡳᠮᠠᡥᠠ
historical record	ᠰᡠᡩᡠᡵᡳ ᡩᠠᠩᠰᡝ
file	ᡩᠠᠩᠰᡝ
suduri ejebun	ᠰᡠᡩᡠᡵᡳ ᡝᠵᡝᠪᡠᠨ
