dictionary	woordenboek
paradoxical	paradoxaal
regards	groetjes
sole	zeetong
da onder	daaronder
noun	nominaal
fire engine	brandweerauto
fire engine	brandweerwagen
rubbish	vuilnis
snowball	sneeuwbal
Serbian	Servisch
apostasy	afvalligheid
warmth	warmte
width	breedte
foreign minister	minister van Buitenlandse Zaken
foreign	buitenlands
set	instellen
enforcement	handhaving
originating	afkomstig
descend	afstammen
accomplish	volbrengen
glossary	glossarium
pilgrim	pelgrim
stub	beginnetje
lobster	kreeft
crustacean	kreeftachtig
carmine	karmijnrood
still camera	fototoestel
Austrian	Oostenrijker
Kazakh	Kazachs
dermatologist	dermatoloog
asterisk	sterretje
check	checken
unmarried	ongehuwd
hinny	muilezel
scorpion	schorpioen
north	noorderbreedte
south	zuiderbreedte
fountain	fontein
marry	huwen
reference	referentie
heir	erfgenaam
cup	mok
mourn	rouwen
gruesome	gruwelijk
curry powder	kerrie
hypothesis	hypothese
majesty	majesteit
confrontation	confrontatie
Your Majesty	Uwe Majesteit
argument	debat
dress	aankleden
sea lion	zeeleeuw
unicorn	eenhoorn
sow	zeug
basketball	basketbal
anonymous	anoniem
comfort	troost
sleepy	slaperig
cock-a-doodle-doo	kukeleku
passport	paspoort
Holy Spirit	Heilige Geest
buttermilk	karnemelk
beloved	geliefd
morning	voormiddag
sundial	zonnewijzer
wallpaper	behangselpapier
archenemy	aartsvijand
move	verroeren
membership	lidmaatschap
Celtic	Keltisch
gum	tandvlees
median	mediaan
pedestrian	voetganger
application	applicatie
bannister	leuning
light year	lichtjaar
nuncio	nuntius
aristocrat	aristocraat
data	gegevens
teacher	leerkracht
use up	verstrijken
interrogate	ondervragen
furniture	meubelstuk
earwig	oorworm
cannibal	kannibaal
park	parkeren
litany	litanie
shrine	schrijn
porcupine	stekelvarken
pitch	pek
carnivore	vleeseter
cicada	cicade
crayfish	rivierkreeft
sponge	spons
seal	zeehond
mulberry	moerbei
mortality	mortaliteit
Indo	blauwe
counter	balie
artificial	artificieel
plumber	loodgieter
refutation	weerlegging
basil	basilicum
stapler	nietmachine
stapler	nietapparaat
pour	gieter
air shaft	luchtpijp
bleacher	bleker
cyprinid	brasem
hedge	haag
garland	guirlande
idiosyncrasy	idiosyncrasie
kinetic	kinetisch
beast of burden	lastdier
mathematical	mathematisch
intrinsic	intrinsiek
embalm	balsemen
smart	snugger
laboratory	laboratorium
outer space	ruimteveer
rectal	rectaal
toothpick	tandenstoker
pomegranate	granaatappel
cross out	schrappen
recently	onlangs
disciple	discipel
citizenship	burgerschap
alimony	alimentatie
elementary education	basisonderwijs
dishwasher	vaatwasmachine
dishwasher	afwasser
opstanding	opstanding
opposition	antithese
infect	infecteren
terrapin	moerasschildpad
corkscrew	kurkentrekker
recreation	recreatie
peanut butter	pindakaas
Melanogrammus aeglefinus	schelvis
porbeagle	haringhaai
North Sea	Noordzee
omnivore	omnivoor
omnivore	alleseter
dizzy	duizelig
eater	eter
economical	zuinig
economic	economisch
ethics	ethiek
injection	injectie
beleaguer	belagen
mealy	melig
intersection	kruispunt
Dalmatian	dalmatiër
figure skate	kunstschaatsen
self-portrait	zelfportret
flea market	vlooienmarkt
consulate	consulaat
stateless	apatride
anabolism	anabolisme
molasses	melasse
sweet potato	zoete aardappel
phloem	floëem
xylem	xyleem
vascular bundle	vaatbundel
hell	bloedheet
flowerpot	bloempot
collagen	collageen
ruin	ruïne
ruin	ruïneren
tune	deun
bloody	bloedig
potato salad	aardappelsalade
gas pipeline	gasleiding
water pipe	waterleiding
gelegen	gelegen
sewer	riool
coast guard	kustwacht
train horn	tyfoon
force back	terugdringen
curb	intomen
three-quarter	driekwart
Great Britain	Groot-Brittannië
New Guinea	Nieuw-Guinea
typhoon	taifoen
competence	competentie
tubercular	tuberculeus
fanatic	fanaticus
aniseed	muisjes
financial	financieel
stay away	uitblijven
credit	krediet
furlough	verlof
endure	uithouden
lowering	verlaging
deposit	morene
butterface	plork
justice	justitie
march forward	voortschrijden
poinsettia	kerstster
with bad grace	kwaadschiks
horse	arrenslee
angelic	engelachtig
soon	weldra
Zeeland	Zeeuws
summer evening	zomeravond
spring evening	lenteavond
autumn evening	herfstavond
winter evening	winteravond
pinball	flipperspel
heresy	ketterij
carbohydrate	koolhydraat
illiterate	analfabeet
pistachio	pistache
zwieback	beschuit
bloodsucker	bloedzuiger
chevron	keper
cheese slicer	kaasschaaf
small size	non plus ultra
Thai	Thailander
hands up	handen omhoog
ten minste houdbaar tot	ten minste houdbaar tot
save	zaligen
preparedness	paraatheid
deny	ontzeggen
banya	banja
peace	vree
pleasure	welbehagen
peace	peis
beloved	welbemind
nightgown	negligé
CAPTCHA	captcha
print	prent
sign language	gebarentaal
hermit crab	heremietkreeft
apple turnover	appelflap
Moroccan	Marokkaan
astronomical	astronomisch
Nazi concentration camp	ka-tzetnik
artillery shell	obus
debate	debatteren
brief	kortstondig
liberal	liberaal
lay down	neerleggen
antipathy	afkeer
label	bestempelen
herself	zijzelf
judicial process	rechtsgang
manipulate	manipuleren
inform	inlichten
TV	journaal
detention center	huis van bewaring
detained	gedetineerd
break	overtreden
public venue	horecagelegenheid
straggler	hekkensluiter
auction	veilen
Happy New Year	Gelukkig Nieuwjaar
triptych	drieluik
remove	afsteken
shrill	schril
disappoint	tegenvallen
shrink	inkrimpen
eavesdrop	afluisteren
suretyship	borgtocht
stain	bezoedelen
appeal	oproep
redshift	roodverschuiving
sarcastic	sarcastisch
singularity	singulariteit
collapse	instorten
proportional	evenredig
embroider	borduren
embroider further	voortborduren
blueshift	blauwverschuiving
determination	vaststelling
supplement	aanvulling
in the long run	op den duur
task	klus
in tegenstelling tot	i.t.t.
chronic	chronisch
free	roestvrij
escalator	roltrap
threshold	drempel
mat	passe-partout
slob	slons
wander off	afdwalen
soul	bezielen
splendor	pracht
see through	doorgronden
overvloet	overvloed
photo report	fotoreportage
abruptly	overhaast
heavenly	hemels
sky	hemelgewelf
celestial sphere	hemelbol
Tropic of Cancer	Kreeftskeerkring
Tropic of Capricorn	Steenbokskeerkring
bird	krop
weekly	weekblad
carp	karper
correction	correctie
porpoise	bruinvis
prompter	souffleur
orca	zwaardwalvis
heifer	vaars
barefoot	barrevoets
flying saucer	vliegende schotel
monthly	maandblad
road sign	wegwijzer
stapler	nietjesmachine
elector	kiesman
straw	rieten
weak	kwab
laken	scharlaken
rotating	roterend
wave	golven
prefatory play	voorspel
rotate	roteren
contradict	tegenspreken
help	behulp
sway	slingeren
angular velocity	hoeksnelheid
chapter	kapittel
suppository	suppo
grammarian	grammatiker
bombing	bombardement
deontology	deontologie
cluttered	overzichtelijk
dot	stippel
bow	buiging
child	speeltuin
sans serif	schreefloos
ter wille van	ter wille van
extinct volcano	uitgedoofde vulkaan
dormant volcano	slapende vulkaan
dismiss	royeren
give birth	lammeren
member	lidmaat
autism	autist
orphan	weeskind
trilogy	trilogie
hypocrisy	hypocrisie
slender	volslank
liverwurst	leverworst
take along	meenemen
spanking	billenkoek
Galilee	Galilea
thanksgiving	dankzegging
yourself	uzelf
encourage	bemoedigen
true	waarachtig
Pharisee	farizeeër
blow	waaien
sower	zaaier
reaper	maaier
consume	consumeren
hospitable	gastvrij
courtier	hoveling
ordinal number	-de
typical	typisch
towards	tegemoet
approach	tegemoetkomen
housemate	huisgenoot
husje	huisje
miraculous sign	wonderteken
privilege	voorrecht
goodness	goedheid
greatness	grootheid
shower	overstelpen
frankly	ronduit
hesitate	aarzelen
stay	logeren
above average	bovengemiddeld
music video	videoclip
nameplate	naambord
Catalonia	Catalaans
anchovy	ansjovis
liquid	vloeistof
sexual	seksueel
intersection	doorsnede
load	lader
klok	klokke
limp	manken
fetter	kluisteren
alternating voltage	wisselspanning
direct	gelijkspanning
alternating current	wisselstroom
direct current	gelijkstroom
MPV	monovolume
pâté	paté
underbelly	onderbuik
vain	ijdel
snore	snurken
menutie	munitie
multiplication sign	maalteken
mercenary	huurling
bachelor	vrijgezel
physical	fysisch
furtive	steels
regtveerdigheit	rechtvaardigheid
ingestible package	bolletje
amnesia	amnesie
hum	snorren
aim	viseren
alcoholism	alcoholisme
witticism	boutade
Aromanian	Aromaans
florist	bloemist
Netherlands	nederwiet
jacket	colbert
antifibrinolytic	antifibrinolyticum
accusative case	accusativus
sarcasm	sarcasme
price tag	prijskaartje
jubilee	jubileum
air conditioning	airconditioning
move	verzetten
booted	gelaarsd
Martin	Maartje
nickname	Jannetje
hypocoristic	Josien
hypocoristic	Josina
nickname	Leentje
hypocoristic	Maritje
Cornelia	Neeltje
act	ageren
colour blindness	kleurenblindheid
tiepin	dasspeld
softly	zachtjes
police officer	zwaantje
anesthesia	verdoving
bathe	bader
physicist	fysicus
convoy	vrachtkonvooi
infect	verpesten
arsonist	brandstichter
pastry	banket
dangle	bengelen
blauw oog	blauw oog
anesthesia	anesthesie
nagger	drammer
lash	zweepslag
set theory	verzamelingenleer
earthenware	aardewerk
jug	kruik
breakable	breekbaar
glaze	glazuur
glassy	glasachtig
blade of grass	grasspriet
quantifier	kwantor
subset	deelverzameling
if and only if	dan en slechts dan als
if and only if	als en slechts als
probability	waarschijnlijkheid
throw dice	dobbelen
probability theory	kansrekening
sophism	drogreden
triangular	driehoekig
traffic sign	verkeersbord
high school	middelbare school
high school	secundaire school
secondary education	voortgezet onderwijs
blackboard eraser	bordenwisser
wiper	wisser
diamonds	ruiten
clipboard	klembord
Egyptian	Egyptisch
kickoff	aftrap
moor	aanmeren
festivity	feestelijkheid
honeybee	honingbij
preceding	voorgaand
pitiful	deplorabel
conscription	dienstplicht
pristine	ongerept
nuisance	overlast
distillation	destillatie
scavenger	aaseter
self-made	zelfgemaakt
unofficial	officieus
guitarist	gitarist
unaccompanied	onbegeleid
driving	stuwend
duckling	eendje
nickname	geuzennaam
joint	gader
gypseous	gipsen
coryphaeus	coryfee
chastise	tuchtigen
invitation	uitnodiging
nail polish	nagellak
amplifier	versterker
arc lamp	booglamp
northerner	noordeling
Nordic	Noords
archduke	aartshertog
archduchy	aartshertogdom
duchy	hertogdom
workman	werkman
keeper	burggraaf
great-grandparent	overgrootouder
great-grandfather	overgrootvader
great-grandmother	overgrootmoeder
fatty acid	vetzuur
accompany	begeleiden
lead up	opleiden
annoy	ergeren
focal length	brandpuntsafstand
laundry basket	wasmand
play	gamen
corset	korset
moderate	gematigde
martyr	martelares
licentious	losbandig
brothel	bordeel
weak	labber
stage	toneel
greetings	gegroet
please	lusten
sod	plag
moody	humeurig
dynasty	dynastie
Indonesia	peranakan
broke	skeer
prison sentence	celstraf
unveil	ontsluieren
parade	defilé
tyrannical	tiranniek
pants	broekschijter
tease	stangen
advantage	een geluk bij een ongeluk
rotate	wentelen
visit	vanden
homage	hommage
ember	sintel
large	moloch
hitch	liften
newsletter	nieuwsbrief
ring	terugbellen
dance	milonga
pole star	poolster
geoisotherm	geotherm
descendant	nazaat
scanty	karig
decoration	versiersel
unload	lossen
beautiful	fraai
ring in	inluiden
lead	voorgaan
review	recensie
insist	aandringen
catenary	kettinglijn
nonstretchable	onuitrekbaar
airy	luchtig
whistling-kettle	fluitketel
dystopia	dystopie
consumer	consument
goalie	doelverdediger
almighty	almachtig
card game hearts	hartenjagen
payer	betaler
vampire	vampier
volunteer	vrijwilliger
voluntary	vrijwillig
behead	onthoofden
buttcrack	bilnaad
seam	naad
orphanage	weeshuis
crack	knappen
extinguish	blusser
bar	maatstreep
full-time	fulltime
setting	montuur
respect	hoezo
idea	denkbeeld
staff	staf
staff	personeel
bouquet	boeket
child abuse	kindermishandeling
pop star	popster
linking vowel	-e-
sideways	en profil
drink	bitteren
sea	ruime sop
look back	terugkijken
boat	schuit
study	bestuderen
penetrating	doorvallend
technical skill	techniek
dinosaur	dinosauriër
clarify	verduidelijken
bury	bedelven
clasp	omklemmen
birdlike	vogelachtig
breastbone	borstbeen
kosher	treife
noble	edele
wool	wol
autumn	herfstmaand
paper	papieren
pillow fight	kussengevecht
region	Brussels Hoofdstedelijk Gewest
divinity	godheid
braveness	dapperheid
decode	decoderen
sebum	talg
dilettant	dilettantisch
stiff	stram
judiciary	gerechtelijk
thumping	gebons
improve	opkalefateren
gaze	turen
Persian	Perzisch
acoustic	akoestisch
thermal	thermaal
chlorine	chloor
subsidise	subsidiëren
cornflour	maizena
allegory	allegorie
reader	lezer
number	antwoordnummer
prone	bijtgraag
quadrillion	biljard
diplomat	diplomaat
doe	hinde
tearful	tranerig
hit	nekslag
motive	beweegreden
resentment	rancune
bawl	huilebalken
undress	ontkleden
obsessive	obsessief
lagoon	lagune
compartment	compartiment
bestir oneself	aangorden
increase	aangroeien
have on	aanhebben
corps	korps
static	statisch
industrial	industrieel
mature	belegen
teleological	teleologisch
varnish	vernis
incite	aanhitsen
tie on to	aanknopen
smile at	aanlachen
alluringness	aanlokkelijkheid
arrogance	aanmatiging
considerable	aanmerkelijk
plausible	aanneembaar
responsible	aansprakelijk
coming	aanstaand
soon	aanstonds
apply	aanwenden
earth	aardrijk
after	achterna
overtake	achteropkomen
backwards	achterover
patent of nobility	adelbrief
sufficient	afdoend
jealousy	afgunst
argue out	afhandelen
portray	afschilderen
very soon	aldra
gradually	allengs
carnation	anjelier
carnation	anjer
chemist	apotheker
commonplace	banaal
anxious	beangstigen
sorrowful	bedroefd
deception	bedrog
statuette	beeldje
agreeableness	behaaglijkheid
agility	behendigheid
hunt after	bejagen
confession	bekentenis
clothe	bekleden
charm	bekoren
shorten	bekorten
politeness	beleefdheid
obstacle	belemmering
hinder	beletten
please	believen
lovely	beminnelijk
love	beminnen
lovableness	beminnenswaardigheid
chopstick	stokje
apron	schort
desalinate	ontzilten
money	plakka
particularly	bepaaldelijk
talk over	bepraten
shade	lommer
lower body	onderlichaam
scold	berispen
stir up	beroeren
cause	berokkenen
ashamed	beschaamd
decompose	besterven
govern	bestieren
mount	bestijgen
shine upon	bestralen
enchant	betoveren
exercise	betrachten
alternately	beurtelings
charming	bevallig
patron	bevorderaar
surprise	bevreemding
watch over	bewaken
mobile	beweeglijk
fill	bewieroken
live in	bewonen
reflect	bezinnen
add	bijvoegen
thorn	doorn
blow	uitblazen
pixel	beeldpunt
alternative	alternatief
luxuriant	welig
vapor pressure	dampdruk
decorator	versierder
thresh	dorsen
non-believer	ongelovige
scruff	nekvel
anemia	bloedarmoede
sloppy	slordig
emerald	smaragden
envelope	briefomslag
our	onzes
Thaliacea	salp
freshman	feut
failure	faal
continuation	voortzetting
wound	kwetsuur
pubic hair	schaamhaar
meditation	meditatie
lead seal	plombe
material	materieel
arguable	verdedigbaar
anthropological	antropologisch
oath	bezwering
alchemy	alchemie
sorcery	tovenarij
woodcut	houtsnede
spiritism	spiritisme
fluter	fluiter
commemoration	herdenking
capital market	kapitaalmarkt
money market	geldmarkt
hebt gij	hedde
advertiser	adverteerder
forced	gedwongen
sub-Saharan	zwarte
quarter	kwartier
geographic	geografisch
nevertheless	nochtans
rediscovery	herontdekking
twintigste	20e
xenophobia	xenofobie
Catholicism	katholicisme
resurrection	verrijzenis
crucifixion	kruisdood
gospel	evangelie
confess	belijden
monotheistic	monotheïstisch
announcement	aankondiging
Protestantism	protestantisme
epidemiologic	epidemiologisch
tricky	netelig
vow	gelofte
fickle	wispelturig
translucent	doorschijnend
pity	deernis
meagre	deerniswekkend
pity	meelijwekkend
oblige	verplichten
obedience	gehoorzaamheid
controversial	controversieel
owed	verschuldigd
dogma	leerstelling
ultimate	ultiem
métier	stiel
squire	schildknaap
table of contents	inhoudsopgave
Catholic	katholiek
religious	religieus
spiritual	spiritueel
unbridled	onbeteugeld
divine	goddelijk
intellectual	verstandelijk
agreement	instemming
cooperate	samenwerken
believer	gelovige
religious	gelovig
think	gunnen
hodgepodge	mikmak
dew	dauw
dewpoint	dauwpunt
misbruiker	misbruikster
desire	penisnijd
anger	nijd
delivery van	bestelwagen
theological	theologisch
treatise	verhandeling
sentence	veroordeelde
renowned	vermaard
juridical	juridisch
international law	volkenrecht
free trade	vrijhandel
retrieve	terugvinden
plead	bepleiten
dare	durven
autonomous	autonoom
talent	begaafdheid
instructor	leermeester
philologist	filoloog
legation	gezantschap
correspond	corresponderen
deserving	verdienstelijk
undeserving	onverdienstelijk
compatible	verenigbaar
ten gunste van	ten gunste van
unsurpassed	onovertroffen
wedding night	huwelijksnacht
sensuality	zinnelijkheid
sensual	zinnelijk
figure	gestalte
devote oneself to	ijveren
settle	beslechten
hastily	ijlings
renowned	roemrucht
defrayment	bekostiging
legality	wettigheid
lawful	wettig
rancor	wrok
digest	verteren
piety	vroomheid
order	besteller
boozer	zuipschuit
coat	frak
patch	brodden
Deuteronomy	Deuteronomium
Joshua	Jozua
Judges	Rechters
rocky	rotsig
spread	spreiden
catapult	katapult
progenitor	voorvader
shun	schuwen
climatologist	klimatoloog
climatological	klimatologisch
climatology	klimatologie
greenhouse gas	broeikasgas
originate	voortkomen
aquatic	aquatisch
mycology	mycologie
electroencephalogram	elektro-encefalogram
fee	tarief
foreword	voorwoord
however	evenwel
uniform	eenvormig
nuclear energy	kernenergie
aim	doeleinde
fuse	fuseren
professor	hoogleraar
bailiff	gerechtsbode
bibliography	bibliografie
mouth	giecheltje
mouth	vreetmolen
glutton	veelvraat
manager	administrateur
evangelisation	evangelisatie
years	jarenlang
society	genootschap
emirate	emiraat
get around	omzeilen
result	resulteren
compress	comprimeren
dance	hossen
timekeeping mechanism	uurwerk
compression	compressie
optic	optisch
nerve	zenuw
nervous system	zenuwstelsel
system	stelsel
circulatory system	bloedvatenstelsel
respiratory system	luchtwegstelsel
digestive system	maag-darmstelsel
annoy	vervelen
bored	verveeld
code	coderen
encoding	codering
send onwards	doorsturen
pendulum clock	slingerklok
infrastructure	infrastructuur
een en ander	e.e.a.
something	een en ander
arts venue	kunsthal
arise	verrijzen
accomplishment	voltooiing
concert hall	concertzaal
acceptable	aanvaardbaar
terrorism	terrorisme
mumble	mompelen
constructive	constructief
isolate	isoleren
mathematical	wiskundig
course of life	levensloop
romanticize	romantiseren
prestigious	prestigieus
educational	onderwijskundig
possessed	bezeten
insufficient	onvoldoende
aware	onderkennen
heartbeat	hartslag
kisser	kusser
negligible	bagatel
equal	gelijke
lipid	lipide
adventure	avontuurlijk
state interest	raison d'État
stranger	onbekende
periodically	periodiek
life insurance	levensverzekering
annuity	lijfrenteverzekering
aerial photograph	luchtfoto
clog	verzanding
food bag	knapzak
Sephardic	snoge
raise	lichten
fragment	fragmenteren
atmospheric pressure	luchtdruk
capacity	capaciteit
efficiency	efficiëntie
check	keuring
modernisation	modernisering
commission	commissie
reflect	reflecteren
consultation	consultatie
optimise	optimaliseren
shorts	korte broek
bruise	blauwe plek
shabby	sjofel
legend	fabel
particulate matter	fijnstof
discussion	discussie
global	mondiaal
global dimming	mondiale zonsverduistering
climate	klimaat
toxicological	toxicologisch
morbidity	morbiditeit
primary	primair
dinosaur	fossiel
sulfur dioxide	zwaveldioxide
acidify	verzuren
sour	zuurtje
volatile	vluchtig
attach	hechten
pavement	wegdek
dried	gedroogd
wood	houtkachel
as well as	alsmede
sea salt	zeezout
arrange	opstellen
prehistory	prehistorie
fireworks	vuurwerk
smear	bestrijken
extreme	uiterste
Iberian	Iberisch
Baltic Sea	Oostzee
industrialise	industrialiseren
forestry	bosbouw
solar energy	zonne-energie
lightning bolt	bliksemschicht
monoplane	eendekker
suddenly	eensklaps
rotten	porrie
Wallonia	Sier
iron hanger	hangijzer
thresh	dorser
believer	gelover
naked	naaktheid
facial color	gelaatskleur
smack	kaakslag
Obadiah	Obadja
hospital	gasthuis
clinic	kliniek
shake	schokken
penis	kaneelstokje
prosaic	nuchter
oratorio	oratorium
game of chance	kansspel
drown	verdrinken
yodel	jodelen
ecclesiastic	kerkelijk
jenever	pikketanissie
circumcise	besnijden
water dog	waterhond
Portugese waterhond	Portugese waterhond
Portugees waterhondje	Portugees waterhondje
keychain	sleutelhanger
abbess	abdis
surname	Fraenkel
massage	masseren
countable	aftelbaar
unforced	ongedwongen
confessor	biechtvader
uncountable	overaftelbaar
God willing	Deo volente
Azerbaijan	Azerbeidzjan
initiate	ingewijde
wrestle	worsteling
host	gastheer
seclusion	afzondering
demagogue	demagoog
limit point	verdichtingspunt
bijection	bijectie
surjective	surjectief
play soccer	voetballen
equivalent	gelijkwaardig
decomposition	decompositie
well-ordering	welordening
strict	strikt
Korean	Koreaans
hemisphere	hemisfeer
polyglot	polyglotte
dear	dierbaar
intransitive verb	onovergankelijk werkwoord
Spaniard	Spanjaard
northwest	noordwest
permit	vrijbrief
southwest	zuidwest
lackey	lakei
slave	slaafje
ring finger	ringvinger
order form	bestelformulier
form	formulier
elder	oudste
Ireland	Ier
Afrikaans	Zuid-Afrikaans
Australian Capital Territory	Australisch Hoofdstedelijk Territorium
Southern Australia	Zuid-Australië
cry	wenen
tear	scheuren
clause	clausule
construction	constructie
build	opbouwen
enlarge	uitvergroten
dumb-ass	stommeling
married	gehuwde
married	gehuwd
subject	onderdanig
canine	honds
whetstone	wetsteen
represent	uitbeelden
Serbia	Servië
pavilion	paviljoen
All Souls' Day	Allerzielen
Argentina	Argentijn
attraction	attractie
Aruba	Arubaan
icon	icoon
Dunkirk	Duinkerke
space age	ruimtevaarttijdperk
petted	geaaid
futuristic	futuristisch
building	bouwwerk
so	dermate
standing	overeind
tug of war	getouwtrek
restore	restaureren
since	sedert
attraction	trekpleister
touristic	toeristisch
design	vormgeving
dynamite	dynamiteren
dynamite	dynamiet
carelessness	achteloosheid
completely nothing	niemendal
Baldwin	Boudewijn
through	doorheen
perfect	perfectioneren
businessman	zakenman
train	trainen
burn	verbranden
replaceable	vervangbaar
dismountable	uitneembaar
remove	uitnemen
ink cartridge	inktpatroon
shell	huls
flee	vlieden
backside	achterkant
wind	opwinden
Cornish	Cornisch
clear	opklaren
hierarchy	hiërarchie
ibex	steenbok
Canaanite	Kanaänitisch
Canaan	Kanaän
Neolithic	neolithicum
Iron Age	ijzertijd
archaic	archaïsch
Mesopotamian	Mesopotamisch
cruise ship	cruiseschip
attendant	geleider
perpetual motion machine	perpetuum mobile
ecologist	ecoloog
painful	smartelijk
euro	ekkies
Anatolian	Anatolisch
influence	beïnvloeden
ancient	oeroud
geaxeerd op	geaxeerd op
based	geaxeerd
ancestor	voorouder
from outside	buitenaf
prehistory	voorgeschiedenis
Paleolithic	paleolithicum
figure-skate	kunstschaats
fraudster	fraudeur
commit fraud	frauderen
fraudulent	frauduleus
coralline	koralen
microscopy	microscopie
footballer	voetballer
frog	kikvors
frogman	kikvorsman
keynote	finalis
duchess	hertogin
thievery	dieverij
pointy	puntig
bring closer	aanhalen
quote	citeren
black hole	zwart gat
schoolmaster	schoolmeester
ducal	hertogelijk
adult	volwassene
mayonnaise	mayonaise
igloo	iglo
Kurdish	Koerdisch
atomic number	atoomnummer
nucleus	atoomkern
boron	borium
chromium	chroom
molybdenum	molybdeen
metric	metrisch
literary	literair
Trinity	Drievuldigheid
sponsor	sponsoren
Kurd	Koerd
procede	procederen
ogre	oger
Epirote	Epiroot
boric acid	boorzuur
condom	condoom
hagiography	martyrium
aphasia	afasie
influenza	griep
Central America	Midden-Amerika
kleptomania	kleptomanie
Kabul	Kaboel
Uzbek	Oezbeeks
organ	executieve
executive	executief
icecream vendor	ijsman
radius	spaakbeen
bare	blootje
remove	pluimen
testamentary	testamentair
paralysis	verlamming
nutmeg	nootmuskaat
castrato	castraat
castration	castratie
horseradish	mierikswortel
ape	mensaap
miner	mijnwerker
peanut	aardnoot
driveway	oprit
mining	mijnbouw
yam	yamswortel
radio	piraat
blood pudding	bloedworst
bleat	blaten
transport company	vervoerder
revelation	revelatie
matter	bijzaak
primary importance	hoofdzaak
membrane	membraan
admirable	bewonderenswaardig
adviser	adviseur
reluctance	tegenzin
alarm	alarmsignaal
archipelago	archipel
cacophony	kakofonie
anatomical	anatomisch
fear	doodsangst
boring	vervelend
fearing death	doodsbang
anthropomorphic	antropomorf
kidney stone	niersteen
crown prince	kroonprins
match	overeenstemmen
dachshund	teckel
mechanical	mechanisch
divorce	vechtscheiding
horn	toeter
theatrical scenery	schouwtoneel
metal detector	metaaldetector
cuff	manchet
southeast	zuidoost
northeast	noordoost
fire station	brandweerkazerne
sub-atomic particle	atoomdeeltje
commissioner	hoofdcommissaris
immature	broekvent
squanderer	verkwister
band	muziekkorps
chrome	verchromen
pandemic	pandemisch
virology	virologie
pandemic	pandemie
countdown	aftelling
pharmaceutical	farmaceutisch
national	nationaal
national holiday	Koninginnedag
festivity	festiviteit
garage sale	vrijmarkt
Hare Majesteit	H.M.
inauguration	inhuldiging
princess	vorstin
Her Majesty	Hare Majesteit
homage	hulde
deck	vloeren
flooring	vloerwerk
floorer	vloerder
celebration	viering
oldfashioned	eigentijds
peddle	venten
eosin	eosine
seaman	zeeman
directorate	directoraat
Middle Ages	middeleeuwer
Middle Ages	middeleeuwen
roof tile	dakpan
skunk	stinkdier
official	officieel
communist	communistisch
immune system	immuunsysteem
ten gehore brengen	ten gehore brengen
pocket money	zakgeld
archaeological	archeologisch
archaeologist	archeoloog
hypnotise	hypnotiseren
rock	batsen
mosque	minbar
exit	uitweg
myxomatosis	myxomatose
handbag	sacoche
child custody	hoederecht
battle song	strijdlied
national anthem	volkslied
demonstration	betoging
heden ten dage	heden ten dage
rhythm	ritme
motive	motief
be startled	opschrikken
flulike	griepachtig
recommend	adviseren
give way	bezwijken
offspring	nageslacht
continued existence	voortbestaan
send back	terugsturen
begetter	verwekker
tumulus	grafheuvel
blasphemy	godslastering
bar	tralie
walking stick	wandelstok
sidereal	siderisch
Faroese	Faeröers
Mammutidae	mastodont
nostalgic	nostalgisch
Aquila	Arend
oudste beroep ter wereld	oudste beroep ter wereld
Chechen	Tsjetsjeens
carnivore	carnivoor
marsupial	buideldier
maritime lobster	zeekreeft
veterinarian	dierenarts
veterinarian	veearts
family tree	stamboom
population	populatie
verzet	verzetje
virginity	maagdelijkheid
Oghuz	Oguzen
Hail Mary	weesgegroet
failed baking product	misbaksel
monotheism	monotheïsme
rooted	geworteld
connotation	connotatie
patriarchy	patriarchaat
matriarchy	matriarchaat
matriarchal	matriarchaal
pantheistic	pantheïstisch
patriarchal	patriarchaal
trailer	aanhangwagen
sandcastle	zandkasteel
caption	ondertitel
hygiene	hygiëne
excuse	excuus
return	teruggeven
persuade	overhalen
Walter	Wouter
constructed language	kunsttaal
castle	luchtkasteel
miracle cure	toverdrank
Palestinian	Palestijns
voorzitter	ondervoorzitter
plush	pluchen
velvety	pluche
fluweel	fluweel
synthesis	synthese
eider	eidereend
hymen	maagdenvlies
deflower	ontmaagden
protozoan	trilhaardiertje
dandelion	paardenbloem
coronation	kroning
meiosis	meiose
revive	herleven
Dutch Republic	Staats
paddle	peddel
inertia	inertie
parasite	parasiet
summon	ontbieden
skiing	skiër
winter sport	wintersporter
winter sport	wintersporten
winter sport	wintersport
text message	sms'en
neutral	neutraal
electromagnetism	elektromagnetisme
monotonous	eentonig
chemistry	petrochemie
tax stamp	takszegel
sealing wax	zegelwas
seal ring	zegelring
hood	capuchon
bring about	teweegbrengen
beep	biepen
parasitic	parasitair
wind instrument bagpipes	doedelzak
molecule	molecuul
cut	kerven
word list	vocabulaire
return expedition	terugtocht
composition	compositie
subordinate	ondergeschikte
subordinate	ondergeschikt
flint	vuursteen
companion	metgezel
expedition	expeditie
piper	doedelzakspeler
rechtsomkeert maken	rechtsomkeert maken
linksomkeert maken	linksomkeert maken
turn around	omkeren
midshipman	adelborst
censorship	censuur
censor	censureren
remittance	overschrijving
jealousy	jaloersheid
collar	halsband
breadwinner	kostwinner
preparatory	voorbereidend
assist	assisteren
secretary	secretaris
geological	geologisch
measles	mazelen
hypertension	hypertensie
hypotension	hypotensie
glaucoma	glaucoom
young	jongere
die jongste	jongste
golf ball	golfbal
