all	विश्व
belly	उदर
lotus	अरविन्द
mad	पागल
minister	मन्त्रिन्
accustomed	उचित
difficult	कठिन
maiden	कन्या
desirous	कमर
Hastinapur	धृतराष्ट्र
Allah	अल्लाह
arid	जङ्गल
plough	हल
gain	कार
deer	मृग
divine	दैव
house	शाल
scarce	दीन
boy	किशोर
girl	किशोरी
razor	क्षौरी
shaving	क्षौर
like	इव
melody	राग
avatar	अवतार
ram	मेष
flax	उमा
heat	घर्म
hatchet	परशु
spotted	परुष
potato	आलु
Indra	इन्द्र
king	राज
art	माया
crushing	मर्दन
कडारादि	गौर
star	तारा
filled	पूर्ण
end	साय
cycle	कालचक्र
bow	चाप
house	दम
acting	अभिनय
seven day	सप्ताह
family	कुल
honey	मधु
salutation	स्वागम
emission	सृष्टि
mental	मानस
raw	गुल
daybreak	प्रभात
uppermost	उत्तम
lotus	पद्म
step	पद
Narayana	नारायण
Hindu	गोविन्‍द
onion	पलाण्डु
happy	नाक
kissing	चुम्बन
mountain	गिरी
fear	भय
enjoying	भोजन
night	नक्ति
flow	स्रवति
spin	वयति
sister	स्वसृ
skin	चर्मन्
radiance	भर्ग
much	बहु
shine	भाति
bear	भरति
palpitate	भुरति
invigorate	बर्हयति
wake	बोधति
become	भवति
eyebrow	भ्रू
brother	भ्रातृ
bottom	बुध्न
father	पितृ
Himalayan birch	भूर्ज
give	ददाति
tame	दाम्यति
right	दक्षिण
yesterday	ह्यस्
long	दीर्घ
tongue	जिह्वा
forearm	दोस्
tear	अश्रु
woman	देवर
will	व्रत
thinking	चित्त
yoking	योग
instrument	यन्त्र
sexual intercourse	यभति
thread	सूत्र
dead	मृत
mouth	आस्य
desired	कान्त
water	वारि
offspring	जा
thought	धी
bad	दुष्यति
two	द्व
run	द्राति
द्रा	द्रायति
ten	दश
birth	जाति
burn	दहति
suck	धयति
put	दधाति
bold	धृष्णोति
daughter	दुहितृ
giver	दातृ
woman	जनि
cow	गो
Vedic	ग्ना
white	अर्जुन
breath	अन
bird	आति
hook	अङ्क
flesh	मांस
stone	अश्मन्
burn	ओषति
branch	शाखा
head	शिरस्
variegated	शर्वर
cool	शिशिर
king	राजन्
sheep	अविक
bone	अस्थि
eye	अक्षि
nave	नभ्य
metal	अयस्
day	अहर्
hurt	द्रुह्यति
gate	द्वार्
field	क्ष
jaw	हनु
know	जानाति
knee	जानु
tooth	जम्भ
goose	हंस
yellow	हरि
gold	हिरण्य
deviate	ह्वरति
winter	हेमन्त
hand	हस्त
disrespect	गञ्ज
swallow	ग्रसति
stone	ग्रावन्
terrific	घोर
heat	घृण
strike	हन्ति
arm	ईर्म
tooth	दत्
be	अस्ति
name	नामन्
set in motion	सुवति
lip	ओष्ठ
shoulder	अंस
stimulator	सवितृ
blood	असृज्
rock	दृषद्
lustre	प्रकाश
other	अन्य
bewilderment	मोह
प्रकृति	अजा
sword	असि
you	त्वम्
belonging	राजन
speech	वाच्
axle	अक्ष
fuel	एध
water	अप्
moon	युवन
shell	शङ्ख
nose	नस
raw flesh	क्रविस्
wish	लषति
water	उद्र
water	उदन्
mouse	मूष्
layer	धातु
recitation	पाठ
Devanagari	देवनागरी
town	नगर
sound	स्वर
manifesting	व्यञ्जन
short	ह्रस्व
nest	नीड
penis	पसस्
co-sister-in-law	यातृ
liver	यकृत्
wolf	वृक
carry	वहति
strength	वाज
calf	वत्स
put on	वस्ते
ram	उरण
vomit	वमति
wool	ऊर्णा
choose	वृणोति
fear	भीति
fearful	भीम
teaching	बोधन
study	पठन
heart	हृद्
skin	कृत्ति
appellation	आख्या
intimidation	भीषा
woman	नारी
wife	जाया
conquest	जय
journey	यात्रा
flowing	स्यन्दन
father-in-law	श्वशुर
woman	देवृ
scorpion	वृश्चिक
cat	बिडाली
cat	मार्जार
blow	वाति
division	विग्रह
bile	पित्त
birth	जनन
fresh butter	नवनीत
indistinct	कल
milked	दुग्ध
milk	क्षीर
nightmare	दुःस्वप्न
mist	नभस्
worm	कृमि
horn	शृङ्ग
enclosure	वाट
bee	मधुलिह्
bee	भ्रमर
serpent	सर्पिणी
bee	मक्षिक
wax	मक्षिकामल
milk	पयस्
rain	वर्षा
rain	वृष्टि
soul	अन्तरात्मन्
splendour	चेतस्
arm	भुज
musician	वादक
splendour	शोभा
head	शिर
kissing	चुम्ब
air	अनिल
wind	पवन
wind	मरुत्
wind	मारुत
heaven	द्यु
egg	अण्ड
saliva	लाला
small	अल्प
four	चतुर्
five	पञ्चन्
great	मह
large	बृहत्
prince	कुमार
child	शिशु
dog	श्वन्
skin	त्वच्
bark	वल्क
flower	पुष्प
fat	पीवस्
fat	मेदस्
pinion	पर्ण
ear	कर्ण
limping	श्रवण
garment	पट
part	अंशक
filament	अंशु
cloth	अंशुक
fibrous	अंशुमत्
lusty	अंसल
anxiety	अंहस्
youngest	अकनिष्ठ
virgin	अकन्या
shaken	अकम्प्य
agent	अकर्तृ
working	अकर्मन्
intransitive	अकर्मक
desire	अकाम
Devanagari	अकार
causeless	अकारण
improper	अकार्य
destitute	अकिञ्चन
ill fame	अकीर्ति
being	सत्
sacred text	मन्त्र
live	जीवति
disparaging	अकीर्तिकर
unbounded	अकूपार
undone	अकृत
unsuccessful	अकृतार्थ
criminal	अकृत्य
unploughed	अकृष्ट
hairless	अकेश
mother	अक्का
driven	अक्त
tinge	अक्तु
cruel	अक्रूर
untroubled	अक्लिष्ट
impatient	अक्षम
undecaying	अक्षय
day	अक्षया
impatience	अक्षमा
virgin	अक्षता
daughter	अकृता
unseasonably	अकाले
causelessly	अकारणे
causelessly	अकारणेन
causelessly	अकारणम्
causelessly	अकारणात्
unseasonably	अकालतस्
at night	अक्तोस्
at night	अक्तुभिस्
imperishableness	अक्षयता
imperishability	अक्षयत्व
undecaying	अक्षय्य
word	अक्षरा
dice	अक्षहृदय
impatience	अक्षान्ति
alkali	अक्षार
organ	अक्षन्
immovable	अक्षोभ्य
army	अक्षौहिणी
entire	अखण्ड
gap	अखिल
completely	अखिलेन
snake	अग
healthy	अगद
unfit	अगम्य
illicit intercourse	अगम्यागमन
mountain	अगस्ति
deep	अगाध
destitute	अगुण
light	अगुरु
seven	सप्तन्
man	वीर
fire	अग्निचित्
away	अप-
human	नर
child	बाला
wife	विरा
foot	अंह्रि
Kamasutra	कामसूत्र
measure	इदानि
thought	मति
night	रात्रि
cow	धेनु
army	सेना
goddess	देवी
bride	वधू
body	तनू
mother-in-law	श्वश्रू
bad	पाप
sister-in-law	ननान्दृ
man	नृ
star	स्तृ
daybreak	उसृ
grandson	नप्तृ
watchful	प्रबुध्
keen	सुदृश्
malice	अद्रुह्
Veda	वेदविद्
Vritra	वृत्रहन्
sitting	उपस्थसद्
desirous	प्रजाकाम
wife	सभार्य
lord	दम्पति
friend	सखि
Rigveda	ऋग्वेद
Atharvaveda	अथर्ववेद
know	वेत्ति
Agni	नराशंस
gravel	शर्करा
dispenser	भग
charcoal	अङ्गार
respectable	आर्य
eat	अत्ति
to	अभि
go	एति
little	अर्भ
narrow	अंहु
sword	कृपाण
drive	अजति
son	पुत्र
eggplant	वातिगगम
third person	प्रथमपुरुष
personification	मध्यमपुरुष
first person	उत्तमपुरुष
state	अपत्यता
bank	कच्छ
splendid	श्री
citadel	लङ्का
abscission	वृद्धि
rice	बहुव्रीहि
sun	मिहिर
seal	मुद्रा
night	नक्त
spotless	अमल
foot	पाद
hundred	शत
offerer	होतृ
mark	लक्ष्मी
fast	आशु
wolfishness	वृकतात्
sheep	अवि
praise	ऋच्
Varuna	वरुण
olden	पुराण
Brahma	ब्रह्मन्
stand	तिष्ठति
forehead	भाल
take	हरति
shining	गभस्ति
sit	सीदति
associated	सचते
bow	नमस्
go	गच्छति
bind	द्यति
anoint	देग्धि
transgression	आगस्
vine	द्राक्षा
sharp	अश्रि
fortress	पुर
udder	ऊधस्
udder	ऊधर्
move	चरति
shine	रोचते
orange	नारङ्ग
think	मन्यते
extend	तनोति
field	अज्र
stall	पस्त्य
wing	पक्ष
agile	अजिर
watch	पाति
drink	पिबति
cook	पचति
stalk	पलाल
rice	व्रीहि
grey	पलित
way	पथिन्
broad	पृथु
fart	पर्दते
Ficus infectoria	पर्कटी
spotted	पृषत्
heel	पार्ष्णि
fly	पतति
plaited basket	प्रश्न
lung	क्लोमन्
noxious insect	प्लुषि
foam	फेन
please	प्रीणाति
stream	पार्वती
spring	प्रवते
ask	पृच्छति
foremost	प्रथम
filling	पूर
plant	पुलक
hair	पुलस्ति
venerable	भट्ट
Brahmin	ब्राह्मण
gift	दान
snake	अहि
coverer	वृत्र
point out	दिशति
proper	ऋत
cave	वल
spindle	तर्कु
water	तोय
water	तोयज
drop	तोयकण
darkness	तमस्
thin	तनु
shine	तपति
warmth	तपस्
burning hot	तपु
through	तिरस्
pass	तरति
thirst	तृष्यति
partridge	तित्तिर
partridge	तित्तिरि
plane	तक्षति
abide	क्षेति
three	त्रि
couch	तल्प
resound	तन्यति
smoke	धूम
hare	शश
cook	श्रायति
devouring	रिशादस्
bird	शारि
shoulder	शुप्ति
hip	श्रोणि
lean	श्रयति
foot	पद्
quick	तरु
tree	द्रुम
tree	कुज
suddenly	मुहुर्
wife	वनिता
woman	महिला
Setaria italica	प्रियङ्गु
ghee	सर्पिस्
woman	अबला
woman	अङ्गना
lifted	उदात्त
not raised	अनुदात्त
sounded	स्वरित
lotus	पुण्डरीक
well	कल्य
deaf	कल्ल
reverence	यजुस्
for	हि
standing	स्थान
glossary	निघण्टु
effective	सकर्मक
work	कर्मक
act	कर्मन्
nine	नवन्
firstly	प्रथमम्
coral tree	मन्दार
slow	मन्दर
cask	कोश
song	सामन्
desire	छन्दस्
town	गोपुर
own	ईश्
arid	जाङ्गल
juice	सोम
nose	नासा
light	उषस्
Himalayas	हिमालय
rishi	ऋषि
rising	ऊर्ध्व
having	अपर
adder	पृदाकु
serpent	पृदाकुसानु
night	क्षप्
Brahma	ब्राह्म
race	जनस्
dirty	मल
young	युवन्
descendant	नपात्
thinking	मनु
moon	मास
river	सिन्धु
Ganges	गङ्गा
back	पृष्ठ
Saraswati	सरस्वती
dark	राम
Shiva	शिव
buzz	गुञ्जति
raised	उद्गूर्ण
devadasi	देवदासी
राशिचक्र	राशिचक्र
crab	कर्कट
growth	ऋद्धि
evidently	प्रकटम्
death	मृत्यु
cover	परिवार
spirit	असुर
red	लोह
rain	पर्जन्य
Sri Lanka	सिंहल
Vaishya	वैश्य
once	सकृत्
going	सर्म
plant	लाक्षा
thousand	सहस्र
wood	द्रु
newly risen	नवोदय
newly risen	नवोदित
nape	ग्रीवा
lead	विवाह
impulse	हेतु
brilliant	सुवर्ण
going up	उदय
jewel	मणि
particle	बिन्दु
distribution	विहार
prince	राजकुमार
ruler	अधिप
epilepsy	अपस्मार
body	तनूज
slender	तन्वी
thread	तन्तु
tin	नाग
hooded	फणिन्
Rahu	राहु
lamp	केतु
numeral	सांख्य
heat	बालातप
heat	तप
Kamadeva	शरण
Kamadeva	कामदेव
distribution	भक्ति
Buddhism	सिद्धार्थ
site	वास्तु
excellent	वसु
telling	अभिधान
furthering	साधन
help	साहाय्य
magic	साधकत्व
community	साधर्म्य
straight	साधु
tavern	गञ्जा
support	साधार
common	साधारण
conquerable	साध्य
borne	सहित
counteracting	विपक्ष
cowherd	गोपाल
flute	मुरली
width	प्रथस्
dog	शुनक
pig	सूकर
procuring	आहार
forcible	समर्थ
showing	प्रदेश
elevated	ऋष्व
going	संसार
widow	विधवा
curve	अङ्कस्
thief	तायु
skepticism	अनेकान्तवाद
bodhisattva	बोधिसत्त्व
finger	अङ्गुरि
finger	अङ्गुलि
bearing	हर
clearness	प्रसाद
hermitage	आश्रम
paired	मिथुन
dying	मरण
bull	वृषभ
jackal	सृगाल
jackal	शृगाल
jackal	शृकाल
thinking	चिन्तन
horse	घोटक
minute	चूर्ण
merchant	वाणिज
merchant	बणिज्
cry	क्रोश
edge	प्रान्त
mouth	मुख
bearer	धरित्री
bark	छल्ली
ball	गोल
assembly	सभा
who	कतर
flesh	क्रव्य
lute	तन्त्री
key	कुञ्चिका
earth	भूमि
wilderness	मरु
obedient wife	वशगा
heroism	शौर्य
empty	तुच्छ
mounted	स्वश्व
cessation	उपरम
desire	उदन्या
within	अन्तर्
bird	विहग
berry	पिप्पलि
regular	ऋतावन्
rishi	ऋषित्व
house	आलय
birch tree	भूर्जपत्त्र
powder	मषि
flashing	विद्युत्
verse	गाथा
song	गाथ
fall	अपभ्रंश
conjunction	संहिता
priest	उद्गातृ
priest	अध्वर्यु
remembrance	स्मृति
rat	मूषक
mole	आखु
mouse	गिरिका
bamboo	वेणु
sweat	स्वेद
sweat	स्वेदते
shakti	कुण्डलिनी
circular	मण्डल
purified	पवमान
him	सीम्
take	लभते
so	एवम्
omnipresent	वैश्वानर
brush	तूलि
senselessness	अचित्ति
bard	वैबोधिक
inattention	विबोध
tongue	जुहू
gaining	साति
twenty	विंशति
thirty	त्रिंशत्
forty	चत्वारिंशत्
fifty	पञ्चाशत्
man	वृष
meeting	समर
pole	ईषा
shining	रोच
light	रुचि
openly	आविस्
hold	धरति
young	कनीन
broom	स्वपू
red	रुधिर
villain	दुर्जन
pool	तटाक
conjecture	तर्क
reasoning	तर्का
living	जीवित
dislike	जुगुप्सु
pleased	जुष्ट
seeing	दृष्टि
brilliant	वसन्त
faith	श्रद्दधाति
owl	घूक
soft	मृदु
island	द्वीप
merchant	वणिज्
much	पुरु
near	अन्त
spike	भृष्टि
emancipation	जीवन्मुक्ति
mouth congress	औपरिष्टक
buttocks	जघन
benevolent	सुम्न
splendour	द्युम्न
tooth	दन्त
coffee	काफी
sex	मैथुन
red	रक्त
Wikipedia	विकिपीडिया
beautiful	सुन्दर
shastra	शास्त्र
stone	शिला
sun	रवि
disease	रोग
relating	श्वान
throat	कण्ठ
candrabindu	चन्द्रबिन्दु
anusvara	अनुस्वार
conquest	संजय
prostitute	वेश्या
writing	लिपि
park	उद्यान
black colour	काली
skull	कपाल
shame	लज्जा
way	मार्ग
division	वर्ग
series	वर्णमाला
same	सम
doing	करण
dirty	अशुभ
limb	चतुरङ्ग
Milky Way galaxy	आकाशगङ्गा
bodhi	बोधि
tiger	व्याघ्र
Vishnu	विष्णु
separation	व्याकरण
call	गृणाति
queen	राज्ञी
ruler	देवराज
fortress	पुरी
black	श्याम
environing	वर
who	यद्
mare	अश्वा
cup	कर्पर
streak	राजि
heap	राशि
star	नक्षत्र
beautiful	शोभित
effort	श्रमण
fatigue	श्रम
Sanskrit	देवभाषा
king	मलिक
relating	उदाहरण
derived	ऐतिहासिक
facing	प्रमुख
event	घटना
sonorous	शाब्दिक
order	शासन
based	लैङ्गिक
relating	शारीरिक
secret	रहस्य
poem	कविता
butterfly	तित्तरी
brinjal	भण्टाकी
brinjal	भण्डाकी
China	चीन
realm	राष्ट्र
protecting	रक्षा
stumbling	स्खलन
stupid	जल
belonging	प्राथमिक
injury	हिंसा
chief	विश्पति
mortal spot	मर्मन्
tropical reed	नड
pillar	मेथि
praise	शस्ति
darkness	रजस्
sentence	उक्ति
uttered	उक्त
fight	मृध
communication	संदेश
beautiful appearance	कृप्
hate	द्वेष्टि
sacrificial grass	बर्हिस्
sound	भनति
deserving	अर्हत्
silently	तूष्णीम्
sacred drum	डमरु
hard	वज्र
Saraswati	वेदी
rule	सुरति
gift	रत्न
end	कोटि
worship	यज्ञ
Yajurveda	यजुर्वेद
company	सत्संग
poet	कालिदास
rounded	वृत्त
strip off	अपोहति
hilarity	मद
screw pine	केतक
spit	ष्ठीवति
guide	नायक
envy	ईर्ष्या
international	अन्ताराष्ट्रिय
turn	वर्तते
autumnal	शारद
rock	अद्रि
stronghold	पुर्
color	वर्ण
desire	गविष्टि
watery	आप्त्य
smile	स्मयते
householder	गृहपति
rakshasa	रक्षोहन्
drop	इन्दु
faith	श्रद्धा
mind	मन्यु
creator	धातृ
father	प्रजापति
uncovered	अगोह्य
cow	अघ्न्या
herb	ओषधि
god	सुर
demon	दास
impious	दस्यु
silk-cotton tree	शल्मलि
bountiful	पुरंधि
eloquent	सूक्त
non-existent	असत्
crossing over	पारग
snowy	हिमवत्
barley	यव
pippala	अश्वत्थ
banyan	न्यग्रोध
berry	पिप्पल
man-eating	पुरुषाद्
boar	वराह
great	महिष
ape	कपि
monkey	वानर
curve	क्रुञ्च्
ruddy shelduck	चक्रवाक
peahen	मयूरी
parrot	शुक
vulgar	अनार्य
village	ग्राम
obligation	ऋण
distiller	सुराकार
propelling	अरित्र
gold	निष्क
सभा	सभास्थाणु
gambler	कितव
cunning	धूर्त
kettledrum	दुन्दुभि
sound	वाण
lecture	प्रपाठक
ten	दशत्
moisture	रसा
child	बालक
righteous	धार्मिक
undying	अमर
section	काण्ड
lesson	अध्याय
desert	खिल
owning	ईशान
god	महादव
priest	ब्रह्म
Atharvan	आथर्वण
Atharvangirases	अथर्वाङ्गिरस
curative	भेषज
बह्वृच्	बह्वृच
soma	सवन
disposing	विधान
appointed	पुरोहित
Atharvaveda	ब्रह्मवेद
Brahman	ब्रह्मविद्या
praise	अर्थवाद
esoteric	उपनिषद्
therefore	उप
down	नि
sit down	सद्
soma	अग्निष्टोम
fire	नाचिकेत
middlemost	मध्यम
awakened	प्रतिबुद्ध
breath	आत्मन्
deceptive	मायिन्
soul	अन्तर्यामिन्
outcast	चण्डाल
wisdom	प्रज्ञा
saying	उक्थ
Samaveda	उद्गीथ
soul	जीवात्मन्
lingam	शिवलिङ्ग
world	भूमन्
utterance	व्याहृति
earth	भूर्
air	भुवस्
pregnancy	गर्भधारण
appendix	खिलकाण्ड
Shiva	मुण्ड
sham	अजाति
false	वैतथ्य
foot	चरण
canopy	वैतान
worshipping	यजमान
sacrifice	हविस्
full moon	दर्शपूर्णमास
boiler	उखा
domestic	आवसथ्य
nuptial	वैवाहिक
sacrifice	पाकयज्ञ
birth ceremony	जातकर्मन्
nominal suffix	नामकरण
happy	शर्मन्
armor	वर्मन्
guarded	गुप्त
ablution	स्नातक
leading	परिणय
recitation	ब्रह्मयज्ञ
sacrifice	देवयज्ञ
satisfying	तर्पण
oblation	पितृयज्ञ
offering	बलि
offering	भूतयज्ञ
hospitality	मनुष्ययज्ञ
oblation	पुरोडाश
full moon	पार्वण
heap	पिण्ड
tree	पटल
verb	आख्यात
descent	निपात
manly	वृषन्
speaking	वचन
separation	विभक्ति
welfare	तद्धित
repeating	अनुवाक
opposite	प्रतीक
Mādhava	माधवीय
communication	आख्यान
joint	पर्वन्
account	उपाख्यान
table of contents	अनुक्रमणिका
Mahabharata	आदिपर्वन्
Mahabharata	पर्वसंग्रह
Mahabharata	गदापर्वन्
India	भारतवर्ष
sugar	गौड
Vidarbha	वैदर्भ
bard	कुशीलव
Ramayana	आदिकाव्य
rishis	आर्ष
figurative	रूपक
Raghuvamsa	महाकाव्य
glory	प्रशस्ति
Jacobin Cuckoo	चातक
golden shower tree	कर्णिकार
cowherd	गोविन्द
actor	नट
acting	नाटक
dance	नृत्यति
disgraceful	विदूषक
joy	नान्दी
entering	प्रवेशक
prop	विष्कम्भ
laughter	प्रहसन
music hall	संगीतशाला
decoration	नेपथ्य
leading	नीति
perpendicular	लम्बक
unseen	अदृष्ट
radius	त्रिज्या
subject	प्रजा
nature	प्रकृति
-ize	कृ
termination	विराम
against	विरुद्ध
ignorance	अविद्या
chief	प्रधान
pleasing	रमण
lover	रम
anger	क्रोध
adopted	दत्तक
lofty seat	प्रासाद
dog	कुक्कुर
speaking	वाद
thirst	तृष्णा
mirage	मृगतृष्णा
mendicant	भिक्षु
greatest	महत्तम
vehicle	वाहन
carry	वह्
soil	मृदा
commerce	वाणिज्य
before	पूर्व
joining	सन्धि
then	तदा
when	यदा
slowly	शनैस्
what	किम्
doer	कर
famous	प्रसिद्ध
proven	सिद्ध
problem	समस्या
abduction	हरण
particle	कण
wood	काष्ठ
probably	कदाचित्
green	हरित्
female donkey	रासभी
donkey	रसभ
see	दृश्
philosophy	दर्शन
digit	षड्
digit	द्वि
Venna River	परा
west	अपरा
extraordinary	विशेष
hated	घृणित
eclipse	ग्रहण
attack	प्रहार
defeat	पराजय
victory	विजय
step	क्रम
bottom	आधार
undertaking	धारण
drinking	पान
luck	भाग्य
supplementary	पूरक
complementary	सम्पूरक
accessible	सुगम
family	परिजन
around	परि
toiling	कर्षण
rare	दुर्लभ
poor	निर्धन
conjunction	समवाय
eastern	प्राच्य
screen	यवनिका
sun	हेलि
Jupiter	ज्यौ
month	अहर्गण
high	उच्च
give birth	जनति
draw	कर्षति
settlement	विश्
confidence	विश्वास
careful	सावधान
fear	भी
injury	क्षति
sunyata	शून्यता
seat	पीठ
member	क्षत्रिय
candrabindu nasal vowel diacritic	ँ
doubt	शङ्क
shadow	छाया
guest	अतिथि
seventh	सप्तम
sixth	षष्ठ
manner	यथा
healthy	आरोग्य
drunk	उन्मत्त
blue lotus	पुष्कर
brother	भ्रात्र
student	शिष्य
remember	स्मरति
exceedingly	अतीव
limb	अङ्ग
here	अत्र
this	अयम्
failure	असिद्धि
aha	अहो
steal	चुर्
stretch	तन्
push	तुद्
equanimity	समत्व
sharp	तेजस्
distance	दूरम्
great	महत्
tortoise	कच्छप
great soul	महात्मन्
distributed	भक्त
mosque	मस्जिद
excrement	लण्ड
enjoyment	संभोग
penis	नीचामेढ्र
erect penis	ऊर्ध्वलिङ्ग
house	मन्दिरम्
respectful greetings	नमस्कार
been	भूत
blanket	कम्बल
bracelet	अंगद
meeting with	लाभ
vivifying	जीवन
rob	लुण्ट्
Hanuman	हनुमान्
prayer	प्रार्थना
tipsy	प्रमत्त
intoxicated	मत्त
alcohol	मद्यसार
spirituous liquor	मदिरा
intoxicating	मद्य
happy	प्रसन्न
sad	खिन्न
ceremony	उत्सव
festival	महोत्सव
dexterity	कौशल
eye	नेत्र
eye	नयन
building	भवन
moonlight	चन्द्रिका
bright	चित्र
sunshine	आतप
always	सदा
always	सदैव
discharged	मुक्त
free	स्वतन्त्र
present	सदस्य
elementary	प्रारम्भिक
beginning	प्रारम्भ
steadfast	दृढ
wealth	धनिक
anger	कोप
irritated	कुपित
human	मानव
zero	शून्य
flower	पुल्ल
flower	फुल्ल
tender	कोमल
outstretched	सरल
dagger	छुरी
crushing	मर्द
floor	भूतल
birth	जान
hurt	आहत
mercy	कृपया
colour	रङ्ग
healthy	स्वस्थ
cub	पोत
pleasing	रोचक
atheistical	नास्तिक
