all	विश्व
vowel	अ
go	इ
ow	ओ
who	क
going	ग
at least	घ
and	च
speed	ज
no	न
lotus	कमल
equality	साम्य
awake	बुद्ध
one	१
tree	वृक्ष
locust	शलभ
grass	तृण
love	स्निह्
spider	तंतुवाय
seat	आसन
I	अहम्
constructed	संस्कृत
speak	वद्
water	समुद्र
speak	वच्
board	पलक
surf	तरंग
beach	तीर
om	ॐ
Hindi	हिन्दी
tree	वन
conjunction	संधि
elephant	गज
count	गण्
if	यदि
like	तुष्
house	गृह
then	तर्हि
fire	सह
cloud	मेघ
sky	आकाश
foolish	मूर्ख
fold	वली
sweet	मधुर
find	विन्द्
bard	स्वस्तिक
violent agitation	त्विष्
dictionary	शब्दकोश
set	मुक्ति
son	सूनु
interpretation	अनुवाद
predilection	अनुराग
beginning	आद
godhead	देवता
husband	ईश्वर
Karnataka	कर्णाटक
fruit	फल
thing	वस्तु
Bhāratas	भारत
one	एक
different	अनन्य
several plant	काला
black	कृष्ण
white	श्वेत
mother	मातृ
easy conquest	सुजित
Agni	अग्नि
pigeon	कपोत
Gujarati	गुजराती
rich	रयि
mirror	दर्पण
hatred	घृणा
planet	ग्रह
copper	ताम्र
speech	भाषा
Ganesha	गणेश
leader	गणपति
grow	रुह्
seed	बीज
base	अस्मद्
base	युष्मद्
whole	सर्व
point	देश
king	नृप
generating	जन
insult	निन्दति
fish	मत्स्य
chew	खादति
desire	इच्छति
it	तद्
wash	क्षालयति
endowed	काव्य
horse	अश्व
country	नेपाल
sensual pleasure	आराम
old age	जरा
death	अभाव
without	विना
beloved	प्रिय
breath	प्राण
pure	पावक
eternal	नित्य
anyone	कश्चित्
wealthy	आढ्य
beginning	आदि
nonviolence	अहिंसा
immortal	अमृत
knowing	ज्ञान
Ganges	जाह्नवी
joy	हर्ष
elephant	हस्तिन्
door	द्वार
hatred	द्वेष
sympathy	दया
body	देह
holy	ब्राह्मि
intelligence	बुद्धि
essence	सत्त्व
running swiftly	सुख
sun	सूर्य
ignorant	तामस
first	आद्य
unrighteousness	अधर्म
fearlessness	अभय
cloud	अभ्र
one	अनेक
detached	अभक्त
held	धृत
fault	दोष
made	कार्य
land	क्षेत्र
magnanimity	माहात्म्य
unselfish	निर्मम
enmity	निर्वैर
restraining	नियम
shame	ह्री
joining	समाधि
meditation	ध्यान
pranayama	प्राणायाम
Brahmacharya	ब्रह्मचर्य
tying	ग्रन्थ
Gandharan	पाणिनि
heavenly	देव
grammar	अष्टाध्यायी
learned	पण्डित
sorrow	दुःख
effort	प्रयत्न
purification	संस्कार
oiliness	स्नेह
weight	गुरुत्व
remoteness	परत्व
proximity	अपरत्व
fluidity	द्रवत्व
disjunction	विभाग
conjunction	संयोग
severalty	पृथक्त्व
dimension	परिमाण
tangibility	स्पर्श
appearance	रूप
sound	शब्द
consonant	य
Monday	सोमवार
close	अपि
hello	नमस्ते
messenger	दूत
abode	आवास
द्वि	२
त्रि	३
चतुर	४
5	५
षष्	६
dual	अद्वैत
globe	भूगोल
raw	आम
welfare	सौभाग्य
Islam	इस्लाम
urine	मूत्र
key	ताली
balance	तुला
navel	नाभि
letter ड	डकार
light	दीपिका
northern	सौम्य
man	पुरुष
woman	स्त्री
cattle	पशु
gold	खनिज
human	मनुष्य
brain	मस्तिष्क
body	शरीर
offspring	तन
wish	इच्छा
true	सत्य
false	असत्य
consciousness	चेतना
mother	माता
husband	पति
wife	पत्नी
association	साहित्य
food	खाद्य
Asia	एशिया
Europe	यूरोप
water	नदी
mountain	पर्वत
legend	इतिहास
yoke	युग
mathematics	गणित
moving	खेल
gained	सात
distinguishing	विशेषण
morality	धर्म
stick	दण्ड
rich	वैज्ञानिक
Veda	आचार्य
wise man	कवि
doctor	चिकित्सक
astronomer	ज्योतिष
battle	युद्ध
small	कला
sung	संगीत
atom	परमाणु
going	गति
speed	वेग
together	समय
vigor	ऊर्जा
science	विज्ञान
worm	कीट
creeping	सर्प
Earth	पृथ्वी
Mercury	बुध
bright	शुक्र
heavy	गुरु
Saturn	शनि
world	ब्रह्माण्ड
ant	हीरा
cold	हिम
writing	लेखन
guard	पाल
wheel	चक्र
horripilation	पुल
cyclone	चक्रवात
strong	बाढ
lion	सिंह
विष्णु	गरुड
atom	अणु
vulture	दूरदर्शन
telephone	दूरभाष
computer	संगणक
flock	गण
heart	हृदय
womb	योनि
phallus	शिश्न
breast	स्तन
head	मस्तक
share	अंश
distant	दूर
spacious	विशाल
quick	शीघ्र
wish	काम
unseasonable	अकाल
doing	क्रिया
odour	गन्ध
interior	अन्तर
conduct	आचार
authority	अधिकार
अधिकारिन्	अधिकारी
orphan	अनाथ
aim	अर्थ
regard	आदर
happiness	आनन्द
man	आयु
necessity	आवश्यकता
necessary	आवश्यक
additional	अधिक
beginning	आरम्भ
envy	ईर्षा
upper	उत्तर
thief	चोर
serious	गम्भीर
womb	गर्भ
song	गीत
summer	ग्रीष्म
song	गान
cow	गोद
food	घास
forehead	ललाट
hair	केश
boy	बाल
protuberant ornament	पुस्तक
friend	मित्र
evil	कष्ट
sleep	स्वप्न
apathy	उदास
daughter	पुत्री
strength	शक्ति
lassitude	खेद
point	ऋतु
mind	मनस्
Krishna	जगन्नाथ
wind	जगत्
refuge	नाथ
glittering	चन्द्र
juice	मेध
immortal	अमृता
rain	वर्ष
horse sacrifice	अश्वमेध
order	आज्ञा
ignorance	अज्ञान
