father	tata
rifle	maleta
die	mucú
sand	saté
seed	tari
ant	sucuí
rifle	karabina
burn	rajá
pozole	basoli
excrement	witá
almude	arimuri
honey	kolimena
maize	ichí
bone	ochí
skunk	pasochi
frog	rikuuri
heaven	riwigachi
fish	rochí
bobcat	ruchí
duck	wasoná
money	winomí
mosquito	wajó
liver	imá
deer	chumalí
goat	chibá
ground squirrel	chiká
lick	chaꞌmí
tongue	chaꞌmélowa
bow	katá
pinecone	kawíchali
neck	kutá
