moon	bulan
cooked rice	bari
big	hai
live	belum
child	anak
night	alem
big	basar
iron	wasi
you	ketun
roasted	panggang
house	huma
plant	taluh belum
navel	puser
eat	kuman
paddy	parei
I	yakuʔ
measure	ukur
plain	padang
sulfur	barirang
fire	apui
smoke	asep
water	danum
go	tulak
they	ewen
shrimp	undang
come	dumah
day	andau
who	eweh
what	narai
you	ikau
drink	ihup
good	bahalap
coconut	enyuh
person	uluh
pig	bawui
village	lewu
floor	laseh
full	besuh
stairs	hejan
