the	in
coin	tomin
piglet	lechon
quiote	mequiyotl
football	neicxitapayolhuiliztli
mombin	mazaxocotl
now	axcan
vainilla	tlilxochitl
bear	tlacamayeh
make	chihua
now	axan
ten	mahtlahtli
fontanelle	cuatl
reed	akatl
orange	lalax
pumpkin	ayojtl
prickly pear	nojpal
soap	xapo
coyote	koyotl
deer	masatl
bat	tzinacantli
pot	xoctli
salt	istatl
coati	pezohtli
crow	kakalotl
bison	cuacuauhxolotl
peach	xokotl
man	tlakatl
irrigate	toxtli
star	sitlali
avocado	auakatl
mouse	kimichi
banana	kuaxilotl
onion	xonakatl
papaya	ochonetli
cow	kuakuajye
cock	caxtil
cat	miston
cave	ostotl
spider	tokatl
armadillo	ayotochi
broom	popotl
corncob	cintli
turkey hen	totoli
honey	nectli
wildcat	zacamiztli
airplane	tepoztototl
toy	ahahuilli
sick	cocoxquetl
cockroach	xopili
drink water	atli
neck	cocotl
orange tree	lalaxcuahuitl
soda	tzopelatl
bed	tlapechtli
enter	calaqui
sapote	tzapotl
old	zozoltic
sandal	tecactli
wall	tepamitl
bean tamale	etamalli
mandarin orange	otonlalax
nine	chicnahui
red	chichiltic
green	xoxohuic
yellow	coztic
wire	tepozmecatl
sheep	ichkatl
jabiru	acacalotl
papaya	chichihualtzapotl
green	xoxoctic
orange juice	lalaxatl
loincloth	maxtlatl
owl	tekolotl
maize	tlaolli
snake	koatl
mamey	tetzontzapotl
yellow	atzapotl
tamandua	azcacoyotl
bull	cincoatl
pig	pitsotl
leg	metstli
airplane	tepostototl
train	teposkoatl
ant	askatl
heron	astatl
toad	tamasoli
jaguar	oselotl
eagle	kuajtli
white	istak
canoe	akali
vessel	teposakali
water hen	atototl
sky	iluikatl
party	iluitl
raccoon	mapach
mayate	mayatl
acamaya	acamayatl
shrimp	achacalin
blue crab	atecuicihtli
leave	cahua
fog	ayahuitl
snow	cepayahui
remember	ilnamiqui
slide	alahua
Otomi	otontlahtolli
pork	pitzonacatl
palm tree	soyatl
bamboo	otlatl
train	tepozcoatl
tequesquite	tequixquitl
drone	tepozmoyotl
pine	okotl
grass	sakatl
quetzal	ketsaltototl
flamingo	quecholtototl
orange	chilcoztic
red	chichiltik
yellow	kostik
hail	texihuitl
horse	mazanehnenqui
white sapote	cochitzapotl
eye	ixtelolo
volcano rabbit	zacatochin
zanate	tzanatl
foot	xotl
table	ahcopechtli
kinship	mecayotl
zapote	tsapotl
sugar cane	ouatl
meat	nakatl
guava	chalxokotl
horse	cahuayoh
people	tlaxcaltecatl
hail	tesiuitl
water	atzintli
dog	itzkuintli
fontanella	kuaitl
ocelot	tlalocelotl
chihuahua	techichi
Atlixco	Atlixco
rattle	ayacachtli
locust	acachatl
arrive	ahzi
oak	ahuazotl
wave	acueyotl
pronghorn	teotlalmazatl
quail	zolnacatl
snake	coanacatl
quesadilla	tlaxcalpacholli
pericon	yauhtli
sahuaro	teonochtli
coyo	pahuatl
nose	yacahtli
fungus	chahuiztli
incense	copalli
sacred fir	acxoyatl
citizen	altepetlacatl
acazanate	acatzanatl
guava	chalxocotl
white fish	amilotl
roe	amilotetl
fresh water	acecec
avocado	ahuacatli
sand	challi
song	kuikatl
rope	mekatl
weasel	cozamatl
paca	tepeitzcuintli
tayra	tepechichi
cruelty	ahtlacayotl
dog	itskuintl
liquid	atic
bug	okuili
fox	oztoatl
quexquemetl	quechquemitl
rebozo	payotl
channel	apantli
vegetable	kilitl
cow	cuacuahueh
door	caltentli
maize	tlayolli
tassel	miahuatl
subway	tepozocuilin
ship	tepozacalli
bilberry cactus	cuauhnohpalli
nandu	tlacatototl
grittiness	oceloyotl
throat	acocotl
flag	pamitl
tortilla	tlaxkal
dragonfly	zayolatl
rice	acintli
story	zazanilli
corn	zintli
rice	azintli
huepiltin	huepilli
donkey	tlamemejk
chicken	piotl
chicken	pionacatl
Tlaxcaltecan	tlaxkaltekatl
water spring	ameyal
chilaquiles	chilaquilitl
enchiladas	tlaxcalchilatl
Huasteca	Cuextecapan
knee	tlancuaitl
sing	kuika
tiger	tekuani
llama	ichcanehnenqui
ravine	atlahtli
ravine	atlauhtli
steam	pohtli
anthill	azcapuzalli
grasshopper	chapulin
piglet	pilpitzotl
mandarin orange	otonlalaxtli
Mexican pincushion	chilxocotl
hail	tezihuitl
brocket	temazatl
