piglet	barak
where	had
guitar	gitara
hand	kamat
sleeping mat	abak
thunder	dalak
man	lalaki
water	danum
no	awaan
woman	babbay
mosquito	ilak
headache	babad
blind	bulding
hoof	ilaw
jaw	arangaat
pregnant	busit
blind	bulsak
beeswax	kalbid
fawn	kihaw
cloud	kulam
market	dapan
banana	dupat
dragonfly	fofoy
skin	gadang
sand	ginat
fence	gibaw
nose	igung
dried mucus	hagang
owl	huhugkaw
