hand	lima
adjective	adjetivo
nine	siyam
three	tallu
eye	mata
crab	agama
fish	sira
fire	afi
pestle	alu
seven	pitu
eight	walu
lightning	kilat
sky	langit
woman	babay
house	balay
word	kagi
dog	kitu
six	annam
walk	lakad
place	gian
hear	ginna
calamondin	kalamansi
ear	talinga
pig	babuy
two	duwa
four	appat
water	danum
load	lugan
big	dakal
wrestle	gabbu
nose	igung
black	ngisit
river	bannag
one	tadday
cloud	kunam
fish	manango'
armpit	kilikili
asleep	turug
wipe	funat
name	ngagan
ant	taggam
ten	mafulu
sleep	katurug
hundred	magatut
thousand	maribu
buy	gatang
