mother	nu
sky	van
house	in
O	o
bean	be
person	mi
disease	hi
disengage	om
crab	ai
arm	ban
curry	me
bug	met
thigh	mal
maggot	then
thatch	bi
thing	ven
ear	bil
sibling	u
fowl	ah
tooth	ha
hard	ta
see	mu
four	li
lip	ne
blood	si
head	lu
maternal uncle	pu
kick	pe
breast	noi
we	ei
wall	bang
cotton	pat
eye	mit
drink	don
hear	ja
wheel	ken
bind	bom
chest	op
ten	som
basket	lo
thin	gong
and	le
crocodile	ule
door	kot
easy	awl
bird	va
agent noun	e-
cow	bong
belly	oi
clever	pil
bet	bah
run	tai
buffalo	loi
snake	gul
urine	jun
cat	meu
war	gal
dog	ui
open	hong
bell	dah
hair	sem
blind	mitto
star	asi
hen	a
steam	hu
quail	vala
bird	vasa
blunt	bawl
elbow	kiu
say	gen
hope	asa
he	ema
spouse	ji
monkey	jong
publish	tet
south	sim
shoot	kap
paint	toka
go	pai
corner	kil
bone	gu
colour	reng
fire	mei
ship	tembo
go	pei
blood	sien
bamboo	gua
breeze	vot
I	kei
nine	kuo
claw	ching
basket	pota
enter	lut
water	tui
increase	kal
mouth	kem
down	zan
rain	guo
thin	pan
grave	hanmun
road	lempi
pigeon	leng
you	neng
lily	pah
shield	pho
eater	ene
north	mellem
necklace	khi
good	epha
leather	savun
exist	awm
dig	teu
we	keu
god	pesem
launch	vik
belly	gil
pork	voksa
his	epa
end	beita
room	pinden
saliva	chil
chilly	melta
climber	ekel
face	maie
grass	hampa
seven	segi
skin	vun
chicken	ahsa
embrace	pem
pig	vok
bitter	khe
pork	boksa
bow	thel
thread	vao
shirt	pona
needle	phim
surroundings	ikim
request	ngan
one	khet
three	thum
borrow	khel
kill	thet
ash	evam
star	ahsi
six	guk
pet	insa
swelling	pamme
pot	ponsil
nausea	dipkua
morsel	jingekal
penis	jeng
tiger	kamkei
hurry	manleng
dumb	hamtheileu
surname	phung
kingfisher	teukoh
brood	awp
between	ebane
knee	khup
bull	bongtel
horse	sekol
toad	upho
bed	lupha
fermented	ngathu
killer	mithet
cap	lukhu
mole	chibon
idle	theda
digest	engai
fast	anngol
Thursday	ningani
warrior	galmi
mature	piching
tomorrow	jingcheng
light	ejan
smooth	jutjol
charcoal	meihol
orchard	theihon
care	pilvang
rope	khao
we	eigel
peacock	beteu
calf	bongneu
bad	hoileu
milk	bongnoi
grasshopper	chouphe
egg	atui
cook	huwan
brain	huwot
Monday	seppetni
furnace	tepkhu
finish	topsa
idle	ngapleu
tail	vokmai
bed	lupna
thumb	khutpi
palm	khutphang
butterfly	mittha
bar	kotbeng
hundred	jatkhat
send	thotsa
nail	khuching
eyelid	mitmul
sow	vokpi
kite	lekhleng
dagger	temtahneu
mustard oil	ekamtheu
tablet	demdoteng
half	kimkhit
honest	lungsimhoi
mustard seed	enkemmu
mustard seed	enkemnu
fifty	somnga
orange	komla
black	semvom
cruel	lungsimsia
comb	semchi
shameful	jumhoime
roof	intung
roof	intuseng
life	hinkhu
insect	ganhing
feast	enjelui
courtyard	inmai
Saturday	kiginni
early	menlang
come	huengpeio
fast	enngol
looking-glass	linlem
mad	tungvai
room	insung
combine	punthom
foam	engphuan
wheat	mangbu
we	seitengthum
lizard	thengkip
weak	jongkhal
clan	phunggui
surname	phungmin
what	bengnge
banyan	bungsing
become	ehunghi
stomach	gilpi
guava	kolthei
appetite	gilkiya
turban	delkop
pomegranate	kolbuthei
hip	gilja
danger	lauhuwai
courage	leukai
cockroach	kheula
grasshopper	khouphe
play	kimol
banana leaf	natengna
regularly	jeneitain
thirty	somthum
thirty-one	somthumlekhat
seventy	somsegi
seventy-two	somsegileli
thirty-seven	somthumlesegi
seventy-seven	somsegilesegi
pair	ekop
common cold	hitang
distance	gemla
first	khetna
sixth	gukna
swell	bawu
cloth	puon
shooter	ekap
beef	bongsa
hen	ahpi
butterfly	pengpelek
swan	kangva
swan	kangvasa
sparrow	inva
