くるま	車
つぃきぃ	月
red	あか
あか	赤
cat	猫
ぴぃとぅ	人
のー	何
つぃくるん	作
ばるん	割
まさるん	勝
ふつぃ	口
たたぐん	叩
なー	名
しぃば	唇
ゆしぃるん	寄
mountain	山
しぃま	島
てぃー	手
うすん	押
しぃてぃるん	捨
新ーさん	新
あかりぃ	明
あん	有
ゆだ	枝
うた	歌
むぬ	物
しぃぐ	直
いしぃ	石
しぃたー	舌
ふに	船
ぱな	花
ぱー	葉
ぱなしぃ	話
うきん	起
くみん	込
うとぅ	音
head	頭
ほーん	食
ぱな	鼻
Okinawa	沖縄
Japan	大和
we	ばい
be	あん
song	うた
cat	まゆ
car	くるま
sun	天道
cat	まやー
boat	ふに
head	つぶり
head	つぃぶる
head	つぃぶるぃ
language	物言
reflexive	どぅー
cockroach	小虫
cockroach	くむす
Miyako	宮古
Japan	やまとぅ
speak	話すん
salt	真塩
Okinawa	与那国
Miyako	めーくむに
Miyako	宮古物言
Okinawa	うきぃなー
沖縄	沖縄物言
Okinawan	うきぃなーむに
Okinawa	八重山
八重山	八重山物言
Yaeyama	やいまむに
与那国	与那国物言
Yonaguni	ゆのーんむに
大和	大和物言
Japanese	やまとぅむに
community	しぃま
conversation	ぱなしぃ
mouth	ふつぃ
what	のー
wake up	起きるん
wake up	うきるん
wake up	うきん
wake up	起きん
light	あかりぃ
light	明かりぃ
language	むに
Miyako	めーく
I	我ぬ
I	ばぬ
person	ぴぃとぅ
tongue	しぃたー
stone	いしぃ
abandon	しぃてぃるん
abandon	捨てぃるん
flower	ぱな
eat	ほーん
eat	食ーん
break	ばるん
break	割るん
push	押すん
push	うすん
excel	勝るん
excel	まさるん
speak	ぱなすん
approach	寄しぃるん
approach	ゆしぃるん
decrease	ぴなるん
Yaeyama	やいま
garden	みなか
branch	ゆだ
leaf	ぱー
thing	むぬ
be	有ん
new	新ーさん
new	みぃーさん
moon	つぃきぃ
sound	うとぅ
hand	てぃー
name	なー
hit	叩ぐん
hit	たたぐん
immediately	直ぐ
immediately	しぃぐ
make	作るん
make	つぃくるん
include	込みん
include	くみん
older brother	しじゃ
lip	しぃば
you	わー
we	べー
we	ぴゃー
die	まーらしぃん
black	黒さん
