water	ɣəi⁵⁵
thou	nɔ̃⁵⁵
I	ŋa⁵⁵
bird	ŋa̠ʔ⁵⁵
he	jɔ̃³¹
fire	mi³¹
sun	pui⁵⁵
lɛ̠̃³⁵ma³¹	la̠³⁵
la̠³⁵	lɛ̠̃³⁵ma³¹
star	kji̠⁵⁵
chicken	ɣaʔ³¹
cold	kjaʔ³¹
home	ja̠m⁵⁵
hand	laʔ³¹
wood	sak⁵⁵
sleep	ja̠p⁵⁵
dream	ja̠p⁵⁵ maʔ⁵⁵
be	ŋɔ̠t⁵⁵
leaf	a³¹faʔ⁵⁵
leaf	faʔ⁵⁵
leaf	sak⁵⁵ faʔ⁵⁵
ghost	jui⁵⁵
what	pɛ̠⁵⁵
drink	ʃauʔ⁵⁵
bear	vɛ̃⁵⁵
tea	faʔ⁵⁵ kʰjɛʔ⁵⁵
