sky	буга
jackdaw	тураки
jackdaw	турлаки
lark	нэрэнӈэри
swallow	белика
swallow	мучукай
goose	нюӈняки
eagle	киран
horse	мурин
oak	чагамкура
hazel	болгиг
hazel	тактыкаг
animal	бэюн
red deer	кумака
goat	гивчэн
deer	мэкчэн
sable	дэӈкэ
sable	чипкан
squirrel	кэрэмун
give	бу-
ash	хулэптэн
bottom	хэрэ
elm	хайласун
elder	дяланкакта
berry	диктэ
heart	ме̄ван
kidney	босокто
spleen	бичэкэй
wasp	дюгуктэ
slippery	бултумэ
bitter	гэчипчу
innards	эмугдэ
seed	чэмэл
cold	иӈинипчу
autumn	болони
mirror	ханячувка
stellar	осиктачи
clavicle	орокон
clavicle	комурган
clavicle	гэмургэн
door	уркэ
taimen	делбэн
saliva	дяликса
blow	эдынми
blood vessel	уӈикта
elm	лакамавун
habit	нуме
dream	толкин
grey	урим
swamp	хее
way	хокто
hair	килгасун
sing	икэдеми
sing	давладеми
bosom	овур
stone	дёло
breath	эрин
wave	ота
tsar	иракта
near	дага
hat	авун
house	дю
flour	бурдук
iron	сэлэ
shoulder	мирэ
forehead	хэе
heart	меван
palm	ханңга
man	бэе
woman	аси
thunder	агды
liver	хакин
hole	саңар
fog	тамнакса
lung	эвтэл
ice	дюкэ
mother	энин
foot	халган
nail	осикта
long	ңоним
mouse	сиңэрэкэн
heavy	ургэ
winter	тугэни
Russian	лучады
who	ңи
summer	дюгани
front	дюлэгу
elbow	ичэн
nose	оңокто
old	сагды
thin	нэмкун
run	туксами
white	багдама
lower	хэргу
rain	тыгдэ
nail	тыпкэн
breast	хикэн
breast	укун
wing	асаки
sister	экин
he	нуңан
nest	умук
fur	инңакта
spring	неӈнени
low	нэптэкун
full	дялум
brother	акин
house	гулэ
animal	бэйңэ
big	хэгды
eyebrow	саримикта
thick	бургу
swim	уюктами
eat	девми
pike	гуткэчэн
sing	давлами
liquor	араки
here	эду
there	тала
cold	иңин
voice	дылган
fly	дэгми
what	экун
pants	хэрки
storm	суги
storm	хигин
faith	тэде
taste	амта
war	кусин
hair	нюриктэ
enemy	булэн
time	тэру
up	угиски
son	хутэ
daughter	хунат
friend	гирки
fat	имуксэ
wake	сэривми
nervous breakdown	ирими
choose	синмами
forget	омӈоми
outer	тулигу
high	гугда
first	элэкэсипты
hill	урэкэн
habit	татын
play	эвин
girl	асаткан
sand	иңа
left	дегинңу
soft	немумэ
grey	игдяма
middle	дулин
middle	уңурэ
healthy	авгара
box	авса
side	олдон
grass	орокто
child	куңакан
saw	хувун
saw	хуна-
razor	хусивун
earth	дуннэ
knee	хэнңэн
new	омакта
red	хулама
axe	сукэ
swallow	нимңэ-
light	энимкун
soup	силэ
soup	сирба
dog	ңинакин
light	ңэри
hard	маңа
silver	мэңун
habit	савкан
hail	бокта
together	умунду
hand	ңалэ
deep	суңта
year	анңани
forehead	омкото
language	хэңкэ
naked	дюлакин
pet	булми
say	гунми
hunger	дему
blue	чулама
write	дукуми
letter	дукувун
go	ңэнэ-
step	гиркуми
sleeve	уксэ
row	даран
read	таӈми
body	иллэ
throat	моңон
smell	унңу
smell	ңо
hare	муннукан
sign	самэлки
fast	химамэ
fir	асикта
sickness	энумук
beard	гургакта
tip	дугэ
spring	ненңени
courtyard	тулигидэ
forward	дюлэски
down	хэргиски
black	конңорин
cattle	авду
then	тэли
when	окин
brother	нэкун
smoke	саңнян
fast	хима
sharp	эмэр
cold	доңото
nut	няңта
eyelash	саримиктал
fly	дылкэн
lie	улэк
sew	уллими
yellow	сиңама
tomorrow	тыматиэ
thread	томко
morning	тымани
short	урумкун
oar	гэвун
oar	уливун
teach	алагуми
end	мудан
dry	олгокин
dry	олгоми
weep	соӈоми
wash	силкими
fear	ңэлэ-
arrive	эмэ-
mouth	амңа
be born	балдыми
open	нивми
hold	тури-
back	согдонно
wing	дэктэннэ
mosquito	ңанмакта
root	ңиңтэ
cone	чумни
goat	каир
cow	мачалэ
blanket	хулла
news	мэдэвкэ
moss	лалбука
place	билэ
similar	урэлды
shadow	симңун
shadow	ханян
always	окин-да
pay	тамами
tale	нимңакан
flat	наптама
foundation	тэгэр
strong	эңэси
strong	манни
hundred	нямади
no	ачин
dirt	няңня
singing	икэвкэ
five	тунңа
bright	ңэрипчу
transport	дюгуми
await	алатми
be	бими
ask	гэлэми
burn	дегдэми
chop	дэлкими
sing	икэми
live	инми
see	ичэми
juice	чуксэ
grandson	омолги
cut	минэми
leave	нодами
tomorrow	тэгэми
twirl	хоролдёми
blow	хувдеми
boil	хуюдеми
reap	хусчами
destroy	эвми
play	эвидеми
flow	эендеми
bathe	элбэскэтчэми
swim	элбэсчэми
go out	юми
fear	ӈэлэтчэми
go	ӈэнэдеми
stop	туринми
knead	мэнӈими
ripe	ирми
hear	долдыдями
stand	илми
ask	ханңуктами
saw	хунами
ascend	угиривми
coal	элла
cut	минэдеми
chew	седями
laugh	инектэдеми
give	буми
