water	os
medicine	em
gold	alt
pillow	derbe
goat	ima
tree	modo
master	seb
cow	unie
seed	hure
yoke	aral
wheel	kurde
sly	jelleg
fish	jaus
vegetable	nuwaa
glass	guu
salt	kataa
cow	xukur
boat	jieby
young	jaloo
falcon	shogoo
falcon	showoo
bird	degii
bird	deyii
neck	xujuu
spoon	somugw
birch	caalbaang
sly	jerleg
chimney	xolly
sword	selmii
teacher	bakx
second month	juebie
silver	ᠮᡝᠩᡤᡠ
tree	ᠮᠣᡩ᠋ᠣ
autumn	ᠨᠠᠮᡠᡵ
head	xeky
color	jusu
silver	menggu
autumn	namur
paint	bodu-
flour	golii
turtle	xabil
cut	xad-
sheep	xonii
sickle	xaduur
spleen	delukin
axle	tenggel
vehicle	tergu
thumb	xereg
bridge	xuurugw
