and	ja
stallo	stállo
shelter	suodje
hay	suojnne
dew	suollne
island	suoloj
sinew	suodna
branch	suorgge
finger	suormma
snow	suovve
gill	suovdde
common aspen	suhpe
area	sjalljo
eye	sjalmme
bone	dákte
medicine	dálkas
winter	dálvve
non	dádtja
Swedish	dárro
property	dávver
sickness	dávdda
steep	diermme
tin	dadne
tar	darvve
upper arm	diejggo
table	diello
tassel	diehppe
last year	dijmmá
louse	dihkke
flint	diddno
rhinarium	digŋa
flock	doahkke
track	doalle
fire	dållå
feather	dålgge
abomasum	dågge
sheath	dåhppå
fieldfare	rástes
high tide	dulvve
handicraft	duodje
back	duohke
animal	duollje
increase	duodde
tangle	duogge
mountain	várre
help	viehkke
sacrifice	värro
boat	vanás
thin	vassme
steep	viettar
mother-in-law	vuonev
European perch	vuoskun
against	vuosste-
today	uddni
housefather	boanndi
cry	tjierrut
generous	árvas
cambium	álos
testicle	bállo
rain	rássjo
rack	billda
live	iellet
look	gähttjat
sew	goarrot
stop	hiejttet
come	boahtet
say	jahttet
die	hevvat
come	bessat
speak	hållat
fetch	viedtjat
buy	oasstet
know	diehtet
crawl	biehket
calf	miesse
path	ájddo
oarlock	hággŋo
female	ábmel
ember	ássjo
bird cherry	ávttja
gorge	ávttje
back	tjavelk
reindeer	tjoabtjes
life	iellem
reindeer	ällo
water	asjkas
young	alkke
work	gádtse
peat	lavnnje
calm	loadtje
snowy	muohtte
milk	náhppe
property	oabme
human	almasj
human	ulmusj
awl	åppål
two	årek
deceased	rávkke
rash	rusjmas
part	ruobdda
body part	ruojvve
courtship	suoggŋo
supernatural	sjuodje
well	sjuovun
meat	diehkke
dusk	viejgge
spot	dablle
lizard	dädtjulahka
curse	duodna
brushwood	duorgga
chaga mushroom	duovlle
two	guokta
three	gålmmå
four	niellja
seven	gietjav
eight	gáktsa
nine	aktse
ten	lågev
first	vuostasj
second	nubbe
third	goalmát
fourth	nälját
fifth	vidát
sixth	gudát
seventh	giehttjit
eighth	gávtsát
ninth	avtsát
tenth	lågåt
eleven	lågenanakta
twelve	lågenanguokta
thirteen	lågenangålmmå
fourteen	lågenanniellja
fifteen	lågenanvihtta
sixteen	lågenanguhtta
seventeen	lågenangietjav
eighteen	lågenangáktsa
nineteen	lågenanaktse
twenty	guoktalåhke
twenty-one	guoktalåkakta
twenty-two	guoktalåkguokta
twenty-three	guoktalåkgålmmå
twenty-four	guoktalåkniellja
twenty-five	guoktalåkvihtta
twenty-six	guoktalåkguhtta
twenty-seven	guoktalåkgietjav
twenty-eight	guoktalåkgáktsa
twenty-nine	guoktalåkaktse
thirty	gålmmålåhke
forty	nielljalåhke
fifty	vihttalåhke
sixty	guhttalåhke
seventy	gietjavlåhke
eighty	gáktsalåhke
ninety	aktselåhke
hundred	tjuohte
tell	giehttot
get	oadtjot
hoarse	sädot
cold	tjoaskes
easy	álkke
slanted	hállo
stingy	hánes
fearful	hárgge
tasty	ásvas
black	tjáhppat
skilled	tjiehppe
eyeless	tjalmedibme
even	tjabu
clear	tjielgas
deep	tjiegŋal
high	allak
real	almma
fine	hiblle
clear	jielagis
flat	jalggat
calm	jasska
calm	jasskat
cold	jievsos
round	jårbbåt
long	guhkke
heavy	låssåt
heavy	låssåk
bad	nievrre
thin	njárbbe
thin	njárbbat
slow	njoahtse
wet	njuoskas
straight	njuolggat
short	oadne
new	ådås
deaf	bieljedibme
weak	rassje
brown	russjkat
green	ruodnat
red	ruoppsat
durable	sávrre
thin	siegge
dark	sjievnnjet
dark	sjävnnjat
thawed	saŋás
bendable	såddjel
clear	sjerrat
smooth	sjallat
flat	duolbas
flat	duolbbat
flammable	buolisj
long-tailed jaeger	skájtti
magpie	skirri
brother-in-law	svilli
spoon	bassti
saucer	fádi
greenshank	glivi
cord	snuorri
twist	bådnjåt
hard	tjiekkav
reindeer	vátjav
enemy	fidjun
tongue	njuovtjav
reindeer	rárkav
tail	sjpietjav
ford	gálav
Sami	gierkav
grandchild	áddjov
grandchild	áhkkov
female	iestev
head	njunjoj
wet	njuovoj
common scoter	njurgoj
sand	sáttoj
cold	ruvoj
dry	luorkoj
bird	badoj
larynx	guokkoj
downhill	miedoj
shallow	guorgoj
dusk	guolmoj
think	ájádallat
intend	ájggot
surprised	alvaduvvat
time	asstat
remain	báhtset
work	barggat
set	biedjat
sweat	bivástuvvat
bring	buktet
eat	bårråt
begin	dádjadahtjat
rescue	gádjot
disappear	gáhtot
shall	galggat
draw	giesset
kill	gåddet
tie	gådet
urinate	gådtjåt
try	gähttjaladdat
smell	happset
love	iehttset
believe	jáhkket
say	javllat
reach	jåksåt
attack	ládat
sing	lávllot
read	låhkåt
be able to	máhttet
pay	mákset
sleep	oadet
red	ruoppsot
dig	råggåt
born	sjaddat
weave	sjnjissjkot
bend	sådjåt
beautiful	tjábbot
enter	tjágŋat
scratch	tjállet
kick	tjiektjat
jump	tjällot
give	vaddet
walk	vádtset
pay attention	váksjot
take	válldet
live	viessot
see	vuojnnet
seek	åhtsåt
exist	gávnnut
hear	gullut
wake up	gåhttsåt
force	hähttut
like	lijkkut
begin	låhkkåt
fall asleep	oaddát
ring	riŋŋgit
sit	sávnnit
spell	stávit
clean	tjielggit
must	vierttit
happy	ávvusit
understand	dádjadit
need	dárbahit
stay	ganugit
clothe	gárvvunit
ask	gatjádit
listen	gulldalit
try	gähttjalit
smell	hapsijdit
cook	málestit
complain	njimmurit
sit	tjåhkkåhit
walk	váttsatjit
teach	åhpadit
red fox	riebij
arctic fox	sválla
catch	guollit
appear	ruodnahit
appear	ruoppsahit
lookout	várddahit
herd	räjnnuhit
serve	dievnahit
dispute	digguhit
manual work	duodjuhit
consider	nevrahit
pine marten	niehte
flea	láffes
pushy	abáldit
nap	addjistit
nap	addjit
lie down	addjut
sinker	adjagiergge
Christmas	javlla
merry Christmas	buorre javlla
New Year	ådåjahke
deceased	áhkkorávkke
