wet	ال
sound	آواز
free	آزاد
today	آج
easy	آسان
water	او
sky	آسمان
man	میش
closed	بن
stone	بَٹ
egg	ان
unripe	آم
tweezers	آچ
duck	آر
consonant	ڄ
consonant	ݭ
vowel	ٞ
book	كياب
saw	آوه
chair	کُرسی
consonant	ݪ
eye	اڄ
apricot	اڄھیر
half	اڈ
midday	اڈ دوس
midnight	اڈ رات
rain	آگہ
saw	آرہ
flour	آٹ
mouth	آئیں
stone	بٹ
extinguished	بھا
young	بادان
young	بادین
brave	بادر
place	بھاگ
wind	بالہ
hill	بنال
outside	باریم
main	بانش
