sister	ben
nine	na
ten	das
from	min
I	ama
money	ple
silver	urp
tooth	ḍanḍ
water	pânî
town	ûyar
Dom	Dôm
first	awwal
stone	waṭ
stomach	peṭ
blood	nhīr
son	putur
gun	tfang
coffee	qahwa
Arab	Ṭāṭ
one	ikak
two	diyyes
three	taranes
four	štares
five	pʌndžes
wind	wāy
foot	pɔw
ten	dazz
eight	ḥašt
fat	təllã
lip	ōšt
