hand	ко
bus	автобус
bank	банк
salt	ца
water	лъи
field	полъе
cave	онох
fire	цӏо
people	наръадуа
sun	бохъ
wolf	бацӏо
tear	макъо
louse	нацо
heart	йакӏо
heart	ракӏо
saliva	йаьᵸчоь
saliva	йаьчоь
saliva	наьчоь
ash	йалӏо
ash	йаᵸлӏо
linden	гьад
bridge	тӏиро
bridge	тӏийо
snow	оз
snow	оᵸз
salt	цаᵸ
tongue	миц
candle	сантели
face	мотӏо
nail	милъо
