leaf	don
ash	abu
child	anak
five	lima
dog	aso
mother	ina
woman	bebe
break up	awat
coffin	kabaong
rooster	tandang
nose	dungos
moss	lumot
four	epat
wall	dingding
water	dinom
dried nasal mucus	kulangot
sweet	tam-is
Indian coral tree	dapdap
true	tunay
body odor	dipa
fold cloth	tiklop
man	lélake
coward	duhag
