be	bit
salt	so
grandfather	did
god	bog
want	tit
well	pa
priest	pop
day	dan
where	di
older brother	baca
blood	krv
woman	žena
dad	tata
cow	krava
hand	ruka
mother	mat
water	voda
shoe	posto
sea	mor
village	grad
cauldron	kota
fox	lisica
Friday	petak
Saturday	subota
Thursday	četvrtak
Croatia	Hrvatska
ox	vo
bone	kost
wolf	vuk
horse	konj
leg	noga
work	teg
godfather	kum
second	drugi
bomb	boma
time	vota
loin	luma
eat	jist
immediately	subita
come	rivat
man	ljud
oven	peč
mare	kobila
court	tribuna
story	fat
star	zvizda
hungry	lačan
house	hiža
and	eš
roof	tito
part	kvart
Thursday	četrtak
ship	nava
article	halja
daughter	ščera
sky	neba
name	jima
guest	ospit
square	kvadr
heart	srca
bundle	faš
pigeon	pičun
bean	fažo
thief	marijo
city	čita
onion	čipula
thing	stvara
night	noča
cloth	strofinač
jar	bughata
Monday	prvidan
Tuesday	jutorak
Tuesday	jutarak
Wednesday	srida
Sunday	nedilja
milk	mblika
ball	klupak
saddle	sedla
forehead	čela
silver	sreba
bell	zvona
health	zdravlja
word	reča
chicken	kokoša
youth	džuvendu
car	magina
chair	sedža
America	Lamerika
person	čeljada
year	gošta
suitcase	baliža
harbor	lupuort
always	semaj
Italy	Litalija
have	jimat
so	alora
war	gvera
have	nimat
evening	večara
just	proprja
sun	sundza
nothing	nišča
take	vazat
medicate	medikat
dark	škura
say	povidat
simple	semblič
young	mblad
always	sfedni
no one	nikor
