dog	sa
house	ri
fire	ayi
fish	nini
swamp	tami
woman	nuxtci
water	wiši
Mobilian Jargon	húma ʼúlu
language	ʼúlu
rock	shihkali
turtle	kohku
hill	tahura
marsh	pɛta
pawpaw	yukula
cypress	hahku
hill	timura
sparrow hawk	shumata
sun	tahch'i
freshwater mussel	takirka
snow	mohtini
moss	kashwa
catfish	yusahki
flathead catfish	nɛsha
buffalo fish	yɔska
