stone	um
man	non
tea	ti
airplane	balus
and	pe
canoe	aka
paddle	ote
one	é
tree	ae
banana	hur
child	aina
three	mol
five	limé
sugar cane	tou
two	nai
store	stoa
cat	pusi
dog	kaone
doctor	dokta
teacher	tisa
vine	rur
water	éch
woman	héi
tapioka	mioka
house	péle
knife	kakop
ten	analoch
one	éllé
star	itoch
garden	umé
morning	uach
moon	téio
bad	poreke
pig	kié
