zanate	sana
bean	e
one	se
hill	loma
dog	pelo
town	pueblo
reed	aka
chili pepper	chili
paper	ama
water	a
skunk	ipa
son	kone
deer	masa
bird	toto
mountain	tepe
zacate	saka
mother	nantli
turkey	totol
cloud	mixtli
copal	kopal
tamal	tamal
fish	michi
plant	kili
tree	kowi
woman	sowa
meat	naka
man	laka
day	tonali
mosquito	moyo
nose	yaka
two	ome
now	axa
salt	ista
sleep	kochi
four	nawi
raccoon	mapachin
robe	meka
good	kuali
coyote	koyo
ant	tsika
land	tlali
cob	sintli
dough	tixtli
atole	atoli
metal	tepostli
pozole	posol
fly	sayul
bull	koakoe
zapote	tsapo
guava	xaxoko
wind	ejeka
sweet	sopelik
pig	kuyani
rainbow	kosamalo
sun	tonatiu
butterfly	papalo
song	kuika
Ometepec	Ometepek
flower	xochi
cotton	ichka
jaguar	tekuani
now	axka
olw	tekolo
sun	tonaltsintli
eagle	koautli
man	tlaka
year	xiutli
moon	mestli
turkey vulture	sopilo
dove	wilo
parrot	peliko
star	sitali
avocado	awaka
chocolate	chokola
snake	kowa
basket	chikiutli
nixtamal	nextamal
fire	texuxti
fruit	xochikuali
blue	yautik
green	xoxowik
red	tlatlawik
bean tamale	etamal
crow	kakalo
black	tiltik
yellow	kosawik
springs	amanal
epazote	ipasotli
kapok	pochu
ash	nixtli
